passer,recipient,n_passes_completed
Axel Witsel,Jan Vertonghen,8
Axel Witsel,Jeremy Doku,5
Axel Witsel,Kevin De Bruyne,3
Axel Witsel,Thomas Vermaelen,9
Axel Witsel,Thorgan Hazard,5
Axel Witsel,Toby Alderweireld,5
Axel Witsel,Youri Tielemans,4
Jan Vertonghen,Axel Witsel,5
Jan Vertonghen,Jeremy Doku,8
Jan Vertonghen,Kevin De Bruyne,3
Jan Vertonghen,Romelu Lukaku Menama,1
Jan Vertonghen,Thibaut Courtois,6
Jan Vertonghen,Thomas Vermaelen,15
Jan Vertonghen,Thorgan Hazard,13
Jan Vertonghen,Toby Alderweireld,5
Jan Vertonghen,Youri Tielemans,2
Jeremy Doku,Axel Witsel,4
Jeremy Doku,Jan Vertonghen,1
Jeremy Doku,Kevin De Bruyne,3
Jeremy Doku,Romelu Lukaku Menama,1
Jeremy Doku,Thorgan Hazard,5
Jeremy Doku,Toby Alderweireld,1
Jeremy Doku,Youri Tielemans,3
Kevin De Bruyne,Axel Witsel,2
Kevin De Bruyne,Jan Vertonghen,1
Kevin De Bruyne,Jeremy Doku,5
Kevin De Bruyne,Romelu Lukaku Menama,3
Kevin De Bruyne,Thomas Meunier,3
Kevin De Bruyne,Thorgan Hazard,3
Kevin De Bruyne,Toby Alderweireld,3
Romelu Lukaku Menama,Axel Witsel,4
Romelu Lukaku Menama,Jeremy Doku,1
Romelu Lukaku Menama,Kevin De Bruyne,1
Romelu Lukaku Menama,Thomas Meunier,1
Thibaut Courtois,Axel Witsel,1
Thibaut Courtois,Jan Vertonghen,3
Thibaut Courtois,Jeremy Doku,3
Thibaut Courtois,Kevin De Bruyne,1
Thibaut Courtois,Romelu Lukaku Menama,2
Thibaut Courtois,Thomas Meunier,1
Thibaut Courtois,Thomas Vermaelen,1
Thibaut Courtois,Thorgan Hazard,2
Thibaut Courtois,Toby Alderweireld,11
Thibaut Courtois,Youri Tielemans,1
Thomas Meunier,Axel Witsel,1
Thomas Meunier,Jan Vertonghen,1
Thomas Meunier,Kevin De Bruyne,3
Thomas Meunier,Romelu Lukaku Menama,5
Thomas Meunier,Thibaut Courtois,1
Thomas Meunier,Toby Alderweireld,5
Thomas Meunier,Youri Tielemans,5
Thomas Vermaelen,Axel Witsel,1
Thomas Vermaelen,Jan Vertonghen,16
Thomas Vermaelen,Jeremy Doku,3
Thomas Vermaelen,Kevin De Bruyne,3
Thomas Vermaelen,Thibaut Courtois,4
Thomas Vermaelen,Thomas Meunier,1
Thomas Vermaelen,Toby Alderweireld,19
Thorgan Hazard,Axel Witsel,14
Thorgan Hazard,Jan Vertonghen,14
Thorgan Hazard,Jeremy Doku,7
Thorgan Hazard,Kevin De Bruyne,4
Thorgan Hazard,Romelu Lukaku Menama,1
Thorgan Hazard,Thibaut Courtois,3
Thorgan Hazard,Thomas Meunier,1
Thorgan Hazard,Thomas Vermaelen,3
Thorgan Hazard,Toby Alderweireld,9
Thorgan Hazard,Youri Tielemans,2
Toby Alderweireld,Axel Witsel,6
Toby Alderweireld,Jan Vertonghen,5
Toby Alderweireld,Kevin De Bruyne,3
Toby Alderweireld,Romelu Lukaku Menama,2
Toby Alderweireld,Thibaut Courtois,3
Toby Alderweireld,Thomas Meunier,19
Toby Alderweireld,Thomas Vermaelen,13
Toby Alderweireld,Thorgan Hazard,9
Toby Alderweireld,Youri Tielemans,3
Youri Tielemans,Axel Witsel,2
Youri Tielemans,Jan Vertonghen,2
Youri Tielemans,Kevin De Bruyne,4
Youri Tielemans,Thibaut Courtois,1
Youri Tielemans,Thomas Meunier,3
Youri Tielemans,Thomas Vermaelen,1
Youri Tielemans,Thorgan Hazard,3
Youri Tielemans,Toby Alderweireld,4
