passer,recipient,n_passes_completed
Dries Mertens,Jason Denayer,1
Dries Mertens,Romelu Lukaku Menama,2
Dries Mertens,Thomas Meunier,3
Dries Mertens,Toby Alderweireld,1
Dries Mertens,Youri Tielemans,1
Jan Vertonghen,Jason Denayer,22
Jan Vertonghen,Leander Dendoncker,3
Jan Vertonghen,Romelu Lukaku Menama,4
Jan Vertonghen,Thibaut Courtois,1
Jan Vertonghen,Thomas Meunier,1
Jan Vertonghen,Thorgan Hazard,18
Jan Vertonghen,Toby Alderweireld,3
Jan Vertonghen,Yannick Ferreira Carrasco,3
Jan Vertonghen,Youri Tielemans,5
Jason Denayer,Jan Vertonghen,22
Jason Denayer,Leander Dendoncker,7
Jason Denayer,Thibaut Courtois,2
Jason Denayer,Thomas Meunier,1
Jason Denayer,Thorgan Hazard,2
Jason Denayer,Toby Alderweireld,25
Jason Denayer,Youri Tielemans,8
Leander Dendoncker,Jan Vertonghen,1
Leander Dendoncker,Jason Denayer,3
Leander Dendoncker,Thomas Meunier,8
Leander Dendoncker,Thorgan Hazard,2
Leander Dendoncker,Toby Alderweireld,4
Leander Dendoncker,Yannick Ferreira Carrasco,1
Leander Dendoncker,Youri Tielemans,4
Romelu Lukaku Menama,Dries Mertens,2
Romelu Lukaku Menama,Thomas Meunier,2
Romelu Lukaku Menama,Yannick Ferreira Carrasco,2
Romelu Lukaku Menama,Youri Tielemans,3
Thibaut Courtois,Jan Vertonghen,5
Thibaut Courtois,Jason Denayer,12
Thibaut Courtois,Romelu Lukaku Menama,6
Thibaut Courtois,Thomas Meunier,2
Thibaut Courtois,Thorgan Hazard,4
Thibaut Courtois,Toby Alderweireld,6
Thibaut Courtois,Yannick Ferreira Carrasco,1
Thomas Meunier,Dries Mertens,8
Thomas Meunier,Jason Denayer,4
Thomas Meunier,Leander Dendoncker,6
Thomas Meunier,Romelu Lukaku Menama,4
Thomas Meunier,Thibaut Courtois,1
Thomas Meunier,Thorgan Hazard,1
Thomas Meunier,Toby Alderweireld,13
Thomas Meunier,Yannick Ferreira Carrasco,1
Thomas Meunier,Youri Tielemans,9
Thorgan Hazard,Jan Vertonghen,16
Thorgan Hazard,Leander Dendoncker,3
Thorgan Hazard,Romelu Lukaku Menama,4
Thorgan Hazard,Thibaut Courtois,1
Thorgan Hazard,Thomas Meunier,3
Thorgan Hazard,Toby Alderweireld,2
Thorgan Hazard,Yannick Ferreira Carrasco,1
Thorgan Hazard,Youri Tielemans,8
Toby Alderweireld,Dries Mertens,3
Toby Alderweireld,Jan Vertonghen,6
Toby Alderweireld,Jason Denayer,19
Toby Alderweireld,Leander Dendoncker,1
Toby Alderweireld,Romelu Lukaku Menama,1
Toby Alderweireld,Thibaut Courtois,4
Toby Alderweireld,Thomas Meunier,17
Toby Alderweireld,Thorgan Hazard,1
Toby Alderweireld,Yannick Ferreira Carrasco,1
Toby Alderweireld,Youri Tielemans,6
Yannick Ferreira Carrasco,Jan Vertonghen,1
Yannick Ferreira Carrasco,Leander Dendoncker,1
Yannick Ferreira Carrasco,Romelu Lukaku Menama,1
Yannick Ferreira Carrasco,Thomas Meunier,3
Yannick Ferreira Carrasco,Thorgan Hazard,5
Yannick Ferreira Carrasco,Youri Tielemans,3
Youri Tielemans,Dries Mertens,2
Youri Tielemans,Jan Vertonghen,3
Youri Tielemans,Jason Denayer,2
Youri Tielemans,Leander Dendoncker,2
Youri Tielemans,Thibaut Courtois,1
Youri Tielemans,Thomas Meunier,7
Youri Tielemans,Thorgan Hazard,5
Youri Tielemans,Toby Alderweireld,7
Youri Tielemans,Yannick Ferreira Carrasco,7
