passer,recipient,n_passes_completed
Bruno Petković,Ivan Perišić,4
Bruno Petković,Josip Juranović,2
Bruno Petković,Luka Modrić,4
Bruno Petković,Marcelo Brozović,2
Bruno Petković,Mateo Kovačić,5
Bruno Petković,Nikola Vlašić,3
Dejan Lovren,Domagoj Vida,15
Dejan Lovren,Dominik Livaković,5
Dejan Lovren,Josip Juranović,14
Dejan Lovren,Joško Gvardiol,2
Dejan Lovren,Luka Modrić,9
Dejan Lovren,Marcelo Brozović,5
Dejan Lovren,Mateo Kovačić,1
Dejan Lovren,Nikola Vlašić,3
Domagoj Vida,Dejan Lovren,10
Domagoj Vida,Ivan Perišić,1
Domagoj Vida,Joško Gvardiol,20
Domagoj Vida,Luka Modrić,3
Domagoj Vida,Marcelo Brozović,7
Domagoj Vida,Mateo Kovačić,5
Dominik Livaković,Bruno Petković,1
Dominik Livaković,Dejan Lovren,1
Dominik Livaković,Domagoj Vida,7
Dominik Livaković,Josip Juranović,1
Dominik Livaković,Joško Gvardiol,1
Dominik Livaković,Luka Modrić,1
Dominik Livaković,Marcelo Brozović,4
Dominik Livaković,Mateo Kovačić,1
Ivan Perišić,Bruno Petković,1
Ivan Perišić,Domagoj Vida,2
Ivan Perišić,Josip Juranović,3
Ivan Perišić,Joško Gvardiol,4
Ivan Perišić,Luka Modrić,3
Ivan Perišić,Marcelo Brozović,7
Ivan Perišić,Mateo Kovačić,8
Ivan Perišić,Nikola Vlašić,3
Josip Juranović,Bruno Petković,1
Josip Juranović,Dejan Lovren,14
Josip Juranović,Domagoj Vida,1
Josip Juranović,Ivan Perišić,1
Josip Juranović,Joško Gvardiol,1
Josip Juranović,Luka Modrić,27
Josip Juranović,Marcelo Brozović,10
Josip Juranović,Mateo Kovačić,3
Josip Juranović,Nikola Vlašić,5
Joško Gvardiol,Bruno Petković,4
Joško Gvardiol,Dejan Lovren,3
Joško Gvardiol,Domagoj Vida,5
Joško Gvardiol,Dominik Livaković,1
Joško Gvardiol,Ivan Perišić,13
Joško Gvardiol,Luka Modrić,1
Joško Gvardiol,Marcelo Brozović,8
Joško Gvardiol,Mateo Kovačić,19
Joško Gvardiol,Nikola Vlašić,3
Luka Modrić,Bruno Petković,4
Luka Modrić,Dejan Lovren,9
Luka Modrić,Domagoj Vida,3
Luka Modrić,Dominik Livaković,1
Luka Modrić,Ivan Perišić,2
Luka Modrić,Josip Juranović,20
Luka Modrić,Joško Gvardiol,7
Luka Modrić,Marcelo Brozović,14
Luka Modrić,Mateo Kovačić,16
Luka Modrić,Nikola Vlašić,7
Marcelo Brozović,Bruno Petković,2
Marcelo Brozović,Dejan Lovren,11
Marcelo Brozović,Domagoj Vida,7
Marcelo Brozović,Ivan Perišić,5
Marcelo Brozović,Josip Juranović,5
Marcelo Brozović,Joško Gvardiol,11
Marcelo Brozović,Luka Modrić,21
Marcelo Brozović,Mateo Kovačić,17
Marcelo Brozović,Nikola Vlašić,3
Mateo Kovačić,Bruno Petković,7
Mateo Kovačić,Dejan Lovren,2
Mateo Kovačić,Domagoj Vida,4
Mateo Kovačić,Ivan Perišić,5
Mateo Kovačić,Josip Juranović,6
Mateo Kovačić,Joško Gvardiol,11
Mateo Kovačić,Luka Modrić,16
Mateo Kovačić,Marcelo Brozović,18
Mateo Kovačić,Nikola Vlašić,4
Nikola Vlašić,Bruno Petković,5
Nikola Vlašić,Ivan Perišić,2
Nikola Vlašić,Josip Juranović,6
Nikola Vlašić,Joško Gvardiol,1
Nikola Vlašić,Luka Modrić,4
Nikola Vlašić,Marcelo Brozović,4
Nikola Vlašić,Mateo Kovačić,1
