passer,recipient,n_passes_completed
Antonín Barák,Jan Bořil,10
Antonín Barák,Lukáš Masopust,2
Antonín Barák,Ondrej Celustka,2
Antonín Barák,Patrik Schick,2
Antonín Barák,Petr Ševčík,6
Antonín Barák,Tomáš Kalas,5
Antonín Barák,Tomáš Souček,4
Antonín Barák,Tomáš Vaclík,1
Antonín Barák,Vladimír Coufal,7
Jan Bořil,Antonín Barák,11
Jan Bořil,Lukáš Masopust,2
Jan Bořil,Patrik Schick,3
Jan Bořil,Petr Ševčík,2
Jan Bořil,Tomáš Holeš,2
Jan Bořil,Tomáš Kalas,6
Jan Bořil,Tomáš Souček,10
Jan Bořil,Tomáš Vaclík,1
Jan Bořil,Vladimír Coufal,1
Lukáš Masopust,Antonín Barák,3
Lukáš Masopust,Jan Bořil,2
Lukáš Masopust,Patrik Schick,1
Lukáš Masopust,Petr Ševčík,2
Lukáš Masopust,Tomáš Holeš,1
Lukáš Masopust,Tomáš Souček,1
Lukáš Masopust,Vladimír Coufal,1
Ondrej Celustka,Antonín Barák,1
Ondrej Celustka,Patrik Schick,1
Ondrej Celustka,Tomáš Holeš,1
Ondrej Celustka,Tomáš Kalas,5
Ondrej Celustka,Tomáš Souček,2
Ondrej Celustka,Tomáš Vaclík,3
Ondrej Celustka,Vladimír Coufal,5
Patrik Schick,Jan Bořil,3
Patrik Schick,Lukáš Masopust,1
Patrik Schick,Petr Ševčík,2
Patrik Schick,Tomáš Holeš,1
Patrik Schick,Tomáš Souček,3
Patrik Schick,Vladimír Coufal,2
Petr Ševčík,Antonín Barák,1
Petr Ševčík,Jan Bořil,1
Petr Ševčík,Lukáš Masopust,1
Petr Ševčík,Tomáš Holeš,1
Petr Ševčík,Tomáš Kalas,3
Petr Ševčík,Tomáš Souček,7
Petr Ševčík,Vladimír Coufal,9
Tomáš Holeš,Antonín Barák,5
Tomáš Holeš,Jan Bořil,2
Tomáš Holeš,Lukáš Masopust,1
Tomáš Holeš,Ondrej Celustka,1
Tomáš Holeš,Patrik Schick,1
Tomáš Holeš,Petr Ševčík,2
Tomáš Holeš,Tomáš Kalas,1
Tomáš Holeš,Tomáš Souček,3
Tomáš Holeš,Tomáš Vaclík,1
Tomáš Holeš,Vladimír Coufal,1
Tomáš Kalas,Antonín Barák,4
Tomáš Kalas,Jan Bořil,10
Tomáš Kalas,Lukáš Masopust,2
Tomáš Kalas,Ondrej Celustka,3
Tomáš Kalas,Patrik Schick,1
Tomáš Kalas,Petr Ševčík,2
Tomáš Kalas,Tomáš Holeš,4
Tomáš Kalas,Tomáš Souček,7
Tomáš Kalas,Tomáš Vaclík,2
Tomáš Kalas,Vladimír Coufal,1
Tomáš Souček,Antonín Barák,5
Tomáš Souček,Jan Bořil,5
Tomáš Souček,Lukáš Masopust,1
Tomáš Souček,Ondrej Celustka,1
Tomáš Souček,Patrik Schick,2
Tomáš Souček,Petr Ševčík,2
Tomáš Souček,Tomáš Holeš,3
Tomáš Souček,Tomáš Kalas,5
Tomáš Souček,Tomáš Vaclík,2
Tomáš Souček,Vladimír Coufal,8
Tomáš Vaclík,Antonín Barák,2
Tomáš Vaclík,Jan Bořil,2
Tomáš Vaclík,Ondrej Celustka,6
Tomáš Vaclík,Patrik Schick,1
Tomáš Vaclík,Tomáš Kalas,4
Tomáš Vaclík,Vladimír Coufal,2
Vladimír Coufal,Antonín Barák,8
Vladimír Coufal,Jan Bořil,2
Vladimír Coufal,Lukáš Masopust,2
Vladimír Coufal,Ondrej Celustka,2
Vladimír Coufal,Patrik Schick,8
Vladimír Coufal,Petr Ševčík,9
Vladimír Coufal,Tomáš Holeš,5
Vladimír Coufal,Tomáš Kalas,2
Vladimír Coufal,Tomáš Souček,3
