passer,recipient,n_passes_completed
Andreas Christensen,Jens Stryger Larsen,7
Andreas Christensen,Kasper Schmeichel,1
Andreas Christensen,Mikkel Damsgaard,2
Andreas Christensen,Pierre-Emile Højbjerg,6
Andreas Christensen,Simon Thorup Kjær,12
Andreas Christensen,Thomas Delaney,2
Jannik Vestergaard,Andreas Christensen,4
Jannik Vestergaard,Jens Stryger Larsen,1
Jannik Vestergaard,Joakim Mæhle,5
Jannik Vestergaard,Kasper Dolberg,1
Jannik Vestergaard,Kasper Schmeichel,1
Jannik Vestergaard,Mikkel Damsgaard,4
Jannik Vestergaard,Pierre-Emile Højbjerg,4
Jannik Vestergaard,Simon Thorup Kjær,6
Jannik Vestergaard,Thomas Delaney,3
Jens Stryger Larsen,Andreas Christensen,7
Jens Stryger Larsen,Martin Braithwaite Christensen,8
Jens Stryger Larsen,Mikkel Damsgaard,1
Jens Stryger Larsen,Pierre-Emile Højbjerg,5
Jens Stryger Larsen,Thomas Delaney,2
Joakim Mæhle,Jannik Vestergaard,6
Joakim Mæhle,Kasper Dolberg,1
Joakim Mæhle,Kasper Schmeichel,2
Joakim Mæhle,Martin Braithwaite Christensen,3
Joakim Mæhle,Mikkel Damsgaard,3
Joakim Mæhle,Pierre-Emile Højbjerg,3
Joakim Mæhle,Simon Thorup Kjær,3
Joakim Mæhle,Thomas Delaney,3
Kasper Dolberg,Jens Stryger Larsen,3
Kasper Dolberg,Joakim Mæhle,1
Kasper Dolberg,Martin Braithwaite Christensen,1
Kasper Dolberg,Mikkel Damsgaard,2
Kasper Dolberg,Thomas Delaney,3
Kasper Schmeichel,Andreas Christensen,4
Kasper Schmeichel,Jannik Vestergaard,1
Kasper Schmeichel,Jens Stryger Larsen,3
Kasper Schmeichel,Joakim Mæhle,6
Kasper Schmeichel,Kasper Dolberg,1
Kasper Schmeichel,Mikkel Damsgaard,1
Kasper Schmeichel,Simon Thorup Kjær,2
Martin Braithwaite Christensen,Andreas Christensen,1
Martin Braithwaite Christensen,Jens Stryger Larsen,2
Martin Braithwaite Christensen,Kasper Dolberg,2
Martin Braithwaite Christensen,Pierre-Emile Højbjerg,5
Martin Braithwaite Christensen,Thomas Delaney,2
Mikkel Damsgaard,Jens Stryger Larsen,3
Mikkel Damsgaard,Joakim Mæhle,1
Mikkel Damsgaard,Kasper Dolberg,3
Mikkel Damsgaard,Martin Braithwaite Christensen,2
Mikkel Damsgaard,Pierre-Emile Højbjerg,2
Mikkel Damsgaard,Simon Thorup Kjær,2
Mikkel Damsgaard,Thomas Delaney,1
Pierre-Emile Højbjerg,Andreas Christensen,6
Pierre-Emile Højbjerg,Jannik Vestergaard,4
Pierre-Emile Højbjerg,Jens Stryger Larsen,4
Pierre-Emile Højbjerg,Joakim Mæhle,2
Pierre-Emile Højbjerg,Kasper Schmeichel,3
Pierre-Emile Højbjerg,Martin Braithwaite Christensen,4
Pierre-Emile Højbjerg,Mikkel Damsgaard,1
Pierre-Emile Højbjerg,Simon Thorup Kjær,9
Pierre-Emile Højbjerg,Thomas Delaney,3
Simon Thorup Kjær,Andreas Christensen,6
Simon Thorup Kjær,Jannik Vestergaard,14
Simon Thorup Kjær,Joakim Mæhle,4
Simon Thorup Kjær,Kasper Schmeichel,4
Simon Thorup Kjær,Martin Braithwaite Christensen,1
Simon Thorup Kjær,Mikkel Damsgaard,1
Simon Thorup Kjær,Pierre-Emile Højbjerg,5
Simon Thorup Kjær,Thomas Delaney,5
Thomas Delaney,Andreas Christensen,3
Thomas Delaney,Jannik Vestergaard,1
Thomas Delaney,Jens Stryger Larsen,3
Thomas Delaney,Joakim Mæhle,3
Thomas Delaney,Kasper Dolberg,1
Thomas Delaney,Kasper Schmeichel,1
Thomas Delaney,Martin Braithwaite Christensen,2
Thomas Delaney,Mikkel Damsgaard,2
Thomas Delaney,Pierre-Emile Højbjerg,4
Thomas Delaney,Simon Thorup Kjær,3
