passer,recipient,n_passes_completed
Andreas Christensen,Jannik Vestergaard,3
Andreas Christensen,Jens Stryger Larsen,2
Andreas Christensen,Joakim Mæhle,1
Andreas Christensen,Kasper Schmeichel,1
Andreas Christensen,Martin Braithwaite Christensen,2
Andreas Christensen,Mikkel Damsgaard,1
Andreas Christensen,Pierre-Emile Højbjerg,5
Andreas Christensen,Simon Thorup Kjær,6
Jannik Vestergaard,Andreas Christensen,3
Jannik Vestergaard,Jens Stryger Larsen,1
Jannik Vestergaard,Joakim Mæhle,5
Jannik Vestergaard,Kasper Dolberg,3
Jannik Vestergaard,Kasper Schmeichel,1
Jannik Vestergaard,Mikkel Damsgaard,2
Jannik Vestergaard,Pierre-Emile Højbjerg,10
Jannik Vestergaard,Simon Thorup Kjær,18
Jannik Vestergaard,Thomas Delaney,4
Jens Stryger Larsen,Andreas Christensen,4
Jens Stryger Larsen,Jannik Vestergaard,1
Jens Stryger Larsen,Joakim Mæhle,1
Jens Stryger Larsen,Kasper Dolberg,3
Jens Stryger Larsen,Kasper Schmeichel,1
Jens Stryger Larsen,Martin Braithwaite Christensen,13
Jens Stryger Larsen,Mikkel Damsgaard,1
Jens Stryger Larsen,Pierre-Emile Højbjerg,7
Jens Stryger Larsen,Simon Thorup Kjær,9
Jens Stryger Larsen,Thomas Delaney,2
Joakim Mæhle,Andreas Christensen,1
Joakim Mæhle,Jannik Vestergaard,12
Joakim Mæhle,Jens Stryger Larsen,1
Joakim Mæhle,Martin Braithwaite Christensen,1
Joakim Mæhle,Mikkel Damsgaard,6
Joakim Mæhle,Pierre-Emile Højbjerg,5
Joakim Mæhle,Thomas Delaney,6
Kasper Dolberg,Andreas Christensen,1
Kasper Dolberg,Jens Stryger Larsen,2
Kasper Dolberg,Martin Braithwaite Christensen,1
Kasper Dolberg,Pierre-Emile Højbjerg,1
Kasper Dolberg,Thomas Delaney,2
Kasper Schmeichel,Jannik Vestergaard,3
Kasper Schmeichel,Jens Stryger Larsen,1
Kasper Schmeichel,Joakim Mæhle,6
Kasper Schmeichel,Kasper Dolberg,1
Kasper Schmeichel,Martin Braithwaite Christensen,1
Kasper Schmeichel,Simon Thorup Kjær,3
Martin Braithwaite Christensen,Andreas Christensen,1
Martin Braithwaite Christensen,Jens Stryger Larsen,9
Martin Braithwaite Christensen,Joakim Mæhle,3
Martin Braithwaite Christensen,Kasper Dolberg,2
Martin Braithwaite Christensen,Pierre-Emile Højbjerg,5
Martin Braithwaite Christensen,Simon Thorup Kjær,1
Mikkel Damsgaard,Andreas Christensen,1
Mikkel Damsgaard,Jens Stryger Larsen,1
Mikkel Damsgaard,Joakim Mæhle,4
Mikkel Damsgaard,Kasper Dolberg,4
Mikkel Damsgaard,Martin Braithwaite Christensen,1
Mikkel Damsgaard,Pierre-Emile Højbjerg,2
Mikkel Damsgaard,Thomas Delaney,2
Pierre-Emile Højbjerg,Andreas Christensen,3
Pierre-Emile Højbjerg,Jannik Vestergaard,12
Pierre-Emile Højbjerg,Jens Stryger Larsen,6
Pierre-Emile Højbjerg,Joakim Mæhle,9
Pierre-Emile Højbjerg,Kasper Dolberg,2
Pierre-Emile Højbjerg,Kasper Schmeichel,1
Pierre-Emile Højbjerg,Martin Braithwaite Christensen,6
Pierre-Emile Højbjerg,Mikkel Damsgaard,2
Pierre-Emile Højbjerg,Simon Thorup Kjær,4
Pierre-Emile Højbjerg,Thomas Delaney,3
Simon Thorup Kjær,Andreas Christensen,5
Simon Thorup Kjær,Jannik Vestergaard,14
Simon Thorup Kjær,Jens Stryger Larsen,8
Simon Thorup Kjær,Kasper Schmeichel,5
Simon Thorup Kjær,Martin Braithwaite Christensen,3
Simon Thorup Kjær,Mikkel Damsgaard,3
Simon Thorup Kjær,Pierre-Emile Højbjerg,8
Simon Thorup Kjær,Thomas Delaney,1
Thomas Delaney,Jannik Vestergaard,3
Thomas Delaney,Jens Stryger Larsen,1
Thomas Delaney,Joakim Mæhle,1
Thomas Delaney,Kasper Dolberg,1
Thomas Delaney,Mikkel Damsgaard,2
Thomas Delaney,Pierre-Emile Højbjerg,6
Thomas Delaney,Simon Thorup Kjær,4
