passer,recipient,n_passes_completed
Declan Rice,Harry Kane,1
Declan Rice,John Stones,11
Declan Rice,Jordan Pickford,1
Declan Rice,Kalvin Phillips,4
Declan Rice,Kieran Trippier,10
Declan Rice,Kyle Walker,3
Declan Rice,Mason Mount,2
Declan Rice,Philip Foden,2
Declan Rice,Raheem Sterling,2
Declan Rice,Tyrone Mings,6
Harry Kane,Kalvin Phillips,2
Harry Kane,Kieran Trippier,1
Harry Kane,Mason Mount,2
Harry Kane,Philip Foden,4
Harry Kane,Raheem Sterling,2
Harry Kane,Tyrone Mings,1
John Stones,Declan Rice,4
John Stones,Harry Kane,3
John Stones,Jordan Pickford,7
John Stones,Kalvin Phillips,4
John Stones,Kieran Trippier,1
John Stones,Kyle Walker,11
John Stones,Mason Mount,2
John Stones,Philip Foden,6
John Stones,Tyrone Mings,14
Jordan Pickford,Declan Rice,1
Jordan Pickford,Harry Kane,1
Jordan Pickford,John Stones,9
Jordan Pickford,Kieran Trippier,1
Jordan Pickford,Kyle Walker,2
Jordan Pickford,Mason Mount,2
Jordan Pickford,Tyrone Mings,8
Kalvin Phillips,Declan Rice,3
Kalvin Phillips,Harry Kane,1
Kalvin Phillips,John Stones,6
Kalvin Phillips,Kieran Trippier,3
Kalvin Phillips,Kyle Walker,7
Kalvin Phillips,Mason Mount,1
Kalvin Phillips,Philip Foden,2
Kalvin Phillips,Raheem Sterling,2
Kalvin Phillips,Tyrone Mings,2
Kieran Trippier,Declan Rice,13
Kieran Trippier,Harry Kane,4
Kieran Trippier,John Stones,2
Kieran Trippier,Jordan Pickford,3
Kieran Trippier,Kyle Walker,1
Kieran Trippier,Mason Mount,9
Kieran Trippier,Raheem Sterling,15
Kieran Trippier,Tyrone Mings,14
Kyle Walker,Declan Rice,2
Kyle Walker,Harry Kane,1
Kyle Walker,John Stones,8
Kyle Walker,Jordan Pickford,5
Kyle Walker,Kalvin Phillips,4
Kyle Walker,Mason Mount,1
Kyle Walker,Philip Foden,9
Kyle Walker,Raheem Sterling,1
Kyle Walker,Tyrone Mings,2
Mason Mount,Declan Rice,3
Mason Mount,Harry Kane,2
Mason Mount,John Stones,1
Mason Mount,Kalvin Phillips,1
Mason Mount,Kieran Trippier,10
Mason Mount,Raheem Sterling,10
Mason Mount,Tyrone Mings,1
Philip Foden,Declan Rice,3
Philip Foden,Harry Kane,1
Philip Foden,John Stones,2
Philip Foden,Kalvin Phillips,5
Philip Foden,Kieran Trippier,1
Philip Foden,Kyle Walker,6
Philip Foden,Mason Mount,1
Philip Foden,Raheem Sterling,1
Philip Foden,Tyrone Mings,1
Raheem Sterling,Declan Rice,1
Raheem Sterling,Harry Kane,3
Raheem Sterling,Kalvin Phillips,2
Raheem Sterling,Kieran Trippier,8
Raheem Sterling,Mason Mount,8
Raheem Sterling,Philip Foden,3
Raheem Sterling,Tyrone Mings,5
Tyrone Mings,Declan Rice,7
Tyrone Mings,Harry Kane,1
Tyrone Mings,John Stones,13
Tyrone Mings,Jordan Pickford,5
Tyrone Mings,Kieran Trippier,21
Tyrone Mings,Kyle Walker,1
Tyrone Mings,Mason Mount,1
Tyrone Mings,Raheem Sterling,7
