passer,recipient,n_passes_completed
Antonio Rüdiger,Joshua Kimmich,1
Antonio Rüdiger,Manuel Neuer,9
Antonio Rüdiger,Mats Hummels,1
Antonio Rüdiger,Robin Gosens,11
Antonio Rüdiger,Serge Gnabry,1
Antonio Rüdiger,Thomas Müller,1
Antonio Rüdiger,Toni Kroos,20
Antonio Rüdiger,İlkay Gündoğan,5
Joshua Kimmich,Antonio Rüdiger,1
Joshua Kimmich,Kai Havertz,3
Joshua Kimmich,Mats Hummels,2
Joshua Kimmich,Matthias Ginter,13
Joshua Kimmich,Robin Gosens,4
Joshua Kimmich,Serge Gnabry,5
Joshua Kimmich,Thomas Müller,9
Joshua Kimmich,Toni Kroos,2
Joshua Kimmich,İlkay Gündoğan,5
Kai Havertz,Joshua Kimmich,5
Kai Havertz,Robin Gosens,1
Kai Havertz,Thomas Müller,4
Kai Havertz,Toni Kroos,2
Kai Havertz,İlkay Gündoğan,2
Manuel Neuer,Antonio Rüdiger,6
Manuel Neuer,Joshua Kimmich,4
Manuel Neuer,Kai Havertz,1
Manuel Neuer,Mats Hummels,1
Manuel Neuer,Matthias Ginter,9
Manuel Neuer,Robin Gosens,1
Manuel Neuer,Serge Gnabry,1
Manuel Neuer,Thomas Müller,1
Manuel Neuer,Toni Kroos,2
Manuel Neuer,İlkay Gündoğan,1
Mats Hummels,Antonio Rüdiger,4
Mats Hummels,Joshua Kimmich,3
Mats Hummels,Kai Havertz,2
Mats Hummels,Matthias Ginter,13
Mats Hummels,Robin Gosens,1
Mats Hummels,Thomas Müller,1
Mats Hummels,Toni Kroos,6
Mats Hummels,İlkay Gündoğan,6
Matthias Ginter,Antonio Rüdiger,2
Matthias Ginter,Joshua Kimmich,11
Matthias Ginter,Kai Havertz,4
Matthias Ginter,Manuel Neuer,11
Matthias Ginter,Mats Hummels,6
Matthias Ginter,Robin Gosens,1
Matthias Ginter,Serge Gnabry,4
Matthias Ginter,Thomas Müller,2
Matthias Ginter,Toni Kroos,6
Matthias Ginter,İlkay Gündoğan,12
Robin Gosens,Antonio Rüdiger,9
Robin Gosens,Kai Havertz,2
Robin Gosens,Manuel Neuer,1
Robin Gosens,Thomas Müller,3
Robin Gosens,Toni Kroos,9
Robin Gosens,İlkay Gündoğan,2
Serge Gnabry,Antonio Rüdiger,2
Serge Gnabry,Joshua Kimmich,3
Serge Gnabry,Kai Havertz,1
Serge Gnabry,Matthias Ginter,1
Serge Gnabry,Thomas Müller,4
Serge Gnabry,Toni Kroos,3
Serge Gnabry,İlkay Gündoğan,2
Thomas Müller,Antonio Rüdiger,3
Thomas Müller,Joshua Kimmich,9
Thomas Müller,Kai Havertz,6
Thomas Müller,Matthias Ginter,3
Thomas Müller,Robin Gosens,3
Thomas Müller,Serge Gnabry,2
Thomas Müller,Toni Kroos,4
Thomas Müller,İlkay Gündoğan,5
Toni Kroos,Antonio Rüdiger,10
Toni Kroos,Joshua Kimmich,4
Toni Kroos,Kai Havertz,2
Toni Kroos,Manuel Neuer,1
Toni Kroos,Mats Hummels,10
Toni Kroos,Matthias Ginter,10
Toni Kroos,Robin Gosens,11
Toni Kroos,Serge Gnabry,5
Toni Kroos,Thomas Müller,6
Toni Kroos,İlkay Gündoğan,15
İlkay Gündoğan,Antonio Rüdiger,7
İlkay Gündoğan,Joshua Kimmich,5
İlkay Gündoğan,Kai Havertz,1
İlkay Gündoğan,Mats Hummels,5
İlkay Gündoğan,Matthias Ginter,8
İlkay Gündoğan,Robin Gosens,3
İlkay Gündoğan,Serge Gnabry,6
İlkay Gündoğan,Thomas Müller,9
İlkay Gündoğan,Toni Kroos,19
