passer,recipient,n_passes_completed
András Schäfer,Attila Fiola,7
András Schäfer,Attila Szalai,4
András Schäfer,Loïc Négo,1
András Schäfer,László Kleinheisler,1
András Schäfer,Roland Sallai,2
András Schäfer,Willi Orban,5
András Schäfer,Ádám Nagy,4
Attila Fiola,András Schäfer,8
Attila Fiola,Attila Szalai,4
Attila Fiola,László Kleinheisler,1
Attila Fiola,Roland Sallai,5
Attila Fiola,Ádám Nagy,4
Attila Fiola,Ádám Szalai,1
Attila Szalai,András Schäfer,5
Attila Szalai,Attila Fiola,4
Attila Szalai,Péter Gulácsi,9
Attila Szalai,Roland Sallai,3
Attila Szalai,Willi Orban,5
Attila Szalai,Ádám Nagy,8
Endre Botka,Loïc Négo,3
Endre Botka,László Kleinheisler,1
Endre Botka,Péter Gulácsi,2
Endre Botka,Roland Sallai,1
Endre Botka,Willi Orban,7
Endre Botka,Ádám Nagy,5
Endre Botka,Ádám Szalai,1
Loïc Négo,András Schäfer,2
Loïc Négo,Endre Botka,3
Loïc Négo,László Kleinheisler,6
Loïc Négo,Roland Sallai,2
Loïc Négo,Willi Orban,1
Loïc Négo,Ádám Nagy,7
László Kleinheisler,András Schäfer,1
László Kleinheisler,Attila Fiola,1
László Kleinheisler,Endre Botka,3
László Kleinheisler,Loïc Négo,7
László Kleinheisler,Roland Sallai,3
László Kleinheisler,Ádám Nagy,2
Péter Gulácsi,Attila Szalai,17
Péter Gulácsi,Endre Botka,3
Péter Gulácsi,László Kleinheisler,1
Péter Gulácsi,Willi Orban,11
Péter Gulácsi,Ádám Nagy,4
Roland Sallai,András Schäfer,1
Roland Sallai,Attila Fiola,6
Roland Sallai,Attila Szalai,1
Roland Sallai,László Kleinheisler,3
Roland Sallai,Ádám Nagy,1
Willi Orban,András Schäfer,3
Willi Orban,Attila Fiola,1
Willi Orban,Attila Szalai,7
Willi Orban,Endre Botka,5
Willi Orban,Loïc Négo,1
Willi Orban,László Kleinheisler,1
Willi Orban,Péter Gulácsi,9
Willi Orban,Roland Sallai,1
Willi Orban,Ádám Nagy,6
Ádám Nagy,András Schäfer,7
Ádám Nagy,Attila Fiola,5
Ádám Nagy,Attila Szalai,6
Ádám Nagy,Endre Botka,5
Ádám Nagy,Loïc Négo,3
Ádám Nagy,László Kleinheisler,6
Ádám Nagy,Péter Gulácsi,2
Ádám Nagy,Roland Sallai,3
Ádám Nagy,Willi Orban,4
Ádám Nagy,Ádám Szalai,1
Ádám Szalai,Attila Fiola,1
