passer,recipient,n_passes_completed
Aleksandar Trajkovski,Arijan Ademi,1
Aleksandar Trajkovski,Eljif Elmas,2
Aleksandar Trajkovski,Enis Bardhi,2
Aleksandar Trajkovski,Ezgjan Alioski,1
Aleksandar Trajkovski,Goran Pandev,2
Aleksandar Trajkovski,Stefan Ristovski,4
Aleksandar Trajkovski,Visar Musliu,1
Arijan Ademi,Aleksandar Trajkovski,1
Arijan Ademi,Darko Velkovski,1
Arijan Ademi,Eljif Elmas,2
Arijan Ademi,Enis Bardhi,6
Arijan Ademi,Ezgjan Alioski,4
Arijan Ademi,Goran Pandev,1
Arijan Ademi,Stefan Ristovski,3
Arijan Ademi,Visar Musliu,1
Boban Nikolov,Aleksandar Trajkovski,1
Boban Nikolov,Goran Pandev,2
Boban Nikolov,Stefan Ristovski,2
Boban Nikolov,Stole Dimitrievski,1
Darko Velkovski,Arijan Ademi,5
Darko Velkovski,Eljif Elmas,2
Darko Velkovski,Ezgjan Alioski,4
Darko Velkovski,Goran Pandev,3
Darko Velkovski,Stefan Ristovski,6
Darko Velkovski,Stole Dimitrievski,2
Darko Velkovski,Visar Musliu,3
Eljif Elmas,Aleksandar Trajkovski,3
Eljif Elmas,Arijan Ademi,2
Eljif Elmas,Enis Bardhi,3
Eljif Elmas,Ezgjan Alioski,12
Eljif Elmas,Goran Pandev,2
Eljif Elmas,Stefan Ristovski,2
Eljif Elmas,Visar Musliu,3
Enis Bardhi,Aleksandar Trajkovski,1
Enis Bardhi,Arijan Ademi,1
Enis Bardhi,Boban Nikolov,2
Enis Bardhi,Darko Velkovski,1
Enis Bardhi,Eljif Elmas,3
Enis Bardhi,Ezgjan Alioski,8
Enis Bardhi,Stefan Ristovski,2
Enis Bardhi,Stole Dimitrievski,1
Enis Bardhi,Visar Musliu,3
Ezgjan Alioski,Aleksandar Trajkovski,9
Ezgjan Alioski,Arijan Ademi,4
Ezgjan Alioski,Eljif Elmas,11
Ezgjan Alioski,Enis Bardhi,5
Ezgjan Alioski,Goran Pandev,11
Ezgjan Alioski,Stefan Ristovski,3
Ezgjan Alioski,Stole Dimitrievski,3
Ezgjan Alioski,Visar Musliu,2
Goran Pandev,Aleksandar Trajkovski,4
Goran Pandev,Arijan Ademi,2
Goran Pandev,Boban Nikolov,1
Goran Pandev,Eljif Elmas,3
Goran Pandev,Enis Bardhi,2
Goran Pandev,Ezgjan Alioski,4
Goran Pandev,Stefan Ristovski,1
Stefan Ristovski,Aleksandar Trajkovski,1
Stefan Ristovski,Arijan Ademi,1
Stefan Ristovski,Boban Nikolov,5
Stefan Ristovski,Darko Velkovski,9
Stefan Ristovski,Enis Bardhi,7
Stefan Ristovski,Goran Pandev,1
Stefan Ristovski,Stole Dimitrievski,5
Stole Dimitrievski,Aleksandar Trajkovski,2
Stole Dimitrievski,Eljif Elmas,2
Stole Dimitrievski,Enis Bardhi,3
Stole Dimitrievski,Ezgjan Alioski,3
Stole Dimitrievski,Goran Pandev,1
Stole Dimitrievski,Stefan Ristovski,5
Visar Musliu,Arijan Ademi,1
Visar Musliu,Darko Velkovski,5
Visar Musliu,Eljif Elmas,2
Visar Musliu,Ezgjan Alioski,6
Visar Musliu,Stefan Ristovski,3
