passer,recipient,n_passes_completed
Arijan Ademi,Boban Nikolov,2
Arijan Ademi,Darko Velkovski,4
Arijan Ademi,Eljif Elmas,3
Arijan Ademi,Enis Bardhi,5
Arijan Ademi,Ezgjan Alioski,1
Arijan Ademi,Goran Pandev,4
Arijan Ademi,Stefan Ristovski,4
Arijan Ademi,Visar Musliu,2
Boban Nikolov,Arijan Ademi,1
Boban Nikolov,Darko Velkovski,1
Boban Nikolov,Eljif Elmas,2
Boban Nikolov,Goran Pandev,2
Boban Nikolov,Stefan Ristovski,12
Darko Velkovski,Arijan Ademi,4
Darko Velkovski,Boban Nikolov,3
Darko Velkovski,Eljif Elmas,4
Darko Velkovski,Enis Bardhi,5
Darko Velkovski,Ezgjan Alioski,3
Darko Velkovski,Goran Pandev,2
Darko Velkovski,Stefan Ristovski,4
Darko Velkovski,Stefan Spirovski,2
Darko Velkovski,Stole Dimitrievski,6
Darko Velkovski,Visar Musliu,10
Eljif Elmas,Darko Velkovski,3
Eljif Elmas,Enis Bardhi,5
Eljif Elmas,Ezgjan Alioski,3
Eljif Elmas,Goran Pandev,2
Eljif Elmas,Stefan Ristovski,6
Eljif Elmas,Stefan Spirovski,2
Eljif Elmas,Visar Musliu,6
Enis Bardhi,Arijan Ademi,6
Enis Bardhi,Boban Nikolov,4
Enis Bardhi,Darko Velkovski,1
Enis Bardhi,Eljif Elmas,3
Enis Bardhi,Ezgjan Alioski,7
Enis Bardhi,Goran Pandev,2
Enis Bardhi,Stefan Ristovski,4
Enis Bardhi,Visar Musliu,4
Ezgjan Alioski,Arijan Ademi,2
Ezgjan Alioski,Darko Velkovski,2
Ezgjan Alioski,Eljif Elmas,3
Ezgjan Alioski,Enis Bardhi,8
Ezgjan Alioski,Goran Pandev,7
Ezgjan Alioski,Stefan Spirovski,2
Ezgjan Alioski,Stole Dimitrievski,1
Ezgjan Alioski,Visar Musliu,6
Goran Pandev,Arijan Ademi,3
Goran Pandev,Boban Nikolov,1
Goran Pandev,Darko Velkovski,1
Goran Pandev,Eljif Elmas,4
Goran Pandev,Enis Bardhi,1
Goran Pandev,Ezgjan Alioski,3
Stefan Ristovski,Arijan Ademi,4
Stefan Ristovski,Boban Nikolov,6
Stefan Ristovski,Darko Velkovski,8
Stefan Ristovski,Eljif Elmas,6
Stefan Ristovski,Enis Bardhi,4
Stefan Ristovski,Goran Pandev,5
Stefan Ristovski,Stefan Spirovski,2
Stefan Ristovski,Stole Dimitrievski,1
Stefan Ristovski,Visar Musliu,3
Stefan Spirovski,Arijan Ademi,2
Stefan Spirovski,Boban Nikolov,1
Stefan Spirovski,Darko Velkovski,2
Stefan Spirovski,Eljif Elmas,3
Stefan Spirovski,Enis Bardhi,1
Stefan Spirovski,Ezgjan Alioski,1
Stefan Spirovski,Stefan Ristovski,1
Stole Dimitrievski,Arijan Ademi,2
Stole Dimitrievski,Darko Velkovski,6
Stole Dimitrievski,Eljif Elmas,2
Stole Dimitrievski,Enis Bardhi,2
Stole Dimitrievski,Ezgjan Alioski,4
Stole Dimitrievski,Goran Pandev,3
Stole Dimitrievski,Stefan Ristovski,4
Stole Dimitrievski,Visar Musliu,4
Visar Musliu,Arijan Ademi,3
Visar Musliu,Boban Nikolov,3
Visar Musliu,Darko Velkovski,11
Visar Musliu,Eljif Elmas,4
Visar Musliu,Enis Bardhi,6
Visar Musliu,Ezgjan Alioski,4
Visar Musliu,Stefan Ristovski,5
Visar Musliu,Stole Dimitrievski,6
