passer,recipient,n_passes_completed
Bernardo Mota Veiga de Carvalho e Silva,Cristiano Ronaldo dos Santos Aveiro,1
Bernardo Mota Veiga de Carvalho e Silva,José Diogo Dalot Teixeira,9
Bernardo Mota Veiga de Carvalho e Silva,João Filipe Iria Santos Moutinho,2
Bernardo Mota Veiga de Carvalho e Silva,Raphaël Adelino José Guerreiro,1
Bernardo Mota Veiga de Carvalho e Silva,Renato Júnior Luz Sanches,3
Cristiano Ronaldo dos Santos Aveiro,Bernardo Mota Veiga de Carvalho e Silva,3
Cristiano Ronaldo dos Santos Aveiro,Diogo José Teixeira da Silva,6
Cristiano Ronaldo dos Santos Aveiro,José Diogo Dalot Teixeira,2
Cristiano Ronaldo dos Santos Aveiro,João Filipe Iria Santos Moutinho,5
Cristiano Ronaldo dos Santos Aveiro,João Maria Lobo Alves Palhinha Gonçalves,2
Cristiano Ronaldo dos Santos Aveiro,Kléper Laveran Lima Ferreira,1
Cristiano Ronaldo dos Santos Aveiro,Raphaël Adelino José Guerreiro,4
Cristiano Ronaldo dos Santos Aveiro,Renato Júnior Luz Sanches,2
Diogo José Teixeira da Silva,Bernardo Mota Veiga de Carvalho e Silva,1
Diogo José Teixeira da Silva,Cristiano Ronaldo dos Santos Aveiro,4
Diogo José Teixeira da Silva,José Diogo Dalot Teixeira,1
Diogo José Teixeira da Silva,João Filipe Iria Santos Moutinho,1
Diogo José Teixeira da Silva,João Maria Lobo Alves Palhinha Gonçalves,3
Diogo José Teixeira da Silva,Raphaël Adelino José Guerreiro,9
Diogo José Teixeira da Silva,Renato Júnior Luz Sanches,8
Diogo José Teixeira da Silva,Rúben Santos Gato Alves Dias,2
José Diogo Dalot Teixeira,Bernardo Mota Veiga de Carvalho e Silva,6
José Diogo Dalot Teixeira,Cristiano Ronaldo dos Santos Aveiro,5
José Diogo Dalot Teixeira,Diogo José Teixeira da Silva,1
José Diogo Dalot Teixeira,João Filipe Iria Santos Moutinho,7
José Diogo Dalot Teixeira,João Maria Lobo Alves Palhinha Gonçalves,4
José Diogo Dalot Teixeira,Kléper Laveran Lima Ferreira,22
José Diogo Dalot Teixeira,Raphaël Adelino José Guerreiro,2
José Diogo Dalot Teixeira,Renato Júnior Luz Sanches,2
José Diogo Dalot Teixeira,Rui Pedro dos Santos Patrício,1
José Diogo Dalot Teixeira,Rúben Santos Gato Alves Dias,1
João Filipe Iria Santos Moutinho,Bernardo Mota Veiga de Carvalho e Silva,3
João Filipe Iria Santos Moutinho,Cristiano Ronaldo dos Santos Aveiro,2
João Filipe Iria Santos Moutinho,Diogo José Teixeira da Silva,4
João Filipe Iria Santos Moutinho,José Diogo Dalot Teixeira,4
João Filipe Iria Santos Moutinho,João Maria Lobo Alves Palhinha Gonçalves,3
João Filipe Iria Santos Moutinho,Kléper Laveran Lima Ferreira,4
João Filipe Iria Santos Moutinho,Raphaël Adelino José Guerreiro,1
João Filipe Iria Santos Moutinho,Renato Júnior Luz Sanches,3
João Filipe Iria Santos Moutinho,Rúben Santos Gato Alves Dias,4
João Maria Lobo Alves Palhinha Gonçalves,Bernardo Mota Veiga de Carvalho e Silva,2
João Maria Lobo Alves Palhinha Gonçalves,Cristiano Ronaldo dos Santos Aveiro,1
João Maria Lobo Alves Palhinha Gonçalves,Diogo José Teixeira da Silva,1
João Maria Lobo Alves Palhinha Gonçalves,José Diogo Dalot Teixeira,5
João Maria Lobo Alves Palhinha Gonçalves,João Filipe Iria Santos Moutinho,2
João Maria Lobo Alves Palhinha Gonçalves,Kléper Laveran Lima Ferreira,3
João Maria Lobo Alves Palhinha Gonçalves,Raphaël Adelino José Guerreiro,1
João Maria Lobo Alves Palhinha Gonçalves,Renato Júnior Luz Sanches,7
João Maria Lobo Alves Palhinha Gonçalves,Rúben Santos Gato Alves Dias,5
Kléper Laveran Lima Ferreira,Cristiano Ronaldo dos Santos Aveiro,6
Kléper Laveran Lima Ferreira,José Diogo Dalot Teixeira,13
Kléper Laveran Lima Ferreira,João Filipe Iria Santos Moutinho,2
Kléper Laveran Lima Ferreira,João Maria Lobo Alves Palhinha Gonçalves,3
Kléper Laveran Lima Ferreira,Raphaël Adelino José Guerreiro,7
Kléper Laveran Lima Ferreira,Renato Júnior Luz Sanches,4
Kléper Laveran Lima Ferreira,Rui Pedro dos Santos Patrício,8
Kléper Laveran Lima Ferreira,Rúben Santos Gato Alves Dias,16
Raphaël Adelino José Guerreiro,Cristiano Ronaldo dos Santos Aveiro,4
Raphaël Adelino José Guerreiro,Diogo José Teixeira da Silva,11
Raphaël Adelino José Guerreiro,José Diogo Dalot Teixeira,1
Raphaël Adelino José Guerreiro,João Filipe Iria Santos Moutinho,3
Raphaël Adelino José Guerreiro,João Maria Lobo Alves Palhinha Gonçalves,8
Raphaël Adelino José Guerreiro,Kléper Laveran Lima Ferreira,1
Raphaël Adelino José Guerreiro,Renato Júnior Luz Sanches,28
Raphaël Adelino José Guerreiro,Rui Pedro dos Santos Patrício,1
Raphaël Adelino José Guerreiro,Rúben Santos Gato Alves Dias,10
Renato Júnior Luz Sanches,Bernardo Mota Veiga de Carvalho e Silva,1
Renato Júnior Luz Sanches,Cristiano Ronaldo dos Santos Aveiro,7
Renato Júnior Luz Sanches,Diogo José Teixeira da Silva,8
Renato Júnior Luz Sanches,José Diogo Dalot Teixeira,9
Renato Júnior Luz Sanches,João Filipe Iria Santos Moutinho,3
Renato Júnior Luz Sanches,João Maria Lobo Alves Palhinha Gonçalves,7
Renato Júnior Luz Sanches,Kléper Laveran Lima Ferreira,9
Renato Júnior Luz Sanches,Raphaël Adelino José Guerreiro,9
Renato Júnior Luz Sanches,Rúben Santos Gato Alves Dias,3
Rui Pedro dos Santos Patrício,José Diogo Dalot Teixeira,1
Rui Pedro dos Santos Patrício,João Filipe Iria Santos Moutinho,2
Rui Pedro dos Santos Patrício,Kléper Laveran Lima Ferreira,3
Rui Pedro dos Santos Patrício,Rúben Santos Gato Alves Dias,9
Rúben Santos Gato Alves Dias,Bernardo Mota Veiga de Carvalho e Silva,1
Rúben Santos Gato Alves Dias,Cristiano Ronaldo dos Santos Aveiro,1
Rúben Santos Gato Alves Dias,Diogo José Teixeira da Silva,3
Rúben Santos Gato Alves Dias,José Diogo Dalot Teixeira,1
Rúben Santos Gato Alves Dias,João Filipe Iria Santos Moutinho,3
Rúben Santos Gato Alves Dias,João Maria Lobo Alves Palhinha Gonçalves,1
Rúben Santos Gato Alves Dias,Kléper Laveran Lima Ferreira,14
Rúben Santos Gato Alves Dias,Raphaël Adelino José Guerreiro,25
Rúben Santos Gato Alves Dias,Renato Júnior Luz Sanches,3
Rúben Santos Gato Alves Dias,Rui Pedro dos Santos Patrício,2
