passer,recipient,n_passes_completed
Jakub Hromada,Juraj Kucka,2
Jakub Hromada,Marek Hamšík,3
Jakub Hromada,Milan Škriniar,4
Jakub Hromada,Ondrej Duda,2
Jakub Hromada,Peter Pekarík,5
Jakub Hromada,Róbert Mak,3
Jakub Hromada,Tomáš Hubočan,2
Jakub Hromada,Ľubomír Šatka,2
Juraj Kucka,Jakub Hromada,3
Juraj Kucka,Lukáš Haraslín,3
Juraj Kucka,Marek Hamšík,1
Juraj Kucka,Milan Škriniar,3
Juraj Kucka,Ondrej Duda,4
Juraj Kucka,Peter Pekarík,4
Juraj Kucka,Róbert Mak,4
Juraj Kucka,Tomáš Hubočan,1
Juraj Kucka,Ľubomír Šatka,4
Lukáš Haraslín,Juraj Kucka,1
Lukáš Haraslín,Ondrej Duda,4
Lukáš Haraslín,Peter Pekarík,2
Lukáš Haraslín,Róbert Mak,1
Lukáš Haraslín,Tomáš Hubočan,1
Lukáš Haraslín,Ľubomír Šatka,2
Marek Hamšík,Jakub Hromada,5
Marek Hamšík,Juraj Kucka,6
Marek Hamšík,Lukáš Haraslín,1
Marek Hamšík,Milan Škriniar,4
Marek Hamšík,Ondrej Duda,9
Marek Hamšík,Peter Pekarík,5
Marek Hamšík,Róbert Mak,4
Marek Hamšík,Tomáš Hubočan,4
Martin Dúbravka,Jakub Hromada,1
Martin Dúbravka,Juraj Kucka,4
Martin Dúbravka,Milan Škriniar,5
Martin Dúbravka,Peter Pekarík,3
Martin Dúbravka,Tomáš Hubočan,2
Martin Dúbravka,Ľubomír Šatka,11
Milan Škriniar,Jakub Hromada,2
Milan Škriniar,Juraj Kucka,2
Milan Škriniar,Marek Hamšík,7
Milan Škriniar,Martin Dúbravka,10
Milan Škriniar,Ondrej Duda,1
Milan Škriniar,Róbert Mak,2
Milan Škriniar,Tomáš Hubočan,11
Milan Škriniar,Ľubomír Šatka,8
Ondrej Duda,Jakub Hromada,3
Ondrej Duda,Juraj Kucka,2
Ondrej Duda,Lukáš Haraslín,2
Ondrej Duda,Marek Hamšík,6
Ondrej Duda,Milan Škriniar,3
Ondrej Duda,Peter Pekarík,4
Ondrej Duda,Róbert Mak,6
Ondrej Duda,Tomáš Hubočan,3
Ondrej Duda,Ľubomír Šatka,3
Peter Pekarík,Juraj Kucka,6
Peter Pekarík,Lukáš Haraslín,7
Peter Pekarík,Marek Hamšík,5
Peter Pekarík,Martin Dúbravka,1
Peter Pekarík,Milan Škriniar,1
Peter Pekarík,Ondrej Duda,9
Peter Pekarík,Ľubomír Šatka,12
Róbert Mak,Jakub Hromada,2
Róbert Mak,Lukáš Haraslín,1
Róbert Mak,Marek Hamšík,4
Róbert Mak,Milan Škriniar,4
Róbert Mak,Ondrej Duda,3
Róbert Mak,Peter Pekarík,2
Róbert Mak,Tomáš Hubočan,4
Róbert Mak,Ľubomír Šatka,1
Tomáš Hubočan,Jakub Hromada,1
Tomáš Hubočan,Juraj Kucka,3
Tomáš Hubočan,Lukáš Haraslín,1
Tomáš Hubočan,Marek Hamšík,6
Tomáš Hubočan,Martin Dúbravka,1
Tomáš Hubočan,Milan Škriniar,10
Tomáš Hubočan,Ondrej Duda,5
Tomáš Hubočan,Peter Pekarík,1
Tomáš Hubočan,Róbert Mak,11
Ľubomír Šatka,Jakub Hromada,9
Ľubomír Šatka,Juraj Kucka,8
Ľubomír Šatka,Lukáš Haraslín,1
Ľubomír Šatka,Marek Hamšík,4
Ľubomír Šatka,Martin Dúbravka,10
Ľubomír Šatka,Milan Škriniar,8
Ľubomír Šatka,Ondrej Duda,1
Ľubomír Šatka,Peter Pekarík,6
Ľubomír Šatka,Róbert Mak,1
Ľubomír Šatka,Tomáš Hubočan,2
