passer,recipient,n_passes_completed
Jakub Hromada,Ondrej Duda,2
Jakub Hromada,Peter Pekarík,1
Jakub Hromada,Róbert Mak,1
Jakub Hromada,Tomáš Hubočan,1
Jakub Hromada,Ľubomír Šatka,2
Juraj Kucka,Marek Hamšík,3
Juraj Kucka,Martin Dúbravka,1
Juraj Kucka,Milan Škriniar,3
Juraj Kucka,Ondrej Duda,2
Juraj Kucka,Peter Pekarík,2
Juraj Kucka,Róbert Mak,1
Juraj Kucka,Tomáš Hubočan,2
Juraj Kucka,Ľubomír Šatka,3
Lukáš Haraslín,Jakub Hromada,1
Lukáš Haraslín,Marek Hamšík,1
Lukáš Haraslín,Martin Dúbravka,1
Lukáš Haraslín,Milan Škriniar,1
Lukáš Haraslín,Peter Pekarík,4
Lukáš Haraslín,Róbert Mak,1
Marek Hamšík,Juraj Kucka,5
Marek Hamšík,Lukáš Haraslín,1
Marek Hamšík,Milan Škriniar,8
Marek Hamšík,Peter Pekarík,5
Marek Hamšík,Róbert Mak,3
Marek Hamšík,Tomáš Hubočan,4
Marek Hamšík,Ľubomír Šatka,5
Martin Dúbravka,Juraj Kucka,2
Martin Dúbravka,Lukáš Haraslín,1
Martin Dúbravka,Marek Hamšík,1
Martin Dúbravka,Milan Škriniar,4
Martin Dúbravka,Peter Pekarík,4
Martin Dúbravka,Róbert Mak,1
Martin Dúbravka,Tomáš Hubočan,4
Martin Dúbravka,Ľubomír Šatka,9
Milan Škriniar,Jakub Hromada,1
Milan Škriniar,Juraj Kucka,3
Milan Škriniar,Marek Hamšík,4
Milan Škriniar,Martin Dúbravka,3
Milan Škriniar,Róbert Mak,1
Milan Škriniar,Tomáš Hubočan,4
Milan Škriniar,Ľubomír Šatka,4
Ondrej Duda,Lukáš Haraslín,1
Ondrej Duda,Marek Hamšík,1
Ondrej Duda,Martin Dúbravka,1
Ondrej Duda,Peter Pekarík,1
Ondrej Duda,Ľubomír Šatka,1
Peter Pekarík,Jakub Hromada,2
Peter Pekarík,Juraj Kucka,4
Peter Pekarík,Lukáš Haraslín,5
Peter Pekarík,Marek Hamšík,10
Peter Pekarík,Martin Dúbravka,4
Peter Pekarík,Ondrej Duda,1
Peter Pekarík,Ľubomír Šatka,6
Róbert Mak,Lukáš Haraslín,1
Róbert Mak,Marek Hamšík,1
Róbert Mak,Milan Škriniar,2
Róbert Mak,Ondrej Duda,1
Róbert Mak,Tomáš Hubočan,4
Róbert Mak,Ľubomír Šatka,2
Tomáš Hubočan,Juraj Kucka,2
Tomáš Hubočan,Marek Hamšík,7
Tomáš Hubočan,Milan Škriniar,1
Tomáš Hubočan,Ondrej Duda,1
Tomáš Hubočan,Róbert Mak,3
Ľubomír Šatka,Jakub Hromada,2
Ľubomír Šatka,Juraj Kucka,2
Ľubomír Šatka,Lukáš Haraslín,1
Ľubomír Šatka,Marek Hamšík,3
Ľubomír Šatka,Martin Dúbravka,8
Ľubomír Šatka,Milan Škriniar,7
Ľubomír Šatka,Ondrej Duda,2
Ľubomír Šatka,Peter Pekarík,6
Ľubomír Šatka,Tomáš Hubočan,2
