passer,recipient,n_passes_completed
Breel-Donald Embolo,Granit Xhaka,3
Breel-Donald Embolo,Haris Seferović,1
Breel-Donald Embolo,Kevin Mbabu,1
Breel-Donald Embolo,Remo Freuler,2
Breel-Donald Embolo,Xherdan Shaqiri,6
Fabian Lukas Schär,Breel-Donald Embolo,3
Fabian Lukas Schär,Granit Xhaka,4
Fabian Lukas Schär,Haris Seferović,1
Fabian Lukas Schär,Kevin Mbabu,2
Fabian Lukas Schär,Manuel Obafemi Akanji,6
Fabian Lukas Schär,Nico Elvedi,6
Fabian Lukas Schär,Remo Freuler,3
Fabian Lukas Schär,Ricardo Iván Rodríguez Araya,2
Fabian Lukas Schär,Xherdan Shaqiri,1
Fabian Lukas Schär,Yann Sommer,3
Granit Xhaka,Breel-Donald Embolo,2
Granit Xhaka,Fabian Lukas Schär,5
Granit Xhaka,Haris Seferović,2
Granit Xhaka,Kevin Mbabu,1
Granit Xhaka,Manuel Obafemi Akanji,13
Granit Xhaka,Nico Elvedi,8
Granit Xhaka,Remo Freuler,10
Granit Xhaka,Ricardo Iván Rodríguez Araya,15
Granit Xhaka,Xherdan Shaqiri,9
Granit Xhaka,Yann Sommer,4
Haris Seferović,Breel-Donald Embolo,2
Haris Seferović,Granit Xhaka,1
Haris Seferović,Ricardo Iván Rodríguez Araya,4
Haris Seferović,Xherdan Shaqiri,1
Kevin Mbabu,Breel-Donald Embolo,3
Kevin Mbabu,Fabian Lukas Schär,1
Kevin Mbabu,Manuel Obafemi Akanji,1
Kevin Mbabu,Nico Elvedi,3
Kevin Mbabu,Remo Freuler,4
Kevin Mbabu,Xherdan Shaqiri,5
Kevin Mbabu,Yann Sommer,1
Manuel Obafemi Akanji,Breel-Donald Embolo,1
Manuel Obafemi Akanji,Fabian Lukas Schär,8
Manuel Obafemi Akanji,Granit Xhaka,10
Manuel Obafemi Akanji,Haris Seferović,1
Manuel Obafemi Akanji,Kevin Mbabu,1
Manuel Obafemi Akanji,Nico Elvedi,5
Manuel Obafemi Akanji,Remo Freuler,4
Manuel Obafemi Akanji,Ricardo Iván Rodríguez Araya,16
Manuel Obafemi Akanji,Xherdan Shaqiri,2
Manuel Obafemi Akanji,Yann Sommer,4
Nico Elvedi,Breel-Donald Embolo,2
Nico Elvedi,Fabian Lukas Schär,7
Nico Elvedi,Granit Xhaka,9
Nico Elvedi,Kevin Mbabu,6
Nico Elvedi,Manuel Obafemi Akanji,3
Nico Elvedi,Remo Freuler,6
Nico Elvedi,Xherdan Shaqiri,2
Nico Elvedi,Yann Sommer,4
Remo Freuler,Breel-Donald Embolo,2
Remo Freuler,Fabian Lukas Schär,3
Remo Freuler,Granit Xhaka,15
Remo Freuler,Haris Seferović,2
Remo Freuler,Kevin Mbabu,3
Remo Freuler,Manuel Obafemi Akanji,1
Remo Freuler,Nico Elvedi,9
Remo Freuler,Ricardo Iván Rodríguez Araya,1
Remo Freuler,Xherdan Shaqiri,2
Ricardo Iván Rodríguez Araya,Breel-Donald Embolo,4
Ricardo Iván Rodríguez Araya,Granit Xhaka,22
Ricardo Iván Rodríguez Araya,Haris Seferović,1
Ricardo Iván Rodríguez Araya,Manuel Obafemi Akanji,14
Ricardo Iván Rodríguez Araya,Nico Elvedi,3
Ricardo Iván Rodríguez Araya,Remo Freuler,3
Ricardo Iván Rodríguez Araya,Xherdan Shaqiri,1
Ricardo Iván Rodríguez Araya,Yann Sommer,1
Xherdan Shaqiri,Breel-Donald Embolo,2
Xherdan Shaqiri,Fabian Lukas Schär,3
Xherdan Shaqiri,Granit Xhaka,5
Xherdan Shaqiri,Kevin Mbabu,3
Xherdan Shaqiri,Manuel Obafemi Akanji,2
Xherdan Shaqiri,Nico Elvedi,6
Xherdan Shaqiri,Remo Freuler,3
Xherdan Shaqiri,Ricardo Iván Rodríguez Araya,6
Yann Sommer,Breel-Donald Embolo,4
Yann Sommer,Fabian Lukas Schär,2
Yann Sommer,Granit Xhaka,4
Yann Sommer,Haris Seferović,2
Yann Sommer,Manuel Obafemi Akanji,8
Yann Sommer,Nico Elvedi,1
Yann Sommer,Remo Freuler,1
Yann Sommer,Ricardo Iván Rodríguez Araya,3
