passer,recipient,n_passes_completed
Breel-Donald Embolo,Nico Elvedi,1
Breel-Donald Embolo,Xherdan Shaqiri,1
Denis Lemi Zakaria Lako Lado,Manuel Obafemi Akanji,4
Denis Lemi Zakaria Lako Lado,Nico Elvedi,3
Denis Lemi Zakaria Lako Lado,Remo Freuler,2
Denis Lemi Zakaria Lako Lado,Ricardo Iván Rodríguez Araya,1
Denis Lemi Zakaria Lako Lado,Silvan Widmer,1
Denis Lemi Zakaria Lako Lado,Steven Zuber,1
Denis Lemi Zakaria Lako Lado,Xherdan Shaqiri,2
Haris Seferović,Silvan Widmer,1
Haris Seferović,Steven Zuber,1
Haris Seferović,Xherdan Shaqiri,3
Manuel Obafemi Akanji,Denis Lemi Zakaria Lako Lado,1
Manuel Obafemi Akanji,Nico Elvedi,6
Manuel Obafemi Akanji,Remo Freuler,6
Manuel Obafemi Akanji,Ricardo Iván Rodríguez Araya,3
Manuel Obafemi Akanji,Silvan Widmer,4
Manuel Obafemi Akanji,Steven Zuber,6
Manuel Obafemi Akanji,Xherdan Shaqiri,2
Manuel Obafemi Akanji,Yann Sommer,6
Nico Elvedi,Denis Lemi Zakaria Lako Lado,1
Nico Elvedi,Manuel Obafemi Akanji,4
Nico Elvedi,Remo Freuler,2
Nico Elvedi,Silvan Widmer,5
Nico Elvedi,Xherdan Shaqiri,2
Nico Elvedi,Yann Sommer,8
Remo Freuler,Denis Lemi Zakaria Lako Lado,1
Remo Freuler,Haris Seferović,2
Remo Freuler,Manuel Obafemi Akanji,3
Remo Freuler,Nico Elvedi,2
Remo Freuler,Ricardo Iván Rodríguez Araya,4
Remo Freuler,Silvan Widmer,2
Remo Freuler,Steven Zuber,1
Remo Freuler,Xherdan Shaqiri,5
Remo Freuler,Yann Sommer,1
Ricardo Iván Rodríguez Araya,Denis Lemi Zakaria Lako Lado,3
Ricardo Iván Rodríguez Araya,Haris Seferović,2
Ricardo Iván Rodríguez Araya,Manuel Obafemi Akanji,1
Ricardo Iván Rodríguez Araya,Nico Elvedi,3
Ricardo Iván Rodríguez Araya,Remo Freuler,1
Ricardo Iván Rodríguez Araya,Silvan Widmer,1
Ricardo Iván Rodríguez Araya,Steven Zuber,8
Ricardo Iván Rodríguez Araya,Xherdan Shaqiri,3
Ricardo Iván Rodríguez Araya,Yann Sommer,5
Silvan Widmer,Denis Lemi Zakaria Lako Lado,5
Silvan Widmer,Haris Seferović,5
Silvan Widmer,Manuel Obafemi Akanji,1
Silvan Widmer,Nico Elvedi,5
Silvan Widmer,Remo Freuler,1
Silvan Widmer,Xherdan Shaqiri,2
Silvan Widmer,Yann Sommer,5
Steven Zuber,Manuel Obafemi Akanji,2
Steven Zuber,Remo Freuler,5
Steven Zuber,Ricardo Iván Rodríguez Araya,2
Steven Zuber,Silvan Widmer,1
Steven Zuber,Xherdan Shaqiri,4
Steven Zuber,Yann Sommer,1
Xherdan Shaqiri,Denis Lemi Zakaria Lako Lado,1
Xherdan Shaqiri,Haris Seferović,1
Xherdan Shaqiri,Manuel Obafemi Akanji,3
Xherdan Shaqiri,Nico Elvedi,2
Xherdan Shaqiri,Remo Freuler,1
Xherdan Shaqiri,Ricardo Iván Rodríguez Araya,6
Xherdan Shaqiri,Silvan Widmer,1
Xherdan Shaqiri,Steven Zuber,7
Yann Sommer,Haris Seferović,2
Yann Sommer,Manuel Obafemi Akanji,9
Yann Sommer,Nico Elvedi,6
Yann Sommer,Ricardo Iván Rodríguez Araya,2
Yann Sommer,Silvan Widmer,5
Yann Sommer,Steven Zuber,4
Yann Sommer,Xherdan Shaqiri,1
