team,match,Ci,Co,weight_centralization,network_intensity
Austria,Austria_North Macedonia,0.11272264631043256,0.1267175572519084,0.039218432663351774,393
Austria,Italy_Austria,0.053593429158110883,0.06262833675564682,0.018650038618766837,487
Austria,Netherlands_Austria,0.08333333333333333,0.08944444444444444,0.0408256880733945,360
Austria,Ukraine_Austria,0.06566265060240964,0.0789156626506024,0.02553332596440809,332
Belgium,Belgium_Italy,0.08090185676392574,0.08381962864721486,0.031027182245151243,377
Belgium,Belgium_Portugal,0.07941176470588235,0.08235294117647059,0.03125153314036207,374
Belgium,Belgium_Russia,0.07921348314606741,0.09157303370786517,0.04138748582620348,534
Belgium,Denmark_Belgium,0.07455919395465994,0.08564231738035265,0.033693064959674626,397
Belgium,Finland_Belgium,0.0601027397260274,0.046917808219178084,0.036901470403418374,584
Croatia,Croatia_Czech Republic,0.08092105263157895,0.05197368421052632,0.022633993239980686,304
Croatia,Croatia_Scotland,0.07832422586520947,0.06630236794171221,0.03866913988736819,549
Croatia,Croatia_Spain,0.092,0.076,0.032827356130108426,275
Croatia,England_Croatia,0.08073654390934844,0.08385269121813031,0.022870805936013722,353
Czech Republic,Croatia_Czech Republic,0.076,0.054,0.01577981651376147,300
Czech Republic,Czech Republic_Denmark,0.05331010452961672,0.05714285714285714,0.023015695425630533,287
Czech Republic,Czech Republic_England,0.06153846153846154,0.07692307692307693,0.029832552768332583,286
Czech Republic,Netherlands_Czech Republic,0.03992932862190813,0.04381625441696113,0.02385969462184329,283
Czech Republic,Scotland_Czech Republic,0.0777292576419214,0.12096069868995633,0.006409999599375025,229
Denmark,Czech Republic_Denmark,0.04426229508196721,0.05778688524590164,0.019852609414949617,244
Denmark,Denmark_Belgium,0.10442477876106195,0.10117994100294986,0.02955265080782658,339
Denmark,Denmark_Finland,0.05634517766497462,0.08984771573604061,0.044567596516555674,394
Denmark,England_Denmark,0.05714285714285714,0.06988416988416989,0.030781764726718855,259
Denmark,Russia_Denmark,0.050645994832041345,0.05917312661498708,0.025033781381125098,387
Denmark,Wales_Denmark,0.07220447284345048,0.06869009584664537,0.03405926664126389,313
England,Czech Republic_England,0.07084468664850137,0.06185286103542234,0.02827287953403495,367
England,England_Croatia,0.05958549222797927,0.07383419689119171,0.029614488757902742,386
England,England_Denmark,0.04732142857142857,0.06107142857142857,0.03423984272608126,560
England,England_Germany,0.03498694516971279,0.05796344647519582,0.022396818933096987,383
England,England_Scotland,0.06546610169491525,0.09809322033898304,0.03632794277717307,472
England,Italy_England,0.07233333333333333,0.087,0.03669724770642202,300
England,Ukraine_England,0.08581081081081081,0.10067567567567567,0.03512686998925531,444
Finland,Denmark_Finland,0.08333333333333333,0.071875,0.02150229357798165,192
Finland,Finland_Belgium,0.05862068965517241,0.07241379310344828,0.025941157861436255,319
Finland,Finland_Russia,0.10671140939597315,0.10302013422818793,0.030293701126777907,298
France,France_Germany,0.04666666666666667,0.032,0.012623853211009175,375
France,France_Switzerland,0.04816326530612245,0.04591836734693878,0.007039880172252387,490
France,Hungary_France,0.05891181988742964,0.07335834896810507,0.02241079573816204,533
France,Portugal_France,0.09667359667359668,0.0920997920997921,0.0050926014228766525,481
Germany,England_Germany,0.07342342342342342,0.08828828828828829,0.03719315645921151,444
Germany,France_Germany,0.07135678391959799,0.07872696817420435,0.005655187251240914,597
Germany,Germany_Hungary,0.09807073954983923,0.09453376205787781,0.05348240361072598,622
Germany,Portugal_Germany,0.08126410835214447,0.08374717832957111,0.0018638556961501026,443
Hungary,Germany_Hungary,0.03908045977011494,0.032758620689655175,0.015817779183802595,174
Hungary,Hungary_France,0.07083333333333333,0.075,0.03780928551570754,264
Hungary,Hungary_Portugal,0.09380952380952381,0.08333333333333333,0.030275229357798167,210
Italy,Belgium_Italy,0.08683651804670912,0.09851380042462846,0.04507294649291961,471
Italy,Italy_Austria,0.07153996101364522,0.07797270955165692,0.02993722839208112,513
Italy,Italy_England,0.08054711246200608,0.08054711246200608,0.046429268564736066,658
Italy,Italy_Spain,0.07413127413127413,0.09111969111969112,0.030781764726718855,259
Italy,Italy_Switzerland,0.07205128205128206,0.06076923076923077,0.01449070806868972,390
Italy,Italy_Wales,0.12102803738317756,0.13644859813084112,0.03024521992626254,428
Italy,Turkey_Italy,0.05555555555555555,0.07333333333333333,0.031878417199518116,495
Netherlands,Netherlands_Austria,0.06272189349112427,0.08550295857988166,0.03968297052277292,338
Netherlands,Netherlands_Czech Republic,0.11355311355311355,0.10146520146520147,0.026985247168733406,273
Netherlands,Netherlands_Ukraine,0.07656826568265683,0.07453874538745388,0.03463218118419716,542
Netherlands,North Macedonia_Netherlands,0.1343825665859564,0.137046004842615,0.049781193771241974,413
North Macedonia,Austria_North Macedonia,0.09330543933054393,0.12092050209205021,0.02591071360024567,239
North Macedonia,North Macedonia_Netherlands,0.04643962848297214,0.056656346749226004,0.023773681370182067,323
North Macedonia,Ukraine_North Macedonia,0.043322475570032576,0.054071661237785014,0.01506141111077907,307
Poland,Poland_Slovakia,0.07254901960784314,0.07973856209150326,0.04461234034898363,459
Poland,Spain_Poland,0.061764705882352944,0.07794117647058824,0.029749055585536966,136
Poland,Sweden_Poland,0.09752321981424149,0.09752321981424149,0.043968528985713067,323
Portugal,Belgium_Portugal,0.054566744730679156,0.07259953161592506,0.04971746556947339,427
Portugal,Hungary_Portugal,0.05165441176470588,0.07591911764705882,0.026662844036697247,544
Portugal,Portugal_France,0.11593533487297922,0.1184757505773672,0.03381570862554823,433
Portugal,Portugal_Germany,0.06891385767790262,0.060674157303370786,0.032505240009621,267
Russia,Belgium_Russia,0.09154228855721393,0.07512437810945273,0.0409420785978365,201
Russia,Finland_Russia,0.054929577464788736,0.05234741784037559,0.03185166042124305,426
Russia,Russia_Denmark,0.0754601226993865,0.0687116564417178,0.03422074632746102,163
Scotland,Croatia_Scotland,0.07004830917874397,0.05410628019323672,0.02450915215175287,207
Scotland,England_Scotland,0.03230240549828179,0.05120274914089347,0.022699328478199186,291
Scotland,Scotland_Czech Republic,0.10514469453376206,0.11929260450160771,0.03539927431487654,311
Slovakia,Poland_Slovakia,0.034757834757834755,0.05669515669515669,0.023001123918555112,351
Slovakia,Slovakia_Spain,0.07170731707317073,0.07707317073170732,0.02613560080554934,205
Slovakia,Sweden_Slovakia,0.09555555555555556,0.10444444444444445,0.014678899082568808,495
Spain,Croatia_Spain,0.09636048526863085,0.10017331022530329,0.04164215413480037,577
Spain,Italy_Spain,0.09827586206896552,0.09827586206896552,0.05616749590175721,638
Spain,Slovakia_Spain,0.06270833333333334,0.085625,0.044896788990825685,480
Spain,Spain_Poland,0.0612565445026178,0.0612565445026178,0.048081079782890626,573
Spain,Spain_Sweden,0.05997229916897507,0.06759002770083103,0.04152583293095123,722
Spain,Switzerland_Spain,0.11153846153846154,0.11153846153846154,0.06598447424135498,702
Sweden,Spain_Sweden,0.09775280898876404,0.035955056179775284,0.015462323471807031,89
Sweden,Sweden_Poland,0.10336134453781512,0.05714285714285714,0.013414540127977796,119
Sweden,Sweden_Slovakia,0.09143646408839778,0.09751381215469614,0.01784175579096761,362
Sweden,Sweden_Ukraine,0.08473282442748091,0.08893129770992367,0.03345822536592198,524
Switzerland,France_Switzerland,0.09674796747967479,0.07886178861788617,0.03063076502324656,369
Switzerland,Italy_Switzerland,0.11586021505376344,0.10403225806451613,0.04076649896419059,372
Switzerland,Switzerland_Spain,0.04325581395348837,0.07395348837209302,0.024578621719650095,215
Switzerland,Switzerland_Turkey,0.04702970297029703,0.06608910891089109,0.0347443001180852,404
Switzerland,Wales_Switzerland,0.07532751091703056,0.07052401746724891,0.045190497175593924,458
Turkey,Switzerland_Turkey,0.041176470588235294,0.05588235294117647,0.018446744836383262,374
Turkey,Turkey_Italy,0.09465020576131687,0.07654320987654321,0.02820251444104655,243
Turkey,Turkey_Wales,0.07133956386292835,0.05763239875389408,0.03232444482551659,321
Ukraine,Netherlands_Ukraine,0.05821917808219178,0.07705479452054795,0.02450672363956265,292
Ukraine,Sweden_Ukraine,0.07632058287795992,0.08032786885245902,0.0373656857338614,549
Ukraine,Ukraine_Austria,0.07971830985915493,0.08591549295774648,0.03217469957358832,355
Ukraine,Ukraine_England,0.13170731707317074,0.11707317073170732,0.0316930775646372,451
Ukraine,Ukraine_North Macedonia,0.05549738219895288,0.07565445026178011,0.03160574475238964,382
Wales,Italy_Wales,0.05172413793103448,0.035467980295566505,0.02530844669408415,203
Wales,Turkey_Wales,0.07131147540983607,0.04426229508196721,0.015979846593472704,244
Wales,Wales_Denmark,0.06041666666666667,0.05583333333333333,0.031116207951070337,240
Wales,Wales_Switzerland,0.0364,0.0364,0.030825688073394496,250
