team,match,Ci,Co,weight_centralization,network_intensity,possession_minutes,possession_percentage,goal_scored,I_normalized_minutes,I_normalized_percentage
Austria,Austria_North Macedonia,0.1127226463104326,0.1267175572519084,0.03921843266335177,393,32.54769891905,62.246434884671466,3.0,12.074586316453209,6.31361459862143
Austria,Italy_Austria,0.05359342915811088,0.06262833675564682,0.01865003861876684,487,35.34784718358333,47.560447488636996,1.0,13.777359550942563,10.239600880886426
Austria,Netherlands_Austria,0.08333333333333333,0.08944444444444444,0.0408256880733945,360,30.30290110256667,50.949139457447956,0.0,11.880050651965723,7.065870078152492
Austria,Ukraine_Austria,0.06566265060240964,0.0789156626506024,0.02553332596440809,332,27.105284584116664,51.012483880422025,1.0,12.248534007075047,6.508210828906875
Belgium,Belgium_Italy,0.08090185676392574,0.08381962864721486,0.03102718224515124,377,24.49786538873333,46.419079125507615,1.0,15.3890959076534,8.121660470270635
Belgium,Belgium_Portugal,0.07941176470588235,0.08235294117647059,0.03125153314036207,374,25.087231551699997,41.770170864371295,1.0,14.907982143396627,8.953757963173926
Belgium,Belgium_Russia,0.07921348314606741,0.09157303370786517,0.04138748582620348,534,35.65216553406666,61.840928903304615,3.0,14.978052300630877,8.63505787299816
Belgium,Denmark_Belgium,0.07455919395465994,0.08564231738035265,0.03369306495967463,397,30.55138878718333,52.6605769558021,2.0,12.994499293156395,7.538846380912256
Belgium,Finland_Belgium,0.0601027397260274,0.04691780821917808,0.03690147040341837,584,39.577855419399995,60.497618725299276,2.0,14.755726246696504,9.653272513944076
Croatia,Croatia_Czech Republic,0.08092105263157895,0.05197368421052632,0.02263399323998069,304,27.634340703666666,51.14286116680218,1.0,11.000805239390557,5.944133610524949
Croatia,Croatia_Scotland,0.07832422586520947,0.06630236794171221,0.03866913988736819,549,34.677102703016665,62.062668451111335,3.0,15.831772472509384,8.845897440463169
Croatia,Croatia_Spain,0.092,0.076,0.03282735613010843,275,27.58655580045,35.784854285877174,3.0,9.968623919174213,7.684815419481289
Croatia,England_Croatia,0.08073654390934844,0.08385269121813031,0.02287080593601372,353,26.972169068333336,48.6645788426399,0.0,13.087564411511845,7.253735846383231
Czech Republic,Croatia_Czech Republic,0.076,0.054,0.01577981651376147,300,26.399282119149998,48.85713883319781,1.0,11.363945377226015,6.1403513829212155
Czech Republic,Czech Republic_Denmark,0.05331010452961672,0.05714285714285714,0.02301569542563053,287,26.916121636916667,54.87941190621066,1.0,10.662754607497636,5.229647877613653
Czech Republic,Czech Republic_England,0.06153846153846154,0.07692307692307693,0.02983255276833258,286,24.31590991721667,44.067067138467245,0.0,11.761846501886412,6.490107433320505
Czech Republic,Netherlands_Czech Republic,0.03992932862190813,0.04381625441696113,0.02385969462184329,283,24.527538567216666,48.17613267524776,2.0,11.538051371296417,5.874278076816273
Czech Republic,Scotland_Czech Republic,0.0777292576419214,0.1209606986899563,0.006409999599375025,229,22.269849083700002,42.962013909445204,2.0,10.282961466838689,5.330290160109424
Denmark,Czech Republic_Denmark,0.04426229508196721,0.05778688524590164,0.01985260941494962,244,22.129815085066664,45.12058809378934,2.0,11.025849021425069,5.407730934109558
Denmark,Denmark_Belgium,0.1044247787610619,0.1011799410029499,0.02955265080782658,339,27.46428546725,47.3394230441979,1.0,12.343303101922793,7.161050519848892
Denmark,Denmark_Finland,0.05634517766497462,0.08984771573604061,0.04456759651655567,394,34.53414958561667,62.66967036126406,0.0,11.408996738813554,6.286932701716112
Denmark,England_Denmark,0.05714285714285714,0.06988416988416989,0.03078176472671885,259,29.590230534950003,41.24973157417233,1.0,8.752888886556207,6.278828736964861
Denmark,Russia_Denmark,0.05064599483204135,0.05917312661498708,0.0250337813811251,387,27.258727102933335,63.85488201724262,4.0,14.197288029577676,6.060617258606774
Denmark,Wales_Denmark,0.07220447284345048,0.06869009584664537,0.03405926664126389,313,24.508988284999997,50.117996437927445,4.0,12.770824987156342,6.245261627480646
England,Czech Republic_England,0.07084468664850137,0.06185286103542234,0.02827287953403495,367,30.863414454,55.932932861532755,1.0,11.89110169735078,6.561429576892438
England,England_Croatia,0.05958549222797927,0.07383419689119171,0.02961448875790274,386,28.452473885116667,51.33542115736011,1.0,13.566482885058177,7.519174700384396
England,England_Denmark,0.04732142857142857,0.06107142857142857,0.03423984272608126,560,42.144128467466665,58.75026842582767,2.0,13.28773474179907,9.531871342970987
England,England_Germany,0.03498694516971279,0.05796344647519582,0.02239681893309699,383,27.176120500299998,48.502232139644455,2.0,14.093255142718846,7.896543789928914
England,England_Scotland,0.06546610169491525,0.09809322033898304,0.03632794277717307,472,32.54381868403333,58.86456197222118,0.0,14.503522299660947,8.018406732097011
England,Italy_England,0.07233333333333333,0.087,0.03669724770642202,300,26.37871348446667,36.999748829455825,1.0,11.37280634162305,8.10816314950677
England,Ukraine_England,0.08581081081081081,0.1006756756756757,0.03512686998925531,444,32.479342800433336,50.887051388794326,4.0,13.670227341979228,8.72520588013028
Finland,Denmark_Finland,0.08333333333333333,0.071875,0.02150229357798165,192,20.570894667116665,37.33032963873593,1.0,9.333575573984106,5.143270950406251
Finland,Finland_Belgium,0.05862068965517241,0.07241379310344828,0.02594115786143626,319,25.84266236843333,39.50238127470073,0.0,12.34392940835913,8.075462534313173
Finland,Finland_Russia,0.1067114093959732,0.1030201342281879,0.03029370112677791,298,25.40640673416667,42.01138211158054,0.0,11.729324934377598,7.093315787814931
France,France_Germany,0.04666666666666667,0.032,0.01262385321100917,375,25.113240667,40.26737197496392,1.0,14.932361974803513,9.31275078575167
France,France_Switzerland,0.04816326530612245,0.04591836734693878,0.007039880172252387,490,37.900495368883334,55.67864707711699,3.0,12.928590912357695,8.800501192518773
France,Hungary_France,0.05891181988742964,0.07335834896810507,0.02241079573816204,533,34.0437188673,62.2174519295292,1.0,15.656338899918548,8.566728200372207
France,Portugal_France,0.09667359667359668,0.0920997920997921,0.005092601422876653,481,30.778237685066664,51.165178788117395,2.0,15.627925319238699,9.400924835851594
Germany,England_Germany,0.07342342342342342,0.08828828828828829,0.03719315645921151,444,28.854538917716663,51.497767860355545,0.0,15.387527115444023,8.621732910909405
Germany,France_Germany,0.07135678391959799,0.07872696817420435,0.005655187251240914,597,37.2529864675,59.73262802503607,0.0,16.025560810294518,9.994537654525699
Germany,Germany_Hungary,0.09807073954983923,0.09453376205787781,0.05348240361072598,622,40.5253530011,73.80890619784734,2.0,15.348416582160722,8.42716728971308
Germany,Portugal_Germany,0.08126410835214447,0.08374717832957111,0.001863855696150103,443,29.324586656066668,55.66630804759273,4.0,15.106777299053666,7.958135100701319
Hungary,Germany_Hungary,0.03908045977011494,0.03275862068965518,0.0158177791838026,174,14.380423400016667,26.191093802152665,2.0,12.099782820010594,6.643479700175745
Hungary,Hungary_France,0.07083333333333333,0.075,0.03780928551570754,264,20.673595666666664,37.7825480704708,1.0,12.769912126397237,6.9873529839119275
Hungary,Hungary_Portugal,0.09380952380952381,0.08333333333333333,0.03027522935779817,210,19.523912802433333,34.32584671217386,0.0,10.756040662803358,6.117838891517343
Italy,Belgium_Italy,0.08683651804670912,0.09851380042462846,0.04507294649291961,471,28.2775576706,53.58092087449238,2.0,16.65631825373999,8.790442424520242
Italy,Italy_Austria,0.07153996101364522,0.07797270955165692,0.02993722839208112,513,38.974092684683335,52.439552511363004,2.0,13.162589932506805,9.78269217474423
Italy,Italy_England,0.08054711246200608,0.08054711246200608,0.04642926856473607,658,44.915590717583335,63.00025117054419,1.0,14.649701573275967,10.444402804343872
Italy,Italy_Spain,0.07413127413127413,0.09111969111969112,0.03078176472671885,259,22.20506818795,31.139620090628405,1.0,11.664003812451755,8.317378286768088
Italy,Italy_Switzerland,0.07205128205128206,0.06076923076923077,0.01449070806868972,390,29.400489816766665,50.01555988166575,3.0,13.265085120370639,7.7975734136080845
Italy,Italy_Wales,0.1210280373831776,0.1364485981308411,0.03024521992626254,428,32.914222390216665,67.01448595143741,1.0,13.003497239759113,6.386678848960413
Italy,Turkey_Italy,0.05555555555555555,0.07333333333333333,0.03187841719951812,495,34.18272078571667,61.321859078785344,3.0,14.481000593926886,8.072162315953792
Netherlands,Netherlands_Austria,0.06272189349112427,0.08550295857988166,0.03968297052277292,338,29.173866170166665,49.05086054255205,2.0,11.5857116101273,6.89080673124546
Netherlands,Netherlands_Czech Republic,0.1135531135531136,0.1014652014652015,0.02698524716873341,273,26.384681250333333,51.82386732475225,0.0,10.34691294580453,5.26784306329854
Netherlands,Netherlands_Ukraine,0.07656826568265683,0.07453874538745388,0.03463218118419716,542,40.37557321898333,62.58201753767361,3.0,13.423958021855864,8.660634816922013
Netherlands,North Macedonia_Netherlands,0.1343825665859564,0.137046004842615,0.04978119377124197,413,35.68202210058334,58.86768273732243,3.0,11.574456145893373,7.015733944257258
