team,Ci,Co,weight_centralization,network_intensity
Austria,0.0788280148510716,0.08942650027565051,0.0310568713299803,393.0
Belgium,0.07483780765931257,0.07806114582621627,0.03485214731496196,453.2
Croatia,0.08299545560153422,0.06953218584259221,0.029250323798367756,370.25
Czech Republic,0.06170143046638156,0.07056857743457032,0.01977955178578858,277.0
Denmark,0.06417092938772546,0.07442698905511574,0.03064127824807328,322.6666666666667
England,0.06233554263666878,0.0772129755696996,0.03181087006056662,416.0
Finland,0.08288847746149296,0.0824363091105454,0.02591238418873194,269.6666666666667
France,0.06260383713345385,0.06084412710370899,0.011791782636075063,469.75
Germany,0.08102876381125128,0.0863240492124854,0.02454865075433213,526.5
Hungary,0.06790777230432403,0.06369731800766283,0.0279674313524361,216.0
Italy,0.08024139152052139,0.08838635368448397,0.032690793338703714,459.14285714285717
Netherlands,0.09680645982821276,0.09963822756878801,0.03777039816173637,391.5
North Macedonia,0.06102251446118288,0.07721617002635374,0.02158193536040227,289.6666666666667
Poland,0.07727898176814586,0.085067652792111,0.03944330830674456,306.0
Portugal,0.07276758726156671,0.08191713928593046,0.03567531456033497,417.75
Russia,0.07397732957379638,0.06539448413051537,0.03567149511551352,263.3333333333333
Scotland,0.06916513640359594,0.0748672112785793,0.02753591831494287,269.6666666666667
Slovakia,0.06734023579552034,0.07940425729043615,0.02127187460222442,350.3333333333333
Spain,0.08168533098016402,0.08740986767269654,0.049716304330430026,615.3333333333334
Sweden,0.09432086051061446,0.06988575579681305,0.020044211189168604,273.5
Switzerland,0.07564424207485083,0.07869213228652706,0.03518213660015328,363.6
Turkey,0.06905541340416017,0.0633526538572046,0.02632456803431547,312.6666666666667
Ukraine,0.08029255401828604,0.08720515546484817,0.03146918625280784,405.8
Wales,0.0549630700018843,0.042990902177716755,0.02580754732800542,234.25
