passer,recipient,n_passes_completed
Andrej Kramarić,Ante Rebić,1
Andrej Kramarić,Bruno Petković,1
Andrej Kramarić,Dejan Lovren,1
Andrej Kramarić,Ivan Perišić,3
Andrej Kramarić,Joško Gvardiol,2
Andrej Kramarić,Luka Ivanušec,1
Andrej Kramarić,Luka Modrić,3
Andrej Kramarić,Mateo Kovačić,1
Andrej Kramarić,Šime Vrsaljko,2
Bruno Petković,Joško Gvardiol,2
Bruno Petković,Luka Ivanušec,3
Bruno Petković,Luka Modrić,2
Bruno Petković,Mateo Kovačić,1
Dejan Lovren,Andrej Kramarić,1
Dejan Lovren,Bruno Petković,2
Dejan Lovren,Domagoj Vida,8
Dejan Lovren,Dominik Livaković,9
Dejan Lovren,Ivan Perišić,2
Dejan Lovren,Joško Gvardiol,1
Dejan Lovren,Luka Ivanušec,1
Dejan Lovren,Luka Modrić,9
Dejan Lovren,Marcelo Brozović,1
Dejan Lovren,Mateo Kovačić,4
Dejan Lovren,Šime Vrsaljko,7
Domagoj Vida,Dejan Lovren,7
Domagoj Vida,Dominik Livaković,8
Domagoj Vida,Josip Brekalo,1
Domagoj Vida,Joško Gvardiol,7
Domagoj Vida,Luka Ivanušec,1
Domagoj Vida,Luka Modrić,4
Domagoj Vida,Mateo Kovačić,8
Dominik Livaković,Dejan Lovren,9
Dominik Livaković,Domagoj Vida,7
Dominik Livaković,Ivan Perišić,1
Dominik Livaković,Josip Brekalo,1
Dominik Livaković,Joško Gvardiol,4
Dominik Livaković,Marcelo Brozović,1
Dominik Livaković,Mateo Kovačić,2
Dominik Livaković,Šime Vrsaljko,5
Ivan Perišić,Andrej Kramarić,4
Ivan Perišić,Ante Rebić,1
Ivan Perišić,Bruno Petković,3
Ivan Perišić,Dominik Livaković,1
Ivan Perišić,Josip Brekalo,1
Ivan Perišić,Joško Gvardiol,3
Ivan Perišić,Luka Ivanušec,1
Ivan Perišić,Luka Modrić,3
Ivan Perišić,Mateo Kovačić,1
Ivan Perišić,Nikola Vlašić,2
Ivan Perišić,Šime Vrsaljko,5
Josip Brekalo,Ante Rebić,2
Josip Brekalo,Domagoj Vida,1
Josip Brekalo,Ivan Perišić,1
Josip Brekalo,Joško Gvardiol,3
Josip Brekalo,Luka Modrić,3
Josip Brekalo,Šime Vrsaljko,2
Joško Gvardiol,Andrej Kramarić,5
Joško Gvardiol,Ante Rebić,1
Joško Gvardiol,Bruno Petković,2
Joško Gvardiol,Dejan Lovren,2
Joško Gvardiol,Domagoj Vida,3
Joško Gvardiol,Dominik Livaković,1
Joško Gvardiol,Ivan Perišić,6
Joško Gvardiol,Josip Brekalo,3
Joško Gvardiol,Luka Ivanušec,1
Joško Gvardiol,Luka Modrić,4
Joško Gvardiol,Mateo Kovačić,10
Joško Gvardiol,Nikola Vlašić,1
Luka Ivanušec,Andrej Kramarić,2
Luka Ivanušec,Bruno Petković,2
Luka Ivanušec,Ivan Perišić,1
Luka Ivanušec,Luka Modrić,2
Luka Ivanušec,Mateo Kovačić,2
Luka Ivanušec,Nikola Vlašić,1
Luka Ivanušec,Šime Vrsaljko,7
Luka Modrić,Andrej Kramarić,3
Luka Modrić,Bruno Petković,3
Luka Modrić,Dejan Lovren,4
Luka Modrić,Domagoj Vida,2
Luka Modrić,Ivan Perišić,3
Luka Modrić,Josip Brekalo,4
Luka Modrić,Joško Gvardiol,7
Luka Modrić,Luka Ivanušec,8
Luka Modrić,Mateo Kovačić,11
Luka Modrić,Šime Vrsaljko,6
Marcelo Brozović,Dejan Lovren,1
Marcelo Brozović,Joško Gvardiol,1
Marcelo Brozović,Šime Vrsaljko,2
Mateo Kovačić,Andrej Kramarić,3
Mateo Kovačić,Dejan Lovren,9
Mateo Kovačić,Domagoj Vida,1
Mateo Kovačić,Ivan Perišić,5
Mateo Kovačić,Josip Brekalo,3
Mateo Kovačić,Joško Gvardiol,5
Mateo Kovačić,Luka Ivanušec,1
Mateo Kovačić,Luka Modrić,11
Mateo Kovačić,Nikola Vlašić,2
Mateo Kovačić,Šime Vrsaljko,5
Nikola Vlašić,Bruno Petković,1
Nikola Vlašić,Ivan Perišić,2
Nikola Vlašić,Joško Gvardiol,2
Šime Vrsaljko,Andrej Kramarić,3
Šime Vrsaljko,Ante Rebić,1
Šime Vrsaljko,Bruno Petković,2
Šime Vrsaljko,Dejan Lovren,9
Šime Vrsaljko,Domagoj Vida,1
Šime Vrsaljko,Dominik Livaković,3
Šime Vrsaljko,Ivan Perišić,5
Šime Vrsaljko,Luka Ivanušec,5
Šime Vrsaljko,Luka Modrić,13
Šime Vrsaljko,Mateo Kovačić,3
Šime Vrsaljko,Nikola Vlašić,1
