passer,recipient,n_passes_completed
Andrej Kramarić,Domagoj Vida,1
Andrej Kramarić,Dominik Livaković,1
Andrej Kramarić,Duje Ćaleta-Car,1
Andrej Kramarić,Josip Brekalo,1
Andrej Kramarić,Luka Modrić,4
Andrej Kramarić,Marcelo Brozović,5
Andrej Kramarić,Mario Pašalić,1
Andrej Kramarić,Mateo Kovačić,1
Andrej Kramarić,Mislav Oršić,2
Ante Budimir,Duje Ćaleta-Car,1
Ante Budimir,Josip Brekalo,2
Ante Budimir,Luka Modrić,1
Ante Budimir,Mislav Oršić,2
Ante Rebić,Bruno Petković,2
Ante Rebić,Joško Gvardiol,3
Ante Rebić,Marcelo Brozović,2
Ante Rebić,Mateo Kovačić,3
Ante Rebić,Nikola Vlašić,1
Bruno Petković,Ante Rebić,1
Bruno Petković,Joško Gvardiol,2
Bruno Petković,Marcelo Brozović,3
Bruno Petković,Mateo Kovačić,1
Bruno Petković,Nikola Vlašić,1
Domagoj Vida,Andrej Kramarić,1
Domagoj Vida,Ante Budimir,1
Domagoj Vida,Dominik Livaković,3
Domagoj Vida,Duje Ćaleta-Car,7
Domagoj Vida,Josip Brekalo,4
Domagoj Vida,Josip Juranović,3
Domagoj Vida,Joško Gvardiol,1
Domagoj Vida,Luka Modrić,13
Domagoj Vida,Marcelo Brozović,5
Domagoj Vida,Nikola Vlašić,3
Dominik Livaković,Ante Budimir,1
Dominik Livaković,Ante Rebić,2
Dominik Livaković,Bruno Petković,3
Dominik Livaković,Domagoj Vida,4
Dominik Livaković,Duje Ćaleta-Car,4
Dominik Livaković,Josip Juranović,1
Dominik Livaković,Joško Gvardiol,4
Dominik Livaković,Luka Modrić,2
Dominik Livaković,Marcelo Brozović,3
Dominik Livaković,Mario Pašalić,3
Dominik Livaković,Mateo Kovačić,1
Dominik Livaković,Nikola Vlašić,1
Duje Ćaleta-Car,Andrej Kramarić,1
Duje Ćaleta-Car,Ante Rebić,1
Duje Ćaleta-Car,Domagoj Vida,8
Duje Ćaleta-Car,Dominik Livaković,7
Duje Ćaleta-Car,Josip Brekalo,2
Duje Ćaleta-Car,Joško Gvardiol,6
Duje Ćaleta-Car,Luka Ivanušec,1
Duje Ćaleta-Car,Luka Modrić,3
Duje Ćaleta-Car,Marcelo Brozović,6
Duje Ćaleta-Car,Mateo Kovačić,3
Duje Ćaleta-Car,Mislav Oršić,3
Josip Brekalo,Andrej Kramarić,3
Josip Brekalo,Ante Budimir,1
Josip Brekalo,Domagoj Vida,2
Josip Brekalo,Dominik Livaković,1
Josip Brekalo,Duje Ćaleta-Car,2
Josip Brekalo,Luka Ivanušec,1
Josip Brekalo,Luka Modrić,3
Josip Brekalo,Marcelo Brozović,2
Josip Brekalo,Mario Pašalić,1
Josip Juranović,Bruno Petković,1
Josip Juranović,Domagoj Vida,3
Josip Juranović,Dominik Livaković,2
Josip Juranović,Luka Modrić,3
Josip Juranović,Marcelo Brozović,2
Josip Juranović,Nikola Vlašić,2
Joško Gvardiol,Ante Budimir,1
Joško Gvardiol,Ante Rebić,5
Joško Gvardiol,Bruno Petković,3
Joško Gvardiol,Domagoj Vida,2
Joško Gvardiol,Dominik Livaković,2
Joško Gvardiol,Duje Ćaleta-Car,7
Joško Gvardiol,Josip Brekalo,2
Joško Gvardiol,Luka Ivanušec,1
Joško Gvardiol,Luka Modrić,3
Joško Gvardiol,Marcelo Brozović,7
Joško Gvardiol,Mario Pašalić,2
Joško Gvardiol,Mateo Kovačić,4
Joško Gvardiol,Mislav Oršić,4
Joško Gvardiol,Nikola Vlašić,4
Luka Ivanušec,Josip Brekalo,1
Luka Modrić,Andrej Kramarić,1
Luka Modrić,Ante Budimir,1
Luka Modrić,Ante Rebić,1
Luka Modrić,Bruno Petković,1
Luka Modrić,Domagoj Vida,5
Luka Modrić,Duje Ćaleta-Car,2
Luka Modrić,Josip Brekalo,2
Luka Modrić,Josip Juranović,3
Luka Modrić,Joško Gvardiol,3
Luka Modrić,Marcelo Brozović,12
Luka Modrić,Mario Pašalić,2
Luka Modrić,Mateo Kovačić,5
Luka Modrić,Mislav Oršić,1
Luka Modrić,Nikola Vlašić,3
Marcelo Brozović,Andrej Kramarić,6
Marcelo Brozović,Ante Rebić,2
Marcelo Brozović,Bruno Petković,2
Marcelo Brozović,Domagoj Vida,9
Marcelo Brozović,Dominik Livaković,3
Marcelo Brozović,Duje Ćaleta-Car,6
Marcelo Brozović,Josip Brekalo,3
Marcelo Brozović,Josip Juranović,3
Marcelo Brozović,Joško Gvardiol,5
Marcelo Brozović,Luka Modrić,7
Marcelo Brozović,Mario Pašalić,3
Marcelo Brozović,Mateo Kovačić,6
Marcelo Brozović,Nikola Vlašić,1
Mario Pašalić,Andrej Kramarić,3
Mario Pašalić,Ante Budimir,2
Mario Pašalić,Duje Ćaleta-Car,1
Mario Pašalić,Joško Gvardiol,6
Mario Pašalić,Marcelo Brozović,2
Mario Pašalić,Mislav Oršić,5
Mateo Kovačić,Andrej Kramarić,2
Mateo Kovačić,Ante Rebić,3
Mateo Kovačić,Domagoj Vida,2
Mateo Kovačić,Duje Ćaleta-Car,2
Mateo Kovačić,Joško Gvardiol,5
Mateo Kovačić,Luka Modrić,3
