passer,recipient,n_passes_completed
Antonín Barák,Jakub Brabec,1
Antonín Barák,Jakub Jankto,4
Antonín Barák,Jan Bořil,10
Antonín Barák,Lukáš Masopust,2
Antonín Barák,Matěj Vydra,2
Antonín Barák,Ondrej Celustka,2
Antonín Barák,Patrik Schick,2
Antonín Barák,Petr Ševčík,6
Antonín Barák,Tomáš Kalas,5
Antonín Barák,Tomáš Souček,4
Antonín Barák,Tomáš Vaclík,1
Antonín Barák,Vladimír Coufal,7
Antonín Barák,Vladimír Darida,3
Jakub Brabec,Antonín Barák,1
Jakub Brabec,Jakub Jankto,1
Jakub Brabec,Jan Bořil,1
Jakub Brabec,Petr Ševčík,2
Jakub Brabec,Tomáš Kalas,4
Jakub Brabec,Tomáš Souček,2
Jakub Brabec,Tomáš Vaclík,2
Jakub Brabec,Vladimír Coufal,2
Jakub Brabec,Vladimír Darida,2
Jakub Jankto,Antonín Barák,3
Jakub Jankto,Jakub Brabec,2
Jakub Jankto,Jan Bořil,4
Jakub Jankto,Michael Krmenčík,1
Jakub Jankto,Ondrej Celustka,1
Jakub Jankto,Patrik Schick,1
Jakub Jankto,Petr Ševčík,2
Jakub Jankto,Tomáš Kalas,1
Jakub Jankto,Tomáš Souček,1
Jakub Jankto,Vladimír Coufal,4
Jakub Jankto,Vladimír Darida,1
Jan Bořil,Antonín Barák,11
Jan Bořil,Jakub Jankto,5
Jan Bořil,Lukáš Masopust,2
Jan Bořil,Matěj Vydra,1
Jan Bořil,Michael Krmenčík,3
Jan Bořil,Patrik Schick,3
Jan Bořil,Petr Ševčík,2
Jan Bořil,Tomáš Holeš,2
Jan Bořil,Tomáš Kalas,6
Jan Bořil,Tomáš Souček,10
Jan Bořil,Tomáš Vaclík,1
Jan Bořil,Vladimír Coufal,1
Lukáš Masopust,Antonín Barák,3
Lukáš Masopust,Jan Bořil,2
Lukáš Masopust,Patrik Schick,1
Lukáš Masopust,Petr Ševčík,2
Lukáš Masopust,Tomáš Holeš,1
Lukáš Masopust,Tomáš Souček,1
Lukáš Masopust,Vladimír Coufal,1
Matěj Vydra,Antonín Barák,1
Matěj Vydra,Tomáš Souček,1
Michael Krmenčík,Antonín Barák,1
Michael Krmenčík,Jakub Jankto,1
Michael Krmenčík,Patrik Schick,2
Michael Krmenčík,Petr Ševčík,1
Michael Krmenčík,Vladimír Darida,1
Ondrej Celustka,Antonín Barák,1
Ondrej Celustka,Patrik Schick,1
Ondrej Celustka,Tomáš Holeš,1
Ondrej Celustka,Tomáš Kalas,5
Ondrej Celustka,Tomáš Souček,2
Ondrej Celustka,Tomáš Vaclík,3
Ondrej Celustka,Vladimír Coufal,5
