passer,recipient,n_passes_completed
Adam Hložek,Alex Král,1
Adam Hložek,Tomáš Souček,1
Alex Král,Ondrej Celustka,1
Alex Král,Petr Ševčík,1
Alex Král,Tomáš Pekhart,1
Alex Král,Tomáš Souček,1
Alex Král,Vladimír Coufal,2
Jakub Jankto,Jan Bořil,4
Jakub Jankto,Lukáš Masopust,1
Jakub Jankto,Ondrej Celustka,1
Jakub Jankto,Patrik Schick,1
Jakub Jankto,Tomáš Holeš,2
Jakub Jankto,Tomáš Souček,3
Jakub Jankto,Vladimír Coufal,1
Jakub Jankto,Vladimír Darida,4
Jan Bořil,Adam Hložek,1
Jan Bořil,Jakub Jankto,2
Jan Bořil,Lukáš Masopust,1
Jan Bořil,Ondrej Celustka,2
Jan Bořil,Patrik Schick,5
Jan Bořil,Petr Ševčík,4
Jan Bořil,Tomáš Holeš,2
Jan Bořil,Tomáš Kalas,6
Jan Bořil,Tomáš Souček,2
Jan Bořil,Tomáš Vaclík,3
Jan Bořil,Vladimír Coufal,1
Jan Bořil,Vladimír Darida,2
Lukáš Masopust,Jakub Jankto,1
Lukáš Masopust,Jan Bořil,1
Lukáš Masopust,Ondrej Celustka,4
Lukáš Masopust,Patrik Schick,1
Lukáš Masopust,Tomáš Holeš,3
Lukáš Masopust,Tomáš Kalas,2
Lukáš Masopust,Tomáš Souček,1
Lukáš Masopust,Vladimír Coufal,3
Lukáš Masopust,Vladimír Darida,2
Ondrej Celustka,Alex Král,1
Ondrej Celustka,Jakub Jankto,1
Ondrej Celustka,Jan Bořil,2
Ondrej Celustka,Lukáš Masopust,2
Ondrej Celustka,Tomáš Holeš,5
Ondrej Celustka,Tomáš Kalas,8
Ondrej Celustka,Tomáš Souček,5
Ondrej Celustka,Tomáš Vaclík,5
Ondrej Celustka,Vladimír Coufal,12
Ondrej Celustka,Vladimír Darida,6
Patrik Schick,Jakub Jankto,2
Patrik Schick,Jan Bořil,1
Patrik Schick,Lukáš Masopust,4
Patrik Schick,Ondrej Celustka,2
Patrik Schick,Petr Ševčík,1
Patrik Schick,Tomáš Holeš,2
Patrik Schick,Tomáš Souček,5
Patrik Schick,Vladimír Darida,3
Petr Ševčík,Alex Král,2
Petr Ševčík,Jan Bořil,2
Petr Ševčík,Lukáš Masopust,1
Petr Ševčík,Tomáš Holeš,2
Petr Ševčík,Tomáš Kalas,1
Petr Ševčík,Tomáš Souček,3
Petr Ševčík,Vladimír Coufal,3
Petr Ševčík,Vladimír Darida,1
Tomáš Holeš,Jakub Jankto,2
Tomáš Holeš,Jan Bořil,4
Tomáš Holeš,Lukáš Masopust,3
Tomáš Holeš,Ondrej Celustka,2
Tomáš Holeš,Patrik Schick,2
Tomáš Holeš,Petr Ševčík,1
Tomáš Holeš,Tomáš Kalas,3
Tomáš Holeš,Tomáš Souček,4
Tomáš Holeš,Vladimír Coufal,1
Tomáš Holeš,Vladimír Darida,2
Tomáš Kalas,Adam Hložek,1
Tomáš Kalas,Alex Král,1
Tomáš Kalas,Jakub Jankto,1
Tomáš Kalas,Jan Bořil,5
Tomáš Kalas,Lukáš Masopust,1
Tomáš Kalas,Ondrej Celustka,11
Tomáš Kalas,Patrik Schick,1
Tomáš Kalas,Tomáš Holeš,3
Tomáš Kalas,Tomáš Souček,3
Tomáš Kalas,Tomáš Vaclík,5
Tomáš Kalas,Vladimír Coufal,1
Tomáš Pekhart,Jan Bořil,1
Tomáš Souček,Jakub Jankto,1
Tomáš Souček,Jan Bořil,3
Tomáš Souček,Lukáš Masopust,1
Tomáš Souček,Ondrej Celustka,4
Tomáš Souček,Patrik Schick,1
Tomáš Souček,Petr Ševčík,4
Tomáš Souček,Tomáš Holeš,3
Tomáš Souček,Tomáš Kalas,7
Tomáš Souček,Tomáš Pekhart,1
Tomáš Souček,Tomáš Vaclík,1
Tomáš Souček,Vladimír Coufal,12
Tomáš Souček,Vladimír Darida,1
Tomáš Vaclík,Jakub Jankto,1
Tomáš Vaclík,Jan Bořil,2
Tomáš Vaclík,Ondrej Celustka,7
Tomáš Vaclík,Tomáš Kalas,4
Tomáš Vaclík,Tomáš Pekhart,1
Tomáš Vaclík,Tomáš Souček,1
Tomáš Vaclík,Vladimír Coufal,2
Vladimír Coufal,Alex Král,3
Vladimír Coufal,Jakub Jankto,2
Vladimír Coufal,Lukáš Masopust,5
Vladimír Coufal,Ondrej Celustka,5
Vladimír Coufal,Patrik Schick,2
Vladimír Coufal,Petr Ševčík,4
Vladimír Coufal,Tomáš Holeš,3
Vladimír Coufal,Tomáš Kalas,2
Vladimír Coufal,Tomáš Pekhart,1
Vladimír Coufal,Tomáš Souček,8
Vladimír Coufal,Vladimír Darida,7
Vladimír Darida,Jakub Jankto,3
Vladimír Darida,Jan Bořil,3
Vladimír Darida,Lukáš Masopust,4
Vladimír Darida,Ondrej Celustka,4
Vladimír Darida,Patrik Schick,2
Vladimír Darida,Petr Ševčík,1
Vladimír Darida,Tomáš Holeš,1
Vladimír Darida,Tomáš Souček,2
Vladimír Darida,Vladimír Coufal,2
