passer,recipient,n_passes_completed
Adam Hložek,Antonín Barák,1
Alex Král,Adam Hložek,1
Alex Král,Antonín Barák,1
Alex Král,Jakub Jankto,2
Alex Král,Vladimír Coufal,1
Antonín Barák,Adam Hložek,1
Antonín Barák,Lukáš Masopust,5
Antonín Barák,Ondrej Celustka,2
Antonín Barák,Patrik Schick,2
Antonín Barák,Pavel Kadeřábek,5
Antonín Barák,Petr Ševčík,2
Antonín Barák,Tomáš Holeš,1
Antonín Barák,Tomáš Kalas,1
Antonín Barák,Tomáš Souček,2
Antonín Barák,Vladimír Coufal,9
Jakub Jankto,Adam Hložek,1
Jakub Jankto,Alex Král,1
Jakub Jankto,Ondrej Celustka,1
Jakub Jankto,Tomáš Kalas,1
Jakub Jankto,Vladimír Coufal,4
Lukáš Masopust,Antonín Barák,5
Lukáš Masopust,Pavel Kadeřábek,2
Lukáš Masopust,Petr Ševčík,8
Lukáš Masopust,Tomáš Holeš,3
Lukáš Masopust,Tomáš Souček,2
Lukáš Masopust,Vladimír Coufal,4
Michael Krmenčík,Tomáš Souček,1
Michal Sadílek,Alex Král,1
Ondrej Celustka,Lukáš Masopust,5
Ondrej Celustka,Patrik Schick,1
Ondrej Celustka,Pavel Kadeřábek,1
Ondrej Celustka,Petr Ševčík,2
Ondrej Celustka,Tomáš Holeš,1
Ondrej Celustka,Tomáš Kalas,3
Ondrej Celustka,Tomáš Souček,3
Ondrej Celustka,Tomáš Vaclík,5
Ondrej Celustka,Vladimír Coufal,5
Patrik Schick,Jakub Jankto,1
Patrik Schick,Lukáš Masopust,2
Patrik Schick,Pavel Kadeřábek,2
Patrik Schick,Petr Ševčík,2
Patrik Schick,Tomáš Holeš,1
Patrik Schick,Tomáš Kalas,1
Patrik Schick,Tomáš Souček,3
Patrik Schick,Vladimír Coufal,1
Pavel Kadeřábek,Adam Hložek,1
Pavel Kadeřábek,Alex Král,1
Pavel Kadeřábek,Antonín Barák,6
Pavel Kadeřábek,Jakub Jankto,1
Pavel Kadeřábek,Lukáš Masopust,1
Pavel Kadeřábek,Ondrej Celustka,1
Pavel Kadeřábek,Patrik Schick,4
Pavel Kadeřábek,Petr Ševčík,6
Pavel Kadeřábek,Tomáš Holeš,6
Pavel Kadeřábek,Tomáš Kalas,8
Pavel Kadeřábek,Tomáš Souček,2
Pavel Kadeřábek,Tomáš Vaclík,1
Petr Ševčík,Antonín Barák,6
Petr Ševčík,Lukáš Masopust,3
Petr Ševčík,Ondrej Celustka,1
Petr Ševčík,Patrik Schick,3
Petr Ševčík,Pavel Kadeřábek,3
Petr Ševčík,Tomáš Holeš,3
Petr Ševčík,Tomáš Kalas,1
Petr Ševčík,Tomáš Souček,5
Petr Ševčík,Vladimír Coufal,1
Tomáš Holeš,Antonín Barák,2
Tomáš Holeš,Lukáš Masopust,4
Tomáš Holeš,Ondrej Celustka,1
Tomáš Holeš,Patrik Schick,3
Tomáš Holeš,Pavel Kadeřábek,4
Tomáš Holeš,Petr Ševčík,2
Tomáš Holeš,Tomáš Kalas,1
Tomáš Holeš,Tomáš Souček,1
Tomáš Holeš,Tomáš Vaclík,2
Tomáš Holeš,Vladimír Coufal,3
Tomáš Kalas,Antonín Barák,2
Tomáš Kalas,Ondrej Celustka,5
Tomáš Kalas,Patrik Schick,1
Tomáš Kalas,Pavel Kadeřábek,8
Tomáš Kalas,Petr Ševčík,1
Tomáš Kalas,Tomáš Holeš,4
Tomáš Kalas,Tomáš Souček,3
Tomáš Kalas,Tomáš Vaclík,4
Tomáš Souček,Antonín Barák,1
Tomáš Souček,Jakub Jankto,2
Tomáš Souček,Lukáš Masopust,2
Tomáš Souček,Michael Krmenčík,1
Tomáš Souček,Ondrej Celustka,3
Tomáš Souček,Patrik Schick,1
Tomáš Souček,Pavel Kadeřábek,4
Tomáš Souček,Petr Ševčík,4
Tomáš Souček,Tomáš Kalas,4
Tomáš Souček,Vladimír Coufal,6
Tomáš Vaclík,Ondrej Celustka,2
Tomáš Vaclík,Patrik Schick,1
Tomáš Vaclík,Pavel Kadeřábek,2
Tomáš Vaclík,Tomáš Holeš,2
Tomáš Vaclík,Tomáš Kalas,3
Tomáš Vaclík,Tomáš Souček,1
Tomáš Vaclík,Vladimír Coufal,7
Vladimír Coufal,Alex Král,2
Vladimír Coufal,Antonín Barák,8
Vladimír Coufal,Jakub Jankto,2
Vladimír Coufal,Lukáš Masopust,8
Vladimír Coufal,Michael Krmenčík,1
Vladimír Coufal,Michal Sadílek,1
Vladimír Coufal,Ondrej Celustka,3
Vladimír Coufal,Patrik Schick,2
Vladimír Coufal,Pavel Kadeřábek,2
Vladimír Coufal,Petr Ševčík,5
Vladimír Coufal,Tomáš Holeš,3
Vladimír Coufal,Tomáš Kalas,1
Vladimír Coufal,Tomáš Souček,4
Vladimír Coufal,Tomáš Vaclík,1
