passer,recipient,n_passes_completed
Andreas Christensen,Christian Nørgaard,5
Andreas Christensen,Daniel Wass,8
Andreas Christensen,Jannik Vestergaard,2
Andreas Christensen,Joakim Mæhle,1
Andreas Christensen,Kasper Schmeichel,2
Andreas Christensen,Martin Braithwaite Christensen,5
Andreas Christensen,Mathias Jensen,1
Andreas Christensen,Mikkel Damsgaard,1
Andreas Christensen,Pierre-Emile Højbjerg,18
Andreas Christensen,Simon Thorup Kjær,9
Andreas Christensen,Thomas Delaney,1
Andreas Christensen,Yussuf Yurary Poulsen,1
Andreas Evald Cornelius,Christian Nørgaard,1
Andreas Evald Cornelius,Jens Stryger Larsen,1
Andreas Evald Cornelius,Martin Braithwaite Christensen,1
Andreas Skov Olsen,Andreas Christensen,1
Andreas Skov Olsen,Christian Nørgaard,1
Andreas Skov Olsen,Martin Braithwaite Christensen,2
Andreas Skov Olsen,Mathias Jensen,1
Christian Nørgaard,Andreas Christensen,5
Christian Nørgaard,Andreas Skov Olsen,2
Christian Nørgaard,Jannik Vestergaard,1
Christian Nørgaard,Jens Stryger Larsen,2
Christian Nørgaard,Joakim Mæhle,3
Christian Nørgaard,Kasper Schmeichel,1
Christian Nørgaard,Mathias Jensen,5
Christian Nørgaard,Pierre-Emile Højbjerg,4
Christian Nørgaard,Thomas Delaney,2
Daniel Wass,Andreas Christensen,9
Daniel Wass,Jannik Vestergaard,1
Daniel Wass,Martin Braithwaite Christensen,2
Daniel Wass,Mikkel Damsgaard,1
Daniel Wass,Pierre-Emile Højbjerg,6
Daniel Wass,Thomas Delaney,3
Daniel Wass,Yussuf Yurary Poulsen,4
Jannik Vestergaard,Andreas Christensen,2
Jannik Vestergaard,Christian Nørgaard,3
Jannik Vestergaard,Joakim Mæhle,4
Jannik Vestergaard,Mathias Jensen,2
Jannik Vestergaard,Mikkel Damsgaard,2
Jannik Vestergaard,Pierre-Emile Højbjerg,6
Jannik Vestergaard,Simon Thorup Kjær,5
Jannik Vestergaard,Thomas Delaney,8
Jannik Vestergaard,Yussuf Yurary Poulsen,1
Jens Stryger Larsen,Andreas Christensen,1
Jens Stryger Larsen,Andreas Evald Cornelius,1
Jens Stryger Larsen,Andreas Skov Olsen,4
Jens Stryger Larsen,Christian Nørgaard,1
Jens Stryger Larsen,Martin Braithwaite Christensen,1
Jens Stryger Larsen,Pierre-Emile Højbjerg,2
Joakim Mæhle,Andreas Evald Cornelius,2
Joakim Mæhle,Andreas Skov Olsen,1
Joakim Mæhle,Daniel Wass,1
Joakim Mæhle,Jannik Vestergaard,3
Joakim Mæhle,Jens Stryger Larsen,1
Joakim Mæhle,Martin Braithwaite Christensen,4
Joakim Mæhle,Mathias Jensen,2
Joakim Mæhle,Mikkel Damsgaard,12
Joakim Mæhle,Pierre-Emile Højbjerg,13
Joakim Mæhle,Simon Thorup Kjær,1
Joakim Mæhle,Thomas Delaney,7
Kasper Schmeichel,Andreas Christensen,1
Kasper Schmeichel,Andreas Evald Cornelius,2
Kasper Schmeichel,Jannik Vestergaard,4
Kasper Schmeichel,Jens Stryger Larsen,1
Kasper Schmeichel,Joakim Mæhle,3
Kasper Schmeichel,Martin Braithwaite Christensen,1
Kasper Schmeichel,Mathias Jensen,1
Kasper Schmeichel,Pierre-Emile Højbjerg,1
Kasper Schmeichel,Yussuf Yurary Poulsen,2
Martin Braithwaite Christensen,Andreas Christensen,1
Martin Braithwaite Christensen,Christian Nørgaard,1
Martin Braithwaite Christensen,Daniel Wass,2
Martin Braithwaite Christensen,Jannik Vestergaard,1
Martin Braithwaite Christensen,Jens Stryger Larsen,1
Martin Braithwaite Christensen,Joakim Mæhle,1
Martin Braithwaite Christensen,Mathias Jensen,1
Martin Braithwaite Christensen,Mikkel Damsgaard,1
Martin Braithwaite Christensen,Pierre-Emile Højbjerg,7
Martin Braithwaite Christensen,Thomas Delaney,3
Martin Braithwaite Christensen,Yussuf Yurary Poulsen,1
Mathias Jensen,Andreas Christensen,2
Mathias Jensen,Christian Nørgaard,3
Mathias Jensen,Jannik Vestergaard,4
Mathias Jensen,Joakim Mæhle,4
Mathias Jensen,Pierre-Emile Højbjerg,2
Mathias Jensen,Simon Thorup Kjær,3
Mikkel Damsgaard,Andreas Christensen,2
Mikkel Damsgaard,Jannik Vestergaard,1
Mikkel Damsgaard,Joakim Mæhle,11
Mikkel Damsgaard,Martin Braithwaite Christensen,3
Mikkel Damsgaard,Pierre-Emile Højbjerg,2
Mikkel Damsgaard,Simon Thorup Kjær,2
Mikkel Damsgaard,Thomas Delaney,1
Mikkel Damsgaard,Yussuf Yurary Poulsen,4
Pierre-Emile Højbjerg,Andreas Christensen,9
Pierre-Emile Højbjerg,Andreas Evald Cornelius,1
Pierre-Emile Højbjerg,Christian Nørgaard,2
Pierre-Emile Højbjerg,Daniel Wass,4
Pierre-Emile Højbjerg,Jannik Vestergaard,7
Pierre-Emile Højbjerg,Jens Stryger Larsen,1
Pierre-Emile Højbjerg,Joakim Mæhle,8
Pierre-Emile Højbjerg,Martin Braithwaite Christensen,8
Pierre-Emile Højbjerg,Mathias Jensen,5
Pierre-Emile Højbjerg,Mikkel Damsgaard,8
Pierre-Emile Højbjerg,Simon Thorup Kjær,4
Pierre-Emile Højbjerg,Thomas Delaney,10
Pierre-Emile Højbjerg,Yussuf Yurary Poulsen,4
Simon Thorup Kjær,Andreas Christensen,10
Simon Thorup Kjær,Daniel Wass,1
Simon Thorup Kjær,Jannik Vestergaard,4
Simon Thorup Kjær,Jens Stryger Larsen,2
Simon Thorup Kjær,Joakim Mæhle,1
Simon Thorup Kjær,Kasper Schmeichel,4
Simon Thorup Kjær,Mathias Jensen,2
Simon Thorup Kjær,Mikkel Damsgaard,1
Simon Thorup Kjær,Pierre-Emile Højbjerg,4
