passer,recipient,n_passes_completed
Andreas Christensen,Andreas Skov Olsen,1
Andreas Christensen,Christian Dannemann Eriksen,2
Andreas Christensen,Daniel Wass,8
Andreas Christensen,Jannik Vestergaard,11
Andreas Christensen,Jens Stryger Larsen,2
Andreas Christensen,Joakim Mæhle,16
Andreas Christensen,Kasper Schmeichel,1
Andreas Christensen,Martin Braithwaite Christensen,3
Andreas Christensen,Mathias Jensen,9
Andreas Christensen,Pierre-Emile Højbjerg,11
Andreas Christensen,Simon Thorup Kjær,6
Andreas Christensen,Thomas Delaney,2
Andreas Evald Cornelius,Jannik Vestergaard,1
Andreas Evald Cornelius,Jens Stryger Larsen,1
Andreas Evald Cornelius,Joakim Mæhle,1
Andreas Evald Cornelius,Mathias Jensen,1
Andreas Evald Cornelius,Yussuf Yurary Poulsen,2
Andreas Skov Olsen,Andreas Christensen,1
Andreas Skov Olsen,Jens Stryger Larsen,4
Andreas Skov Olsen,Joakim Mæhle,2
Andreas Skov Olsen,Mathias Jensen,3
Andreas Skov Olsen,Pierre-Emile Højbjerg,2
Christian Dannemann Eriksen,Andreas Christensen,1
Christian Dannemann Eriksen,Daniel Wass,8
Christian Dannemann Eriksen,Joakim Mæhle,1
Christian Dannemann Eriksen,Jonas Older Wind,1
Christian Dannemann Eriksen,Martin Braithwaite Christensen,2
Christian Dannemann Eriksen,Pierre-Emile Højbjerg,2
Christian Dannemann Eriksen,Thomas Delaney,6
Christian Dannemann Eriksen,Yussuf Yurary Poulsen,1
Daniel Wass,Andreas Christensen,8
Daniel Wass,Andreas Skov Olsen,4
Daniel Wass,Christian Dannemann Eriksen,10
Daniel Wass,Joakim Mæhle,2
Daniel Wass,Jonas Older Wind,4
Daniel Wass,Mathias Jensen,4
Daniel Wass,Pierre-Emile Højbjerg,6
Daniel Wass,Simon Thorup Kjær,7
Daniel Wass,Thomas Delaney,4
Daniel Wass,Yussuf Yurary Poulsen,9
Jannik Vestergaard,Andreas Christensen,6
Jannik Vestergaard,Jens Stryger Larsen,1
Jannik Vestergaard,Joakim Mæhle,8
Jannik Vestergaard,Martin Braithwaite Christensen,1
Jannik Vestergaard,Mathias Jensen,3
Jannik Vestergaard,Pierre-Emile Højbjerg,1
Jannik Vestergaard,Yussuf Yurary Poulsen,3
Jens Stryger Larsen,Andreas Christensen,2
Jens Stryger Larsen,Andreas Evald Cornelius,1
Jens Stryger Larsen,Andreas Skov Olsen,6
Jens Stryger Larsen,Jannik Vestergaard,2
Jens Stryger Larsen,Mathias Jensen,3
Jens Stryger Larsen,Pierre-Emile Højbjerg,1
Jens Stryger Larsen,Yussuf Yurary Poulsen,1
Joakim Mæhle,Andreas Christensen,4
Joakim Mæhle,Andreas Evald Cornelius,1
Joakim Mæhle,Christian Dannemann Eriksen,3
Joakim Mæhle,Daniel Wass,1
Joakim Mæhle,Jannik Vestergaard,4
Joakim Mæhle,Jonas Older Wind,3
Joakim Mæhle,Martin Braithwaite Christensen,24
Joakim Mæhle,Mathias Jensen,13
Joakim Mæhle,Pierre-Emile Højbjerg,14
Joakim Mæhle,Simon Thorup Kjær,1
Joakim Mæhle,Thomas Delaney,12
Joakim Mæhle,Yussuf Yurary Poulsen,6
Jonas Older Wind,Andreas Christensen,1
Jonas Older Wind,Christian Dannemann Eriksen,1
Jonas Older Wind,Daniel Wass,3
Jonas Older Wind,Joakim Mæhle,1
Jonas Older Wind,Martin Braithwaite Christensen,3
Jonas Older Wind,Pierre-Emile Højbjerg,1
Jonas Older Wind,Thomas Delaney,2
Jonas Older Wind,Yussuf Yurary Poulsen,1
Kasper Schmeichel,Andreas Evald Cornelius,1
Kasper Schmeichel,Jannik Vestergaard,2
Kasper Schmeichel,Joakim Mæhle,2
Kasper Schmeichel,Martin Braithwaite Christensen,1
Kasper Schmeichel,Pierre-Emile Højbjerg,1
Kasper Schmeichel,Simon Thorup Kjær,1
Kasper Schmeichel,Yussuf Yurary Poulsen,1
Martin Braithwaite Christensen,Andreas Christensen,4
Martin Braithwaite Christensen,Andreas Evald Cornelius,1
Martin Braithwaite Christensen,Christian Dannemann Eriksen,2
Martin Braithwaite Christensen,Daniel Wass,1
Martin Braithwaite Christensen,Jannik Vestergaard,2
Martin Braithwaite Christensen,Joakim Mæhle,4
Martin Braithwaite Christensen,Jonas Older Wind,3
Martin Braithwaite Christensen,Mathias Jensen,2
Martin Braithwaite Christensen,Pierre-Emile Højbjerg,6
Martin Braithwaite Christensen,Simon Thorup Kjær,1
Martin Braithwaite Christensen,Thomas Delaney,9
Martin Braithwaite Christensen,Yussuf Yurary Poulsen,2
Mathias Jensen,Andreas Christensen,9
Mathias Jensen,Andreas Evald Cornelius,2
Mathias Jensen,Andreas Skov Olsen,2
Mathias Jensen,Daniel Wass,6
Mathias Jensen,Jannik Vestergaard,1
Mathias Jensen,Jens Stryger Larsen,3
Mathias Jensen,Joakim Mæhle,5
Mathias Jensen,Kasper Schmeichel,1
Mathias Jensen,Martin Braithwaite Christensen,2
Mathias Jensen,Pierre-Emile Højbjerg,6
Mathias Jensen,Yussuf Yurary Poulsen,3
Pierre-Emile Højbjerg,Andreas Christensen,11
Pierre-Emile Højbjerg,Andreas Evald Cornelius,1
Pierre-Emile Højbjerg,Christian Dannemann Eriksen,2
Pierre-Emile Højbjerg,Daniel Wass,16
Pierre-Emile Højbjerg,Jannik Vestergaard,2
Pierre-Emile Højbjerg,Jens Stryger Larsen,2
Pierre-Emile Højbjerg,Joakim Mæhle,9
Pierre-Emile Højbjerg,Jonas Older Wind,1
Pierre-Emile Højbjerg,Kasper Schmeichel,2
Pierre-Emile Højbjerg,Martin Braithwaite Christensen,6
Pierre-Emile Højbjerg,Mathias Jensen,6
Pierre-Emile Højbjerg,Simon Thorup Kjær,6
Pierre-Emile Højbjerg,Thomas Delaney,8
Pierre-Emile Højbjerg,Yussuf Yurary Poulsen,3
Simon Thorup Kjær,Andreas Christensen,6
Simon Thorup Kjær,Daniel Wass,13
Simon Thorup Kjær,Joakim Mæhle,5
Simon Thorup Kjær,Kasper Schmeichel,1
Simon Thorup Kjær,Martin Braithwaite Christensen,1
Simon Thorup Kjær,Mathias Jensen,1
Simon Thorup Kjær,Pierre-Emile Højbjerg,6
Thomas Delaney,Andreas Christensen,6
Thomas Delaney,Andreas Skov Olsen,1
Thomas Delaney,Christian Dannemann Eriksen,1
Thomas Delaney,Daniel Wass,2
Thomas Delaney,Jannik Vestergaard,2
Thomas Delaney,Joakim Mæhle,9
Thomas Delaney,Jonas Older Wind,2
Thomas Delaney,Martin Braithwaite Christensen,6
Thomas Delaney,Mathias Jensen,1
Thomas Delaney,Pierre-Emile Højbjerg,5
Thomas Delaney,Simon Thorup Kjær,5
Thomas Delaney,Yussuf Yurary Poulsen,3
Yussuf Yurary Poulsen,Christian Dannemann Eriksen,2
Yussuf Yurary Poulsen,Daniel Wass,4
Yussuf Yurary Poulsen,Jannik Vestergaard,1
Yussuf Yurary Poulsen,Joakim Mæhle,3
Yussuf Yurary Poulsen,Jonas Older Wind,2
Yussuf Yurary Poulsen,Martin Braithwaite Christensen,2
Yussuf Yurary Poulsen,Mathias Jensen,2
Yussuf Yurary Poulsen,Pierre-Emile Højbjerg,4
Yussuf Yurary Poulsen,Thomas Delaney,2
