passer,recipient,n_passes_completed
Adrien Rabiot,Antoine Griezmann,4
Adrien Rabiot,Benjamin Pavard,2
Adrien Rabiot,Hugo Lloris,1
Adrien Rabiot,Karim Benzema,2
Adrien Rabiot,Kylian Mbappé Lottin,5
Adrien Rabiot,Lucas Hernández Pi,11
Adrien Rabiot,N''Golo Kanté,6
Adrien Rabiot,Paul Pogba,4
Adrien Rabiot,Presnel Kimpembe,1
Adrien Rabiot,Raphaël Varane,2
Antoine Griezmann,Adrien Rabiot,4
Antoine Griezmann,Benjamin Pavard,5
Antoine Griezmann,Karim Benzema,1
Antoine Griezmann,Kylian Mbappé Lottin,3
Antoine Griezmann,Lucas Hernández Pi,2
Antoine Griezmann,N''Golo Kanté,1
Antoine Griezmann,Paul Pogba,6
Antoine Griezmann,Presnel Kimpembe,2
Antoine Griezmann,Raphaël Varane,5
Benjamin Pavard,Antoine Griezmann,6
Benjamin Pavard,Hugo Lloris,1
Benjamin Pavard,Karim Benzema,3
Benjamin Pavard,N''Golo Kanté,11
Benjamin Pavard,Paul Pogba,14
Benjamin Pavard,Presnel Kimpembe,1
Benjamin Pavard,Raphaël Varane,6
Hugo Lloris,Adrien Rabiot,1
Hugo Lloris,Antoine Griezmann,2
Hugo Lloris,Benjamin Pavard,5
Hugo Lloris,Karim Benzema,1
Hugo Lloris,Lucas Hernández Pi,1
Hugo Lloris,N''Golo Kanté,1
Hugo Lloris,Paul Pogba,4
Hugo Lloris,Presnel Kimpembe,5
Hugo Lloris,Raphaël Varane,1
Karim Benzema,Adrien Rabiot,3
Karim Benzema,Antoine Griezmann,2
Karim Benzema,Kylian Mbappé Lottin,12
Karim Benzema,Lucas Hernández Pi,3
Karim Benzema,N''Golo Kanté,2
Karim Benzema,Paul Pogba,4
Kylian Mbappé Lottin,Adrien Rabiot,6
Kylian Mbappé Lottin,Antoine Griezmann,4
Kylian Mbappé Lottin,Benjamin Pavard,1
Kylian Mbappé Lottin,Karim Benzema,5
Kylian Mbappé Lottin,Lucas Hernández Pi,1
Kylian Mbappé Lottin,N''Golo Kanté,1
Kylian Mbappé Lottin,Paul Pogba,2
Lucas Hernández Pi,Adrien Rabiot,3
Lucas Hernández Pi,Hugo Lloris,1
Lucas Hernández Pi,Karim Benzema,7
Lucas Hernández Pi,Kylian Mbappé Lottin,8
Lucas Hernández Pi,N''Golo Kanté,3
Lucas Hernández Pi,Presnel Kimpembe,15
Lucas Hernández Pi,Raphaël Varane,1
N''Golo Kanté,Adrien Rabiot,7
N''Golo Kanté,Antoine Griezmann,5
N''Golo Kanté,Benjamin Pavard,8
N''Golo Kanté,Hugo Lloris,2
N''Golo Kanté,Karim Benzema,6
N''Golo Kanté,Lucas Hernández Pi,5
N''Golo Kanté,Paul Pogba,7
N''Golo Kanté,Presnel Kimpembe,1
N''Golo Kanté,Raphaël Varane,4
Paul Pogba,Adrien Rabiot,1
Paul Pogba,Antoine Griezmann,9
Paul Pogba,Benjamin Pavard,6
Paul Pogba,Karim Benzema,5
Paul Pogba,Kylian Mbappé Lottin,5
Paul Pogba,Lucas Hernández Pi,4
Paul Pogba,N''Golo Kanté,5
Paul Pogba,Presnel Kimpembe,2
Paul Pogba,Raphaël Varane,2
Presnel Kimpembe,Adrien Rabiot,6
Presnel Kimpembe,Antoine Griezmann,1
Presnel Kimpembe,Hugo Lloris,3
Presnel Kimpembe,Kylian Mbappé Lottin,1
Presnel Kimpembe,Lucas Hernández Pi,7
Presnel Kimpembe,N''Golo Kanté,11
Presnel Kimpembe,Raphaël Varane,10
Raphaël Varane,Adrien Rabiot,3
Raphaël Varane,Benjamin Pavard,10
Raphaël Varane,Hugo Lloris,5
Raphaël Varane,N''Golo Kanté,2
Raphaël Varane,Paul Pogba,9
Raphaël Varane,Presnel Kimpembe,9
