passer,recipient,n_passes_completed
Antonio Rüdiger,Emre Can,1
Antonio Rüdiger,Joshua Kimmich,1
Antonio Rüdiger,Kai Havertz,2
Antonio Rüdiger,Leon Goretzka,3
Antonio Rüdiger,Manuel Neuer,11
Antonio Rüdiger,Mats Hummels,16
Antonio Rüdiger,Robin Gosens,8
Antonio Rüdiger,Thomas Müller,3
Antonio Rüdiger,Toni Kroos,9
Emre Can,Antonio Rüdiger,3
Emre Can,Joshua Kimmich,2
Emre Can,Manuel Neuer,1
Emre Can,Mats Hummels,1
Emre Can,Serge Gnabry,1
Emre Can,Toni Kroos,1
Joshua Kimmich,Antonio Rüdiger,1
Joshua Kimmich,Kai Havertz,2
Joshua Kimmich,Leon Goretzka,5
Joshua Kimmich,Leroy Sané,1
Joshua Kimmich,Manuel Neuer,6
Joshua Kimmich,Mats Hummels,9
Joshua Kimmich,Matthias Ginter,8
Joshua Kimmich,Robin Gosens,1
Joshua Kimmich,Serge Gnabry,1
Joshua Kimmich,Thomas Müller,2
Joshua Kimmich,Timo Werner,2
Joshua Kimmich,Toni Kroos,3
Kai Havertz,Antonio Rüdiger,1
Kai Havertz,Joshua Kimmich,3
Kai Havertz,Leon Goretzka,6
Kai Havertz,Mats Hummels,4
Kai Havertz,Matthias Ginter,1
Kai Havertz,Robin Gosens,1
Kai Havertz,Thomas Müller,3
Kai Havertz,Timo Werner,6
Kai Havertz,Toni Kroos,2
Leon Goretzka,Antonio Rüdiger,2
Leon Goretzka,Joshua Kimmich,7
Leon Goretzka,Kai Havertz,5
Leon Goretzka,Manuel Neuer,1
Leon Goretzka,Mats Hummels,8
Leon Goretzka,Matthias Ginter,2
Leon Goretzka,Robin Gosens,1
Leon Goretzka,Serge Gnabry,1
Leon Goretzka,Thomas Müller,7
Leon Goretzka,Timo Werner,2
Leon Goretzka,Toni Kroos,6
Leroy Sané,Emre Can,1
Leroy Sané,Toni Kroos,1
Manuel Neuer,Antonio Rüdiger,8
Manuel Neuer,Emre Can,1
Manuel Neuer,Joshua Kimmich,5
Manuel Neuer,Kai Havertz,2
Manuel Neuer,Leon Goretzka,2
Manuel Neuer,Leroy Sané,1
Manuel Neuer,Mats Hummels,7
Manuel Neuer,Matthias Ginter,2
Manuel Neuer,Robin Gosens,2
Manuel Neuer,Timo Werner,1
Manuel Neuer,Toni Kroos,2
Mats Hummels,Antonio Rüdiger,13
Mats Hummels,Joshua Kimmich,5
Mats Hummels,Kai Havertz,1
Mats Hummels,Leon Goretzka,7
Mats Hummels,Manuel Neuer,4
Mats Hummels,Matthias Ginter,21
Mats Hummels,Robin Gosens,1
Mats Hummels,Serge Gnabry,1
Mats Hummels,Thomas Müller,7
Mats Hummels,Toni Kroos,17
Matthias Ginter,Joshua Kimmich,8
Matthias Ginter,Kai Havertz,6
Matthias Ginter,Leon Goretzka,2
Matthias Ginter,Manuel Neuer,7
Matthias Ginter,Mats Hummels,15
Matthias Ginter,Timo Werner,1
Matthias Ginter,Toni Kroos,6
Robin Gosens,Antonio Rüdiger,15
Robin Gosens,Kai Havertz,2
Robin Gosens,Mats Hummels,2
Robin Gosens,Toni Kroos,11
Serge Gnabry,Emre Can,1
Serge Gnabry,Joshua Kimmich,2
Serge Gnabry,Leroy Sané,1
Serge Gnabry,Mats Hummels,1
Thomas Müller,Antonio Rüdiger,3
Thomas Müller,Emre Can,1
Thomas Müller,Joshua Kimmich,2
Thomas Müller,Kai Havertz,7
Thomas Müller,Leon Goretzka,4
Thomas Müller,Manuel Neuer,1
Thomas Müller,Matthias Ginter,1
Thomas Müller,Robin Gosens,2
Thomas Müller,Serge Gnabry,1
Thomas Müller,Timo Werner,2
Thomas Müller,Toni Kroos,6
Timo Werner,Joshua Kimmich,1
Timo Werner,Kai Havertz,2
Timo Werner,Mats Hummels,1
Timo Werner,Robin Gosens,1
Timo Werner,Thomas Müller,3
Timo Werner,Toni Kroos,3
Toni Kroos,Antonio Rüdiger,12
Toni Kroos,Joshua Kimmich,2
Toni Kroos,Kai Havertz,8
Toni Kroos,Leon Goretzka,11
Toni Kroos,Mats Hummels,8
Toni Kroos,Matthias Ginter,8
Toni Kroos,Robin Gosens,4
Toni Kroos,Serge Gnabry,1
Toni Kroos,Thomas Müller,9
Toni Kroos,Timo Werner,1
