passer,recipient,n_passes_completed
András Schäfer,Attila Fiola,7
András Schäfer,Attila Szalai,3
András Schäfer,Péter Gulácsi,1
András Schäfer,Ádám Nagy,2
András Schäfer,Ádám Szalai,4
Attila Fiola,András Schäfer,2
Attila Fiola,Attila Szalai,10
Attila Fiola,László Kleinheisler,2
Attila Fiola,Péter Gulácsi,1
Attila Fiola,Roland Sallai,2
Attila Fiola,Willi Orban,1
Attila Fiola,Ádám Nagy,2
Attila Fiola,Ádám Szalai,6
Attila Szalai,András Schäfer,1
Attila Szalai,Attila Fiola,8
Attila Szalai,David Siger,2
Attila Szalai,Endre Botka,1
Attila Szalai,Gergő Lovrencsics,3
Attila Szalai,Kevin Varga,1
Attila Szalai,Loïc Négo,1
Attila Szalai,László Kleinheisler,3
Attila Szalai,Péter Gulácsi,5
Attila Szalai,Roland Varga,1
Attila Szalai,Willi Orban,6
Attila Szalai,Ádám Nagy,4
Attila Szalai,Ádám Szalai,4
David Siger,Attila Szalai,2
David Siger,Willi Orban,1
Endre Botka,Attila Szalai,1
Endre Botka,Gergő Lovrencsics,3
Endre Botka,Loïc Négo,1
Endre Botka,László Kleinheisler,2
Endre Botka,Péter Gulácsi,1
Endre Botka,Willi Orban,4
Endre Botka,Ádám Nagy,2
Endre Botka,Ádám Szalai,1
Gergő Lovrencsics,Attila Szalai,2
Gergő Lovrencsics,Endre Botka,5
Gergő Lovrencsics,László Kleinheisler,2
Gergő Lovrencsics,Péter Gulácsi,2
Gergő Lovrencsics,Roland Sallai,2
Gergő Lovrencsics,Roland Varga,1
Gergő Lovrencsics,Szabolcs Schön,1
Gergő Lovrencsics,Willi Orban,1
Gergő Lovrencsics,Ádám Nagy,1
Gergő Lovrencsics,Ádám Szalai,9
Kevin Varga,Attila Szalai,2
Kevin Varga,Péter Gulácsi,1
Loïc Négo,Attila Szalai,1
Loïc Négo,David Siger,2
Loïc Négo,Endre Botka,1
Loïc Négo,Gergő Lovrencsics,1
Loïc Négo,László Kleinheisler,1
Loïc Négo,Roland Sallai,1
Loïc Négo,Szabolcs Schön,1
Loïc Négo,Ádám Szalai,1
László Kleinheisler,András Schäfer,1
László Kleinheisler,Attila Szalai,1
László Kleinheisler,Endre Botka,2
László Kleinheisler,Gergő Lovrencsics,5
László Kleinheisler,Roland Sallai,2
László Kleinheisler,Willi Orban,2
Péter Gulácsi,Attila Fiola,1
Péter Gulácsi,Attila Szalai,9
Péter Gulácsi,Endre Botka,3
Péter Gulácsi,Gergő Lovrencsics,2
Péter Gulácsi,Roland Sallai,1
Péter Gulácsi,Willi Orban,6
Péter Gulácsi,Ádám Nagy,2
Péter Gulácsi,Ádám Szalai,2
Roland Sallai,András Schäfer,4
Roland Sallai,Gergő Lovrencsics,1
Roland Sallai,László Kleinheisler,1
Roland Sallai,Ádám Szalai,2
Roland Varga,Gergő Lovrencsics,1
Szabolcs Schön,David Siger,1
Szabolcs Schön,Loïc Négo,1
Szabolcs Schön,Ádám Szalai,1
Willi Orban,András Schäfer,2
Willi Orban,Attila Szalai,5
Willi Orban,Endre Botka,5
Willi Orban,Gergő Lovrencsics,3
Willi Orban,Loïc Négo,2
Willi Orban,László Kleinheisler,2
Willi Orban,Péter Gulácsi,2
Ádám Nagy,András Schäfer,1
Ádám Nagy,Attila Fiola,2
Ádám Nagy,Attila Szalai,5
Ádám Nagy,Endre Botka,1
Ádám Nagy,Gergő Lovrencsics,3
Ádám Nagy,László Kleinheisler,3
Ádám Nagy,Péter Gulácsi,1
Ádám Nagy,Roland Sallai,2
Ádám Nagy,Ádám Szalai,2
Ádám Szalai,András Schäfer,1
Ádám Szalai,Attila Fiola,2
Ádám Szalai,Attila Szalai,1
Ádám Szalai,Gergő Lovrencsics,1
Ádám Szalai,Loïc Négo,3
Ádám Szalai,László Kleinheisler,1
Ádám Szalai,Roland Sallai,1
Ádám Szalai,Ádám Nagy,1
