passer,recipient,n_passes_completed
Alessandro Florenzi,Bryan Cristante,2
Alessandro Florenzi,Domenico Berardi,1
Alessandro Florenzi,Federico Bernardeschi,1
Alessandro Florenzi,Jorge Luiz Frello Filho,1
Andrea Belotti,Bryan Cristante,1
Andrea Belotti,Federico Bernardeschi,1
Andrea Belotti,Jorge Luiz Frello Filho,1
Bryan Cristante,Alessandro Florenzi,3
Bryan Cristante,Domenico Berardi,3
Bryan Cristante,Emerson Palmieri dos Santos,2
Bryan Cristante,Federico Bernardeschi,1
Bryan Cristante,Giorgio Chiellini,3
Bryan Cristante,Giovanni Di Lorenzo,2
Bryan Cristante,Jorge Luiz Frello Filho,5
Bryan Cristante,Leonardo Bonucci,4
Bryan Cristante,Lorenzo Insigne,1
Bryan Cristante,Marco Verratti,2
Ciro Immobile,Emerson Palmieri dos Santos,2
Ciro Immobile,Federico Chiesa,2
Ciro Immobile,Giorgio Chiellini,1
Ciro Immobile,Jorge Luiz Frello Filho,4
Ciro Immobile,Leonardo Bonucci,1
Ciro Immobile,Lorenzo Insigne,4
Ciro Immobile,Marco Verratti,2
Ciro Immobile,Nicolò Barella,1
Domenico Berardi,Andrea Belotti,1
Domenico Berardi,Bryan Cristante,6
Domenico Berardi,Giovanni Di Lorenzo,4
Domenico Berardi,Jorge Luiz Frello Filho,2
Domenico Berardi,Leonardo Bonucci,2
Domenico Berardi,Marco Verratti,1
Emerson Palmieri dos Santos,Bryan Cristante,4
Emerson Palmieri dos Santos,Ciro Immobile,3
Emerson Palmieri dos Santos,Federico Bernardeschi,4
Emerson Palmieri dos Santos,Federico Chiesa,1
Emerson Palmieri dos Santos,Gianluigi Donnarumma,1
Emerson Palmieri dos Santos,Giorgio Chiellini,12
Emerson Palmieri dos Santos,Jorge Luiz Frello Filho,3
Emerson Palmieri dos Santos,Leonardo Bonucci,2
Emerson Palmieri dos Santos,Lorenzo Insigne,14
Emerson Palmieri dos Santos,Manuel Locatelli,1
Emerson Palmieri dos Santos,Marco Verratti,11
Emerson Palmieri dos Santos,Nicolò Barella,2
Federico Bernardeschi,Bryan Cristante,1
Federico Bernardeschi,Emerson Palmieri dos Santos,4
Federico Bernardeschi,Manuel Locatelli,1
Federico Bernardeschi,Marco Verratti,1
Federico Chiesa,Ciro Immobile,1
Federico Chiesa,Giovanni Di Lorenzo,2
Federico Chiesa,Jorge Luiz Frello Filho,3
Federico Chiesa,Lorenzo Insigne,4
Federico Chiesa,Marco Verratti,2
Federico Chiesa,Nicolò Barella,3
Gianluigi Donnarumma,Ciro Immobile,3
Gianluigi Donnarumma,Emerson Palmieri dos Santos,1
Gianluigi Donnarumma,Giorgio Chiellini,8
Gianluigi Donnarumma,Giovanni Di Lorenzo,1
Gianluigi Donnarumma,Leonardo Bonucci,14
Gianluigi Donnarumma,Marco Verratti,5
Gianluigi Donnarumma,Nicolò Barella,1
Giorgio Chiellini,Alessandro Florenzi,1
Giorgio Chiellini,Bryan Cristante,2
Giorgio Chiellini,Ciro Immobile,1
Giorgio Chiellini,Emerson Palmieri dos Santos,11
Giorgio Chiellini,Federico Chiesa,2
Giorgio Chiellini,Gianluigi Donnarumma,6
Giorgio Chiellini,Jorge Luiz Frello Filho,9
