passer,recipient,n_passes_completed
Aleksandar Trajkovski,Arijan Ademi,5
Aleksandar Trajkovski,Darko Velkovski,1
Aleksandar Trajkovski,Eljif Elmas,4
Aleksandar Trajkovski,Enis Bardhi,5
Aleksandar Trajkovski,Ezgjan Alioski,2
Aleksandar Trajkovski,Goran Pandev,2
Aleksandar Trajkovski,Ivan Trichkovski,1
Aleksandar Trajkovski,Stefan Ristovski,6
Aleksandar Trajkovski,Visar Musliu,1
Arijan Ademi,Aleksandar Trajkovski,2
Arijan Ademi,Darko Velkovski,7
Arijan Ademi,Eljif Elmas,1
Arijan Ademi,Enis Bardhi,8
Arijan Ademi,Ezgjan Alioski,1
Arijan Ademi,Goran Pandev,4
Arijan Ademi,Ivan Trichkovski,2
Arijan Ademi,Stefan Ristovski,2
Arijan Ademi,Stole Dimitrievski,1
Arijan Ademi,Visar Musliu,4
Boban Nikolov,Eljif Elmas,1
Boban Nikolov,Ezgjan Alioski,1
Boban Nikolov,Tihomir Kostadinov,1
Darko Churlinov,Darko Velkovski,1
Darko Churlinov,Eljif Elmas,2
Darko Churlinov,Stefan Ristovski,1
Darko Churlinov,Visar Musliu,1
Darko Churlinov,Vlatko Stojanovski,1
Darko Velkovski,Aleksandar Trajkovski,4
Darko Velkovski,Arijan Ademi,5
Darko Velkovski,Boban Nikolov,1
Darko Velkovski,Eljif Elmas,2
Darko Velkovski,Enis Bardhi,2
Darko Velkovski,Ezgjan Alioski,2
Darko Velkovski,Ferhan Hasani,1
Darko Velkovski,Goran Pandev,1
Darko Velkovski,Ivan Trichkovski,3
Darko Velkovski,Stefan Ristovski,6
Darko Velkovski,Stole Dimitrievski,1
Darko Velkovski,Visar Musliu,4
Eljif Elmas,Aleksandar Trajkovski,5
Eljif Elmas,Arijan Ademi,1
Eljif Elmas,Darko Churlinov,1
Eljif Elmas,Darko Velkovski,3
Eljif Elmas,Enis Bardhi,4
Eljif Elmas,Ezgjan Alioski,7
Eljif Elmas,Ferhan Hasani,1
Eljif Elmas,Goran Pandev,1
Eljif Elmas,Ivan Trichkovski,1
Eljif Elmas,Stefan Ristovski,6
Eljif Elmas,Tihomir Kostadinov,1
Eljif Elmas,Visar Musliu,1
Eljif Elmas,Vlatko Stojanovski,1
Enis Bardhi,Aleksandar Trajkovski,7
Enis Bardhi,Arijan Ademi,5
Enis Bardhi,Darko Velkovski,4
Enis Bardhi,Eljif Elmas,2
Enis Bardhi,Ezgjan Alioski,2
Enis Bardhi,Goran Pandev,1
Enis Bardhi,Ivan Trichkovski,1
Enis Bardhi,Stefan Ristovski,9
Enis Bardhi,Stole Dimitrievski,1
Enis Bardhi,Visar Musliu,4
Ezgjan Alioski,Aleksandar Trajkovski,9
Ezgjan Alioski,Arijan Ademi,2
Ezgjan Alioski,Boban Nikolov,1
Ezgjan Alioski,Darko Churlinov,2
Ezgjan Alioski,Darko Velkovski,1
Ezgjan Alioski,Eljif Elmas,9
Ezgjan Alioski,Enis Bardhi,7
Ezgjan Alioski,Ferhan Hasani,2
Ezgjan Alioski,Goran Pandev,3
Ezgjan Alioski,Stefan Ristovski,1
Ezgjan Alioski,Visar Musliu,3
Ferhan Hasani,Darko Churlinov,2
Ferhan Hasani,Ezgjan Alioski,3
Goran Pandev,Aleksandar Trajkovski,1
Goran Pandev,Eljif Elmas,4
Goran Pandev,Enis Bardhi,2
Goran Pandev,Ezgjan Alioski,2
Goran Pandev,Ivan Trichkovski,1
Goran Pandev,Stefan Ristovski,2
Ivan Trichkovski,Aleksandar Trajkovski,1
Ivan Trichkovski,Arijan Ademi,2
Ivan Trichkovski,Darko Velkovski,4
Ivan Trichkovski,Eljif Elmas,1
Ivan Trichkovski,Ezgjan Alioski,1
Ivan Trichkovski,Stefan Ristovski,5
Stefan Ristovski,Aleksandar Trajkovski,5
Stefan Ristovski,Arijan Ademi,6
Stefan Ristovski,Darko Velkovski,7
Stefan Ristovski,Eljif Elmas,2
Stefan Ristovski,Enis Bardhi,5
Stefan Ristovski,Ezgjan Alioski,2
Stefan Ristovski,Goran Pandev,9
Stefan Ristovski,Ivan Trichkovski,4
Stefan Ristovski,Stole Dimitrievski,3
Stefan Ristovski,Tihomir Kostadinov,3
Stefan Ristovski,Visar Musliu,3
Stole Dimitrievski,Arijan Ademi,1
Stole Dimitrievski,Darko Churlinov,1
Stole Dimitrievski,Eljif Elmas,5
Stole Dimitrievski,Enis Bardhi,1
Stole Dimitrievski,Ezgjan Alioski,8
Stole Dimitrievski,Ivan Trichkovski,2
Stole Dimitrievski,Stefan Ristovski,3
Stole Dimitrievski,Visar Musliu,7
Tihomir Kostadinov,Boban Nikolov,1
Tihomir Kostadinov,Darko Churlinov,1
Tihomir Kostadinov,Eljif Elmas,1
Tihomir Kostadinov,Ferhan Hasani,1
Tihomir Kostadinov,Visar Musliu,1
Visar Musliu,Aleksandar Trajkovski,2
Visar Musliu,Arijan Ademi,1
Visar Musliu,Darko Velkovski,2
Visar Musliu,Eljif Elmas,3
Visar Musliu,Enis Bardhi,3
Visar Musliu,Ezgjan Alioski,16
Visar Musliu,Ferhan Hasani,1
Visar Musliu,Stefan Ristovski,1
Visar Musliu,Stole Dimitrievski,7
Vlatko Stojanovski,Darko Churlinov,1
Vlatko Stojanovski,Stefan Ristovski,1
