passer,recipient,n_passes_completed
André Miguel Valente Silva,Cristiano Ronaldo dos Santos Aveiro,1
André Miguel Valente Silva,Danilo Luís Hélio Pereira,1
André Miguel Valente Silva,João Félix Sequeira,2
Bernardo Mota Veiga de Carvalho e Silva,Cristiano Ronaldo dos Santos Aveiro,1
Bernardo Mota Veiga de Carvalho e Silva,José Diogo Dalot Teixeira,9
Bernardo Mota Veiga de Carvalho e Silva,João Filipe Iria Santos Moutinho,2
Bernardo Mota Veiga de Carvalho e Silva,Raphaël Adelino José Guerreiro,1
Bernardo Mota Veiga de Carvalho e Silva,Renato Júnior Luz Sanches,3
Bruno Miguel Borges Fernandes,André Miguel Valente Silva,2
Bruno Miguel Borges Fernandes,Cristiano Ronaldo dos Santos Aveiro,1
Bruno Miguel Borges Fernandes,José Diogo Dalot Teixeira,6
Bruno Miguel Borges Fernandes,João Félix Sequeira,4
Bruno Miguel Borges Fernandes,João Maria Lobo Alves Palhinha Gonçalves,1
Bruno Miguel Borges Fernandes,Kléper Laveran Lima Ferreira,1
Bruno Miguel Borges Fernandes,Raphaël Adelino José Guerreiro,3
Bruno Miguel Borges Fernandes,Rúben Santos Gato Alves Dias,2
Bruno Miguel Borges Fernandes,Sérgio Miguel Relvas de Oliveira,2
Cristiano Ronaldo dos Santos Aveiro,André Miguel Valente Silva,2
Cristiano Ronaldo dos Santos Aveiro,Bernardo Mota Veiga de Carvalho e Silva,3
Cristiano Ronaldo dos Santos Aveiro,Diogo José Teixeira da Silva,6
Cristiano Ronaldo dos Santos Aveiro,José Diogo Dalot Teixeira,2
Cristiano Ronaldo dos Santos Aveiro,João Filipe Iria Santos Moutinho,5
Cristiano Ronaldo dos Santos Aveiro,João Félix Sequeira,2
Cristiano Ronaldo dos Santos Aveiro,João Maria Lobo Alves Palhinha Gonçalves,2
Cristiano Ronaldo dos Santos Aveiro,Kléper Laveran Lima Ferreira,1
Cristiano Ronaldo dos Santos Aveiro,Raphaël Adelino José Guerreiro,4
Cristiano Ronaldo dos Santos Aveiro,Renato Júnior Luz Sanches,2
Cristiano Ronaldo dos Santos Aveiro,Sérgio Miguel Relvas de Oliveira,1
Danilo Luís Hélio Pereira,Bruno Miguel Borges Fernandes,2
Danilo Luís Hélio Pereira,Cristiano Ronaldo dos Santos Aveiro,1
Danilo Luís Hélio Pereira,Kléper Laveran Lima Ferreira,1
Danilo Luís Hélio Pereira,Rui Pedro dos Santos Patrício,1
Danilo Luís Hélio Pereira,Rúben Santos Gato Alves Dias,2
Danilo Luís Hélio Pereira,Sérgio Miguel Relvas de Oliveira,1
Diogo José Teixeira da Silva,Bernardo Mota Veiga de Carvalho e Silva,1
Diogo José Teixeira da Silva,Bruno Miguel Borges Fernandes,1
Diogo José Teixeira da Silva,Cristiano Ronaldo dos Santos Aveiro,4
Diogo José Teixeira da Silva,José Diogo Dalot Teixeira,1
Diogo José Teixeira da Silva,João Filipe Iria Santos Moutinho,1
Diogo José Teixeira da Silva,João Maria Lobo Alves Palhinha Gonçalves,3
Diogo José Teixeira da Silva,Raphaël Adelino José Guerreiro,9
Diogo José Teixeira da Silva,Renato Júnior Luz Sanches,8
Diogo José Teixeira da Silva,Rúben Santos Gato Alves Dias,2
José Diogo Dalot Teixeira,Bernardo Mota Veiga de Carvalho e Silva,6
José Diogo Dalot Teixeira,Bruno Miguel Borges Fernandes,6
José Diogo Dalot Teixeira,Cristiano Ronaldo dos Santos Aveiro,5
José Diogo Dalot Teixeira,Diogo José Teixeira da Silva,1
José Diogo Dalot Teixeira,João Filipe Iria Santos Moutinho,7
José Diogo Dalot Teixeira,João Félix Sequeira,1
José Diogo Dalot Teixeira,João Maria Lobo Alves Palhinha Gonçalves,4
José Diogo Dalot Teixeira,Kléper Laveran Lima Ferreira,22
José Diogo Dalot Teixeira,Raphaël Adelino José Guerreiro,2
José Diogo Dalot Teixeira,Renato Júnior Luz Sanches,2
José Diogo Dalot Teixeira,Rui Pedro dos Santos Patrício,1
José Diogo Dalot Teixeira,Rúben Santos Gato Alves Dias,1
José Diogo Dalot Teixeira,Sérgio Miguel Relvas de Oliveira,2
João Filipe Iria Santos Moutinho,Bernardo Mota Veiga de Carvalho e Silva,3
João Filipe Iria Santos Moutinho,Cristiano Ronaldo dos Santos Aveiro,2
João Filipe Iria Santos Moutinho,Diogo José Teixeira da Silva,4
João Filipe Iria Santos Moutinho,José Diogo Dalot Teixeira,4
João Filipe Iria Santos Moutinho,João Maria Lobo Alves Palhinha Gonçalves,3
João Filipe Iria Santos Moutinho,Kléper Laveran Lima Ferreira,4
João Filipe Iria Santos Moutinho,Raphaël Adelino José Guerreiro,1
João Filipe Iria Santos Moutinho,Renato Júnior Luz Sanches,3
João Filipe Iria Santos Moutinho,Rúben Santos Gato Alves Dias,4
João Félix Sequeira,André Miguel Valente Silva,2
João Félix Sequeira,Bruno Miguel Borges Fernandes,1
João Félix Sequeira,Cristiano Ronaldo dos Santos Aveiro,1
João Félix Sequeira,Danilo Luís Hélio Pereira,2
João Félix Sequeira,Diogo José Teixeira da Silva,1
João Félix Sequeira,José Diogo Dalot Teixeira,2
João Félix Sequeira,Raphaël Adelino José Guerreiro,3
João Félix Sequeira,Rúben Santos Gato Alves Dias,1
João Félix Sequeira,Sérgio Miguel Relvas de Oliveira,3
João Maria Lobo Alves Palhinha Gonçalves,Bernardo Mota Veiga de Carvalho e Silva,2
João Maria Lobo Alves Palhinha Gonçalves,Bruno Miguel Borges Fernandes,2
João Maria Lobo Alves Palhinha Gonçalves,Cristiano Ronaldo dos Santos Aveiro,1
João Maria Lobo Alves Palhinha Gonçalves,Diogo José Teixeira da Silva,1
João Maria Lobo Alves Palhinha Gonçalves,José Diogo Dalot Teixeira,5
João Maria Lobo Alves Palhinha Gonçalves,João Filipe Iria Santos Moutinho,2
