passer,recipient,n_passes_completed
Andrew Robertson,Callum McGregor,1
Andrew Robertson,Grant Hanley,4
Andrew Robertson,James Forrest,1
Andrew Robertson,John McGinn,3
Andrew Robertson,Kevin Nisbet,3
Andrew Robertson,Liam Cooper,13
Andrew Robertson,Lyndon Dykes,5
Andrew Robertson,Ryan Christie,1
Andrew Robertson,Ryan Fraser,4
Andrew Robertson,Scott McTominay,2
Andrew Robertson,"Stephen O""Donnell",2
Andrew Robertson,Stuart Armstrong,8
Callum McGregor,Andrew Robertson,1
Callum McGregor,Grant Hanley,4
Callum McGregor,James Forrest,2
Callum McGregor,John McGinn,1
Callum McGregor,Liam Cooper,3
Callum McGregor,Ryan Fraser,3
Callum McGregor,Scott McTominay,2
Callum McGregor,"Stephen O""Donnell",1
Che Adams,Andrew Robertson,3
Che Adams,Callum McGregor,1
Che Adams,John McGinn,1
Che Adams,Kevin Nisbet,1
Che Adams,Liam Cooper,1
Che Adams,Lyndon Dykes,2
Che Adams,"Stephen O""Donnell",1
Che Adams,Stuart Armstrong,2
David Marshall,Andrew Robertson,1
David Marshall,Callum McGregor,1
David Marshall,Grant Hanley,2
David Marshall,Jack Hendry,2
David Marshall,Liam Cooper,10
David Marshall,Lyndon Dykes,6
David Marshall,Scott McTominay,5
David Marshall,"Stephen O""Donnell",3
Grant Hanley,Andrew Robertson,3
Grant Hanley,Callum McGregor,1
Grant Hanley,Che Adams,1
Grant Hanley,David Marshall,3
Grant Hanley,Jack Hendry,12
Grant Hanley,John McGinn,3
Grant Hanley,Liam Cooper,17
Grant Hanley,Scott McTominay,8
Grant Hanley,"Stephen O""Donnell",2
Jack Hendry,David Marshall,1
Jack Hendry,Grant Hanley,5
Jack Hendry,John McGinn,4
Jack Hendry,Liam Cooper,1
Jack Hendry,Scott McTominay,2
Jack Hendry,"Stephen O""Donnell",5
James Forrest,Callum McGregor,1
James Forrest,Scott McTominay,2
John McGinn,Andrew Robertson,6
John McGinn,Grant Hanley,1
John McGinn,James Forrest,1
John McGinn,Kevin Nisbet,1
John McGinn,Liam Cooper,3
John McGinn,Lyndon Dykes,3
John McGinn,Ryan Fraser,1
John McGinn,Scott McTominay,3
John McGinn,"Stephen O""Donnell",3
John McGinn,Stuart Armstrong,2
Kevin Nisbet,Andrew Robertson,1
Liam Cooper,Andrew Robertson,11
Liam Cooper,Che Adams,1
Liam Cooper,David Marshall,13
Liam Cooper,Grant Hanley,17
Liam Cooper,Jack Hendry,2
Liam Cooper,John McGinn,5
Liam Cooper,Lyndon Dykes,5
Liam Cooper,Scott McTominay,4
Liam Cooper,Stuart Armstrong,5
Lyndon Dykes,Andrew Robertson,1
Lyndon Dykes,Che Adams,4
Lyndon Dykes,John McGinn,1
Lyndon Dykes,Ryan Christie,1
Lyndon Dykes,"Stephen O""Donnell",3
Ryan Christie,Andrew Robertson,1
Ryan Christie,Grant Hanley,1
Ryan Christie,John McGinn,1
Ryan Christie,Liam Cooper,1
Ryan Christie,Lyndon Dykes,1
Ryan Christie,Scott McTominay,2
Ryan Christie,"Stephen O""Donnell",2
Ryan Fraser,Andrew Robertson,1
Ryan Fraser,Che Adams,1
Ryan Fraser,Grant Hanley,1
Ryan Fraser,John McGinn,2
Ryan Fraser,Kevin Nisbet,1
Ryan Fraser,"Stephen O""Donnell",1
Scott McTominay,Andrew Robertson,9
Scott McTominay,Callum McGregor,7
Scott McTominay,David Marshall,2
Scott McTominay,Grant Hanley,4
Scott McTominay,John McGinn,3
Scott McTominay,Kevin Nisbet,1
Scott McTominay,Liam Cooper,10
Scott McTominay,Lyndon Dykes,1
Scott McTominay,Ryan Christie,1
Scott McTominay,Ryan Fraser,2
Scott McTominay,"Stephen O""Donnell",2
Scott McTominay,Stuart Armstrong,2
"Stephen O""Donnell",Callum McGregor,1
"Stephen O""Donnell",Che Adams,3
"Stephen O""Donnell",David Marshall,6
"Stephen O""Donnell",Grant Hanley,2
"Stephen O""Donnell",Jack Hendry,4
"Stephen O""Donnell",John McGinn,2
"Stephen O""Donnell",Liam Cooper,1
"Stephen O""Donnell",Lyndon Dykes,1
"Stephen O""Donnell",Ryan Christie,6
"Stephen O""Donnell",Scott McTominay,2
"Stephen O""Donnell",Stuart Armstrong,2
Stuart Armstrong,Andrew Robertson,10
Stuart Armstrong,Che Adams,1
Stuart Armstrong,Grant Hanley,1
Stuart Armstrong,Jack Hendry,1
Stuart Armstrong,John McGinn,1
Stuart Armstrong,Liam Cooper,2
Stuart Armstrong,Lyndon Dykes,1
Stuart Armstrong,Ryan Christie,2
Stuart Armstrong,Scott McTominay,2
