passer,recipient,n_passes_completed
Dávid Hancko,Lukáš Haraslín,1
Dávid Hancko,László Bénes,2
Dávid Hancko,Milan Škriniar,1
Dávid Hancko,Vladimír Weiss,4
Juraj Kucka,Marek Hamšík,1
Juraj Kucka,Martin Koscelník,4
Juraj Kucka,Milan Škriniar,3
Juraj Kucka,Ondrej Duda,5
Juraj Kucka,Patrik Hrošovský,1
Juraj Kucka,Peter Pekarík,6
Juraj Kucka,Róbert Mak,4
Juraj Kucka,Tomáš Hubočan,3
Juraj Kucka,Vladimír Weiss,2
Juraj Kucka,Ľubomír Šatka,5
Lukáš Haraslín,Juraj Kucka,1
Lukáš Haraslín,László Bénes,1
Lukáš Haraslín,Martin Dúbravka,1
Lukáš Haraslín,Martin Koscelník,2
Lukáš Haraslín,Ondrej Duda,1
Lukáš Haraslín,Vladimír Weiss,2
Lukáš Haraslín,Ľubomír Šatka,1
László Bénes,Dávid Hancko,1
László Bénes,Martin Koscelník,3
László Bénes,Ondrej Duda,3
László Bénes,Patrik Hrošovský,2
László Bénes,Vladimír Weiss,1
László Bénes,Ľubomír Šatka,2
Marek Hamšík,Juraj Kucka,4
Marek Hamšík,Martin Koscelník,5
Marek Hamšík,Milan Škriniar,5
Marek Hamšík,Ondrej Duda,7
Marek Hamšík,Patrik Hrošovský,8
Marek Hamšík,Peter Pekarík,5
Marek Hamšík,Róbert Mak,5
Marek Hamšík,Tomáš Hubočan,5
Marek Hamšík,Ľubomír Šatka,7
Martin Dúbravka,Dávid Hancko,2
Martin Dúbravka,Juraj Kucka,3
Martin Dúbravka,Lukáš Haraslín,1
Martin Dúbravka,Milan Škriniar,8
Martin Dúbravka,Ondrej Duda,1
Martin Dúbravka,Patrik Hrošovský,2
Martin Dúbravka,Peter Pekarík,2
Martin Dúbravka,Ľubomír Šatka,8
Martin Koscelník,Juraj Kucka,7
Martin Koscelník,Lukáš Haraslín,2
Martin Koscelník,László Bénes,1
Martin Koscelník,Marek Hamšík,5
Martin Koscelník,Martin Dúbravka,3
Martin Koscelník,Ondrej Duda,1
Martin Koscelník,Peter Pekarík,5
Martin Koscelník,Vladimír Weiss,1
Martin Koscelník,Ľubomír Šatka,8
Michal Ďuriš,Martin Koscelník,1
Milan Škriniar,Dávid Hancko,1
Milan Škriniar,Juraj Kucka,1
Milan Škriniar,Marek Hamšík,9
Milan Škriniar,Martin Dúbravka,3
Milan Škriniar,Martin Koscelník,3
Milan Škriniar,Ondrej Duda,1
Milan Škriniar,Patrik Hrošovský,5
Milan Škriniar,Peter Pekarík,1
Milan Škriniar,Tomáš Hubočan,24
Milan Škriniar,Vladimír Weiss,1
Milan Škriniar,Ľubomír Šatka,30
Ondrej Duda,Dávid Hancko,2
Ondrej Duda,Juraj Kucka,4
Ondrej Duda,Lukáš Haraslín,3
Ondrej Duda,László Bénes,1
Ondrej Duda,Marek Hamšík,5
Ondrej Duda,Martin Koscelník,2
Ondrej Duda,Milan Škriniar,2
Ondrej Duda,Patrik Hrošovský,7
Ondrej Duda,Peter Pekarík,2
Ondrej Duda,Róbert Mak,3
Ondrej Duda,Tomáš Hubočan,1
Ondrej Duda,Vladimír Weiss,2
Patrik Hrošovský,Juraj Kucka,3
Patrik Hrošovský,Marek Hamšík,9
Patrik Hrošovský,Martin Dúbravka,2
Patrik Hrošovský,Martin Koscelník,4
Patrik Hrošovský,Milan Škriniar,5
Patrik Hrošovský,Ondrej Duda,6
Patrik Hrošovský,Peter Pekarík,5
Patrik Hrošovský,Róbert Mak,1
Patrik Hrošovský,Tomáš Hubočan,3
Patrik Hrošovský,Ľubomír Šatka,6
Peter Pekarík,Juraj Kucka,8
Peter Pekarík,Marek Hamšík,4
Peter Pekarík,Martin Dúbravka,4
Peter Pekarík,Martin Koscelník,10
Peter Pekarík,Milan Škriniar,2
Peter Pekarík,Ondrej Duda,3
Peter Pekarík,Patrik Hrošovský,4
Peter Pekarík,Róbert Mak,1
Peter Pekarík,Ľubomír Šatka,21
Róbert Mak,Juraj Kucka,2
Róbert Mak,Marek Hamšík,2
Róbert Mak,Milan Škriniar,2
Róbert Mak,Ondrej Duda,4
Róbert Mak,Patrik Hrošovský,3
Róbert Mak,Tomáš Hubočan,6
Tomáš Hubočan,Juraj Kucka,4
Tomáš Hubočan,László Bénes,1
Tomáš Hubočan,Marek Hamšík,10
Tomáš Hubočan,Milan Škriniar,15
Tomáš Hubočan,Ondrej Duda,1
Tomáš Hubočan,Patrik Hrošovský,2
Tomáš Hubočan,Peter Pekarík,1
Tomáš Hubočan,Róbert Mak,8
Tomáš Hubočan,Ľubomír Šatka,3
Vladimír Weiss,Juraj Kucka,1
Vladimír Weiss,Lukáš Haraslín,2
Vladimír Weiss,László Bénes,2
Vladimír Weiss,Martin Koscelník,1
Vladimír Weiss,Milan Škriniar,1
Vladimír Weiss,Ondrej Duda,2
Ľubomír Šatka,Juraj Kucka,7
Ľubomír Šatka,Lukáš Haraslín,1
Ľubomír Šatka,Marek Hamšík,7
Ľubomír Šatka,Martin Dúbravka,9
Ľubomír Šatka,Martin Koscelník,5
Ľubomír Šatka,Milan Škriniar,29
Ľubomír Šatka,Ondrej Duda,5
Ľubomír Šatka,Patrik Hrošovský,9
Ľubomír Šatka,Peter Pekarík,21
Ľubomír Šatka,Vladimír Weiss,1
