passer,recipient,n_passes_completed
Adama Traoré Diarra,Aymeric Laporte,3
Adama Traoré Diarra,Jordi Alba Ramos,2
Adama Traoré Diarra,Jorge Resurrección Merodio,4
Adama Traoré Diarra,Pablo Sarabia García,3
Adama Traoré Diarra,Pedro González López,1
Adama Traoré Diarra,Thiago Alcântara do Nascimento,1
Aymeric Laporte,César Azpilicueta Tanco,3
Aymeric Laporte,Eric García Martret,30
Aymeric Laporte,Gerard Moreno Balaguero,3
Aymeric Laporte,Jordi Alba Ramos,11
Aymeric Laporte,Jorge Resurrección Merodio,12
Aymeric Laporte,Pablo Sarabia García,1
Aymeric Laporte,Pau Francisco Torres,9
Aymeric Laporte,Pedro González López,6
Aymeric Laporte,Sergio Busquets i Burgos,5
Aymeric Laporte,Thiago Alcântara do Nascimento,2
Aymeric Laporte,Unai Simón Mendibil,7
Aymeric Laporte,Álvaro Borja Morata Martín,3
César Azpilicueta Tanco,Aymeric Laporte,3
César Azpilicueta Tanco,Eric García Martret,12
César Azpilicueta Tanco,Gerard Moreno Balaguero,2
César Azpilicueta Tanco,Jorge Resurrección Merodio,7
César Azpilicueta Tanco,Pablo Sarabia García,17
César Azpilicueta Tanco,Pau Francisco Torres,1
César Azpilicueta Tanco,Pedro González López,3
César Azpilicueta Tanco,Sergio Busquets i Burgos,10
César Azpilicueta Tanco,Thiago Alcântara do Nascimento,1
César Azpilicueta Tanco,Unai Simón Mendibil,4
César Azpilicueta Tanco,Álvaro Borja Morata Martín,5
Eric García Martret,Aymeric Laporte,28
Eric García Martret,César Azpilicueta Tanco,22
Eric García Martret,Jorge Resurrección Merodio,7
Eric García Martret,Pablo Sarabia García,2
Eric García Martret,Sergio Busquets i Burgos,3
Eric García Martret,Unai Simón Mendibil,2
Eric García Martret,Álvaro Borja Morata Martín,4
Ferrán Torres García,Jordi Alba Ramos,5
Ferrán Torres García,Pau Francisco Torres,1
Ferrán Torres García,Pedro González López,2
Gerard Moreno Balaguero,Aymeric Laporte,2
Gerard Moreno Balaguero,Jordi Alba Ramos,5
Gerard Moreno Balaguero,Pau Francisco Torres,2
Gerard Moreno Balaguero,Pedro González López,3
Gerard Moreno Balaguero,Sergio Busquets i Burgos,5
Gerard Moreno Balaguero,Álvaro Borja Morata Martín,1
Jordi Alba Ramos,Aymeric Laporte,14
Jordi Alba Ramos,César Azpilicueta Tanco,1
Jordi Alba Ramos,Eric García Martret,4
Jordi Alba Ramos,Ferrán Torres García,5
Jordi Alba Ramos,Gerard Moreno Balaguero,11
Jordi Alba Ramos,Jorge Resurrección Merodio,3
Jordi Alba Ramos,Pablo Sarabia García,5
Jordi Alba Ramos,Pau Francisco Torres,5
Jordi Alba Ramos,Pedro González López,7
Jordi Alba Ramos,Sergio Busquets i Burgos,2
Jordi Alba Ramos,Thiago Alcântara do Nascimento,4
Jordi Alba Ramos,Unai Simón Mendibil,1
Jordi Alba Ramos,Álvaro Borja Morata Martín,2
Jorge Resurrección Merodio,Adama Traoré Diarra,9
Jorge Resurrección Merodio,Aymeric Laporte,5
Jorge Resurrección Merodio,César Azpilicueta Tanco,11
Jorge Resurrección Merodio,Eric García Martret,1
Jorge Resurrección Merodio,Ferrán Torres García,1
Jorge Resurrección Merodio,Gerard Moreno Balaguero,1
Jorge Resurrección Merodio,Jordi Alba Ramos,3
Jorge Resurrección Merodio,Pablo Sarabia García,17
Jorge Resurrección Merodio,Pau Francisco Torres,1
Jorge Resurrección Merodio,Pedro González López,4
Jorge Resurrección Merodio,Sergio Busquets i Burgos,6
Jorge Resurrección Merodio,Thiago Alcântara do Nascimento,8
Mikel Oyarzabal Ugarte,Jorge Resurrección Merodio,1
Mikel Oyarzabal Ugarte,Pau Francisco Torres,1
Mikel Oyarzabal Ugarte,Pedro González López,1
Pablo Sarabia García,Adama Traoré Diarra,4
Pablo Sarabia García,Aymeric Laporte,3
Pablo Sarabia García,César Azpilicueta Tanco,12
Pablo Sarabia García,Eric García Martret,1
Pablo Sarabia García,Ferrán Torres García,1
Pablo Sarabia García,Gerard Moreno Balaguero,1
Pablo Sarabia García,Jordi Alba Ramos,3
Pablo Sarabia García,Jorge Resurrección Merodio,14
Pablo Sarabia García,Pedro González López,2
Pablo Sarabia García,Sergio Busquets i Burgos,2
Pablo Sarabia García,Thiago Alcântara do Nascimento,2
Pablo Sarabia García,Álvaro Borja Morata Martín,4
Pau Francisco Torres,Aymeric Laporte,8
Pau Francisco Torres,César Azpilicueta Tanco,1
Pau Francisco Torres,Gerard Moreno Balaguero,1
Pau Francisco Torres,Jordi Alba Ramos,4
Pau Francisco Torres,Jorge Resurrección Merodio,5
Pau Francisco Torres,Mikel Oyarzabal Ugarte,1
Pau Francisco Torres,Pablo Sarabia García,1
Pau Francisco Torres,Pedro González López,2
Pau Francisco Torres,Thiago Alcântara do Nascimento,5
Pau Francisco Torres,Unai Simón Mendibil,1
Pedro González López,Adama Traoré Diarra,2
Pedro González López,Aymeric Laporte,2
Pedro González López,César Azpilicueta Tanco,1
Pedro González López,Eric García Martret,5
Pedro González López,Ferrán Torres García,2
Pedro González López,Gerard Moreno Balaguero,5
Pedro González López,Jordi Alba Ramos,10
Pedro González López,Mikel Oyarzabal Ugarte,1
Pedro González López,Pablo Sarabia García,5
Pedro González López,Pau Francisco Torres,2
Pedro González López,Sergio Busquets i Burgos,4
Pedro González López,Thiago Alcântara do Nascimento,5
Pedro González López,Unai Simón Mendibil,1
Sergio Busquets i Burgos,Aymeric Laporte,4
Sergio Busquets i Burgos,César Azpilicueta Tanco,3
Sergio Busquets i Burgos,Eric García Martret,6
Sergio Busquets i Burgos,Gerard Moreno Balaguero,2
Sergio Busquets i Burgos,Jordi Alba Ramos,2
Sergio Busquets i Burgos,Jorge Resurrección Merodio,6
Sergio Busquets i Burgos,Pablo Sarabia García,8
Sergio Busquets i Burgos,Pedro González López,12
Sergio Busquets i Burgos,Álvaro Borja Morata Martín,2
Thiago Alcântara do Nascimento,Adama Traoré Diarra,1
Thiago Alcântara do Nascimento,Aymeric Laporte,5
Thiago Alcântara do Nascimento,Jordi Alba Ramos,4
Thiago Alcântara do Nascimento,Jorge Resurrección Merodio,5
Thiago Alcântara do Nascimento,Mikel Oyarzabal Ugarte,2
Thiago Alcântara do Nascimento,Pablo Sarabia García,2
Thiago Alcântara do Nascimento,Pau Francisco Torres,4
Thiago Alcântara do Nascimento,Pedro González López,7
Unai Simón Mendibil,Aymeric Laporte,8
Unai Simón Mendibil,César Azpilicueta Tanco,2
Unai Simón Mendibil,Eric García Martret,7
Unai Simón Mendibil,Jordi Alba Ramos,3
Unai Simón Mendibil,Sergio Busquets i Burgos,1
Álvaro Borja Morata Martín,Aymeric Laporte,2
Álvaro Borja Morata Martín,César Azpilicueta Tanco,2
Álvaro Borja Morata Martín,Gerard Moreno Balaguero,1
Álvaro Borja Morata Martín,Jorge Resurrección Merodio,1
