passer,recipient,n_passes_completed
Aymeric Laporte,César Azpilicueta Tanco,27
Aymeric Laporte,Daniel Olmo Carvajal,2
Aymeric Laporte,Ferrán Torres García,3
Aymeric Laporte,Gerard Moreno Balaguero,2
Aymeric Laporte,Jordi Alba Ramos,3
Aymeric Laporte,Jorge Resurrección Merodio,11
Aymeric Laporte,Marcos Llorente Moreno,1
Aymeric Laporte,Mikel Oyarzabal Ugarte,4
Aymeric Laporte,Pau Francisco Torres,52
Aymeric Laporte,Pedro González López,3
Aymeric Laporte,Sergio Busquets i Burgos,12
Aymeric Laporte,Unai Simón Mendibil,2
Aymeric Laporte,Álvaro Borja Morata Martín,2
César Azpilicueta Tanco,Aymeric Laporte,19
César Azpilicueta Tanco,Daniel Olmo Carvajal,1
César Azpilicueta Tanco,Ferrán Torres García,8
César Azpilicueta Tanco,Gerard Moreno Balaguero,4
César Azpilicueta Tanco,Jordi Alba Ramos,1
César Azpilicueta Tanco,Jorge Resurrección Merodio,10
César Azpilicueta Tanco,Marcos Llorente Moreno,2
César Azpilicueta Tanco,Mikel Oyarzabal Ugarte,7
César Azpilicueta Tanco,Pablo Sarabia García,1
César Azpilicueta Tanco,Pau Francisco Torres,3
César Azpilicueta Tanco,Pedro González López,2
César Azpilicueta Tanco,Sergio Busquets i Burgos,20
César Azpilicueta Tanco,Thiago Alcântara do Nascimento,3
César Azpilicueta Tanco,Unai Simón Mendibil,2
César Azpilicueta Tanco,Álvaro Borja Morata Martín,2
Daniel Olmo Carvajal,Aymeric Laporte,1
Daniel Olmo Carvajal,Ferrán Torres García,1
Daniel Olmo Carvajal,Gerard Moreno Balaguero,1
Daniel Olmo Carvajal,Jordi Alba Ramos,14
Daniel Olmo Carvajal,Jorge Resurrección Merodio,3
Daniel Olmo Carvajal,Marcos Llorente Moreno,4
Daniel Olmo Carvajal,Mikel Oyarzabal Ugarte,2
Daniel Olmo Carvajal,Pau Francisco Torres,2
Daniel Olmo Carvajal,Pedro González López,6
Daniel Olmo Carvajal,Sergio Busquets i Burgos,4
Ferrán Torres García,Aymeric Laporte,3
Ferrán Torres García,César Azpilicueta Tanco,8
Ferrán Torres García,Jordi Alba Ramos,3
Ferrán Torres García,Jorge Resurrección Merodio,4
Ferrán Torres García,Pau Francisco Torres,1
Ferrán Torres García,Pedro González López,4
Ferrán Torres García,Sergio Busquets i Burgos,2
Ferrán Torres García,Álvaro Borja Morata Martín,5
Gerard Moreno Balaguero,César Azpilicueta Tanco,5
Gerard Moreno Balaguero,Daniel Olmo Carvajal,2
Gerard Moreno Balaguero,Jordi Alba Ramos,4
Gerard Moreno Balaguero,Jorge Resurrección Merodio,4
Gerard Moreno Balaguero,Marcos Llorente Moreno,1
Gerard Moreno Balaguero,Pedro González López,4
Gerard Moreno Balaguero,Sergio Busquets i Burgos,1
