passer,recipient,n_passes_completed
Breel-Donald Embolo,Djibril Sow,2
Breel-Donald Embolo,Granit Xhaka,3
Breel-Donald Embolo,Haris Seferović,1
Breel-Donald Embolo,Kevin Mbabu,1
Breel-Donald Embolo,Mario Gavranović,1
Breel-Donald Embolo,Remo Freuler,2
Breel-Donald Embolo,Ruben Vargas,1
Breel-Donald Embolo,Silvan Widmer,2
Breel-Donald Embolo,Xherdan Shaqiri,6
Djibril Sow,Ruben Vargas,1
Djibril Sow,Silvan Widmer,1
Djibril Sow,Steven Zuber,2
Fabian Lukas Schär,Breel-Donald Embolo,3
Fabian Lukas Schär,Granit Xhaka,4
Fabian Lukas Schär,Haris Seferović,1
Fabian Lukas Schär,Kevin Mbabu,2
Fabian Lukas Schär,Manuel Obafemi Akanji,6
Fabian Lukas Schär,Nico Elvedi,6
Fabian Lukas Schär,Remo Freuler,3
Fabian Lukas Schär,Ricardo Iván Rodríguez Araya,2
Fabian Lukas Schär,Xherdan Shaqiri,1
Fabian Lukas Schär,Yann Sommer,3
Granit Xhaka,Breel-Donald Embolo,2
Granit Xhaka,Djibril Sow,2
Granit Xhaka,Fabian Lukas Schär,5
Granit Xhaka,Haris Seferović,2
Granit Xhaka,Kevin Mbabu,1
Granit Xhaka,Manuel Obafemi Akanji,13
Granit Xhaka,Mario Gavranović,2
Granit Xhaka,Nico Elvedi,8
Granit Xhaka,Remo Freuler,10
Granit Xhaka,Ricardo Iván Rodríguez Araya,15
Granit Xhaka,Ruben Vargas,1
Granit Xhaka,Silvan Widmer,4
Granit Xhaka,Steven Zuber,3
Granit Xhaka,Xherdan Shaqiri,9
Granit Xhaka,Yann Sommer,4
Haris Seferović,Breel-Donald Embolo,2
Haris Seferović,Granit Xhaka,1
Haris Seferović,Ricardo Iván Rodríguez Araya,4
Haris Seferović,Xherdan Shaqiri,1
Kevin Mbabu,Breel-Donald Embolo,3
Kevin Mbabu,Fabian Lukas Schär,1
Kevin Mbabu,Manuel Obafemi Akanji,1
Kevin Mbabu,Nico Elvedi,3
Kevin Mbabu,Remo Freuler,4
Kevin Mbabu,Xherdan Shaqiri,5
Kevin Mbabu,Yann Sommer,1
Manuel Obafemi Akanji,Breel-Donald Embolo,1
Manuel Obafemi Akanji,Fabian Lukas Schär,8
Manuel Obafemi Akanji,Granit Xhaka,10
Manuel Obafemi Akanji,Haris Seferović,1
Manuel Obafemi Akanji,Kevin Mbabu,1
Manuel Obafemi Akanji,Mario Gavranović,2
Manuel Obafemi Akanji,Nico Elvedi,5
Manuel Obafemi Akanji,Remo Freuler,4
Manuel Obafemi Akanji,Ricardo Iván Rodríguez Araya,16
Manuel Obafemi Akanji,Silvan Widmer,1
Manuel Obafemi Akanji,Steven Zuber,2
Manuel Obafemi Akanji,Xherdan Shaqiri,2
Manuel Obafemi Akanji,Yann Sommer,4
Mario Gavranović,Granit Xhaka,2
Mario Gavranović,Remo Freuler,1
Mario Gavranović,Ricardo Iván Rodríguez Araya,2
Mario Gavranović,Steven Zuber,1
Mario Gavranović,Xherdan Shaqiri,1
Nico Elvedi,Breel-Donald Embolo,2
Nico Elvedi,Djibril Sow,2
Nico Elvedi,Fabian Lukas Schär,7
Nico Elvedi,Granit Xhaka,9
Nico Elvedi,Kevin Mbabu,6
Nico Elvedi,Manuel Obafemi Akanji,3
Nico Elvedi,Mario Gavranović,1
Nico Elvedi,Remo Freuler,6
Nico Elvedi,Ruben Vargas,4
Nico Elvedi,Silvan Widmer,7
Nico Elvedi,Xherdan Shaqiri,2
Nico Elvedi,Yann Sommer,4
Remo Freuler,Breel-Donald Embolo,2
Remo Freuler,Fabian Lukas Schär,3
Remo Freuler,Granit Xhaka,15
Remo Freuler,Haris Seferović,2
Remo Freuler,Kevin Mbabu,3
Remo Freuler,Manuel Obafemi Akanji,1
Remo Freuler,Mario Gavranović,1
Remo Freuler,Nico Elvedi,9
Remo Freuler,Ricardo Iván Rodríguez Araya,1
Remo Freuler,Silvan Widmer,3
Remo Freuler,Xherdan Shaqiri,2
Ricardo Iván Rodríguez Araya,Breel-Donald Embolo,4
Ricardo Iván Rodríguez Araya,Granit Xhaka,22
Ricardo Iván Rodríguez Araya,Haris Seferović,1
Ricardo Iván Rodríguez Araya,Manuel Obafemi Akanji,14
Ricardo Iván Rodríguez Araya,Mario Gavranović,2
Ricardo Iván Rodríguez Araya,Nico Elvedi,3
Ricardo Iván Rodríguez Araya,Remo Freuler,3
Ricardo Iván Rodríguez Araya,Steven Zuber,5
Ricardo Iván Rodríguez Araya,Xherdan Shaqiri,1
Ricardo Iván Rodríguez Araya,Yann Sommer,1
Ruben Vargas,Granit Xhaka,2
Ruben Vargas,Mario Gavranović,1
Ruben Vargas,Nico Elvedi,2
Ruben Vargas,Silvan Widmer,8
Silvan Widmer,Breel-Donald Embolo,2
Silvan Widmer,Granit Xhaka,4
Silvan Widmer,Nico Elvedi,8
Silvan Widmer,Remo Freuler,7
