passer,recipient,n_passes_completed
Burak Yılmaz,Caglar Söyüncü,2
Burak Yılmaz,Hakan Çalhanoğlu,2
Burak Yılmaz,Kaan Ayhan,1
Burak Yılmaz,Mehmet Zeki Çelik,3
Burak Yılmaz,Merih Demiral,1
Burak Yılmaz,Mert Müldür,1
Burak Yılmaz,Ozan Tufan,1
Burak Yılmaz,İrfan Can Kahveci,2
Caglar Söyüncü,Burak Yılmaz,4
Caglar Söyüncü,Hakan Çalhanoğlu,10
Caglar Söyüncü,Kaan Ayhan,5
Caglar Söyüncü,Mehmet Zeki Çelik,2
Caglar Söyüncü,Merih Demiral,4
Caglar Söyüncü,Mert Müldür,10
Caglar Söyüncü,Orkun Kökçü,1
Caglar Söyüncü,Ozan Tufan,9
Caglar Söyüncü,Uğurcan Çakır,2
Caglar Söyüncü,Yusuf Yazıcı,1
Caglar Söyüncü,İrfan Can Kahveci,7
Cengiz Ünder,Burak Yılmaz,4
Cengiz Ünder,Hakan Çalhanoğlu,1
Cengiz Ünder,Kaan Ayhan,2
Cengiz Ünder,Mehmet Zeki Çelik,2
Cengiz Ünder,Merih Demiral,3
Cengiz Ünder,Mert Müldür,1
Cengiz Ünder,Okay Yokuşlu,2
Cengiz Ünder,Ozan Tufan,3
Cengiz Ünder,Yusuf Yazıcı,1
Cengiz Ünder,İrfan Can Kahveci,3
Dorukhan Toköz,Kenan Karaman,1
Dorukhan Toköz,Mehmet Zeki Çelik,1
Dorukhan Toköz,Okay Yokuşlu,1
Hakan Çalhanoğlu,Burak Yılmaz,2
Hakan Çalhanoğlu,Caglar Söyüncü,3
Hakan Çalhanoğlu,Kaan Ayhan,7
Hakan Çalhanoğlu,Mehmet Zeki Çelik,3
Hakan Çalhanoğlu,Merih Demiral,4
Hakan Çalhanoğlu,Mert Müldür,5
Hakan Çalhanoğlu,Okay Yokuşlu,2
Hakan Çalhanoğlu,Ozan Tufan,4
Hakan Çalhanoğlu,Uğurcan Çakır,1
Hakan Çalhanoğlu,Yusuf Yazıcı,1
Hakan Çalhanoğlu,İrfan Can Kahveci,7
Kaan Ayhan,Caglar Söyüncü,5
Kaan Ayhan,Cengiz Ünder,3
