passer,recipient,n_passes_completed
Andriy Yarmolenko,Illia Zabarnyi,4
Andriy Yarmolenko,Mykola Shaparenko,1
Andriy Yarmolenko,Oleksandr Karavaev,6
Andriy Yarmolenko,Oleksandr Zinchenko,4
Andriy Yarmolenko,Roman Yaremchuk,3
Andriy Yarmolenko,Serhii Sydorchuk,8
Artem Besedin,Oleksandr Zinchenko,2
Artem Dovbyk,Evgeny Makarenko,1
Artem Dovbyk,Ruslan Malinovskiy,2
Artem Dovbyk,Viktor Tsygankov,1
Evgeny Makarenko,Artem Besedin,1
Evgeny Makarenko,Artem Dovbyk,1
Evgeny Makarenko,Illia Zabarnyi,3
Evgeny Makarenko,Mykola Matviyenko,6
Evgeny Makarenko,Oleksandr Karavaev,2
Evgeny Makarenko,Oleksandr Zinchenko,7
Evgeny Makarenko,Ruslan Malinovskiy,2
Evgeny Makarenko,Sergey Krivtsov,1
Evgeny Makarenko,Serhii Sydorchuk,3
Evgeny Makarenko,Viktor Tsygankov,1
Heorhii Bushchan,Andriy Yarmolenko,1
Heorhii Bushchan,Illia Zabarnyi,1
Heorhii Bushchan,Mykola Matviyenko,11
Heorhii Bushchan,Oleksandr Karavaev,1
Heorhii Bushchan,Oleksandr Zinchenko,7
Heorhii Bushchan,Ruslan Malinovskiy,1
Heorhii Bushchan,Sergey Krivtsov,1
Illia Zabarnyi,Andriy Yarmolenko,2
Illia Zabarnyi,Evgeny Makarenko,6
Illia Zabarnyi,Heorhii Bushchan,5
Illia Zabarnyi,Mykola Matviyenko,2
Illia Zabarnyi,Oleksandr Karavaev,27
Illia Zabarnyi,Oleksandr Zinchenko,2
Illia Zabarnyi,Roman Yaremchuk,3
Illia Zabarnyi,Ruslan Malinovskiy,1
Illia Zabarnyi,Sergey Krivtsov,32
Illia Zabarnyi,Serhii Sydorchuk,11
Illia Zabarnyi,Taras Stepanenko,2
Illia Zabarnyi,Viktor Tsygankov,2
Mykola Matviyenko,Andriy Yarmolenko,1
Mykola Matviyenko,Artem Dovbyk,1
Mykola Matviyenko,Evgeny Makarenko,2
Mykola Matviyenko,Heorhii Bushchan,5
Mykola Matviyenko,Illia Zabarnyi,17
Mykola Matviyenko,Mykola Shaparenko,13
Mykola Matviyenko,Oleksandr Zinchenko,21
Mykola Matviyenko,Roman Yaremchuk,2
Mykola Matviyenko,Ruslan Malinovskiy,3
Mykola Matviyenko,Sergey Krivtsov,21
Mykola Matviyenko,Serhii Sydorchuk,2
Mykola Matviyenko,Taras Stepanenko,8
Mykola Shaparenko,Andriy Yarmolenko,2
Mykola Shaparenko,Illia Zabarnyi,2
Mykola Shaparenko,Mykola Matviyenko,8
Mykola Shaparenko,Oleksandr Karavaev,3
Mykola Shaparenko,Oleksandr Zinchenko,6
Mykola Shaparenko,Roman Yaremchuk,6
Mykola Shaparenko,Sergey Krivtsov,3
Mykola Shaparenko,Serhii Sydorchuk,1
Mykola Shaparenko,Taras Stepanenko,4
Oleksandr Karavaev,Andriy Yarmolenko,14
Oleksandr Karavaev,Evgeny Makarenko,1
