passer,recipient,n_passes_completed
Andriy Yarmolenko,Evgeny Makarenko,1
Andriy Yarmolenko,Illia Zabarnyi,3
Andriy Yarmolenko,Mykola Matviyenko,1
Andriy Yarmolenko,Mykola Shaparenko,6
Andriy Yarmolenko,Oleksandr Karavaev,7
Andriy Yarmolenko,Oleksandr Zinchenko,1
Andriy Yarmolenko,Roman Yaremchuk,3
Evgeny Makarenko,Andriy Yarmolenko,2
Evgeny Makarenko,Illia Zabarnyi,2
Evgeny Makarenko,Mykola Matviyenko,4
Evgeny Makarenko,Mykola Shaparenko,5
Evgeny Makarenko,Oleksandr Karavaev,2
Evgeny Makarenko,Oleksandr Zinchenko,1
Evgeny Makarenko,Vitalii Mykolenko,3
Heorhii Bushchan,Illia Zabarnyi,5
Heorhii Bushchan,Mykola Matviyenko,6
Heorhii Bushchan,Oleksandr Karavaev,2
Heorhii Bushchan,Vitalii Mykolenko,1
Illia Zabarnyi,Andriy Yarmolenko,2
Illia Zabarnyi,Evgeny Makarenko,2
Illia Zabarnyi,Mykola Matviyenko,27
Illia Zabarnyi,Mykola Shaparenko,8
Illia Zabarnyi,Oleksandr Karavaev,10
Illia Zabarnyi,Oleksandr Zinchenko,1
Illia Zabarnyi,Roman Yaremchuk,1
Illia Zabarnyi,Sergey Krivtsov,6
Illia Zabarnyi,Serhii Sydorchuk,2
Illia Zabarnyi,Vitalii Mykolenko,2
Mykola Matviyenko,Andriy Yarmolenko,2
Mykola Matviyenko,Evgeny Makarenko,6
Mykola Matviyenko,Heorhii Bushchan,5
Mykola Matviyenko,Illia Zabarnyi,17
Mykola Matviyenko,Mykola Shaparenko,5
Mykola Matviyenko,Oleksandr Karavaev,1
Mykola Matviyenko,Oleksandr Zinchenko,11
Mykola Matviyenko,Roman Yaremchuk,4
Mykola Matviyenko,Sergey Krivtsov,9
Mykola Matviyenko,Serhii Sydorchuk,10
Mykola Matviyenko,Viktor Tsygankov,9
Mykola Matviyenko,Vitalii Mykolenko,25
Mykola Shaparenko,Andriy Yarmolenko,10
Mykola Shaparenko,Evgeny Makarenko,3
Mykola Shaparenko,Heorhii Bushchan,1
Mykola Shaparenko,Illia Zabarnyi,8
Mykola Shaparenko,Mykola Matviyenko,9
Mykola Shaparenko,Oleksandr Karavaev,17
Mykola Shaparenko,Oleksandr Zinchenko,5
Mykola Shaparenko,Sergey Krivtsov,2
Mykola Shaparenko,Serhii Sydorchuk,2
Mykola Shaparenko,Vitalii Mykolenko,1
Oleksandr Karavaev,Andriy Yarmolenko,8
Oleksandr Karavaev,Evgeny Makarenko,2
Oleksandr Karavaev,Illia Zabarnyi,11
Oleksandr Karavaev,Mykola Matviyenko,1
Oleksandr Karavaev,Mykola Shaparenko,13
Oleksandr Karavaev,Roman Yaremchuk,3
Oleksandr Karavaev,Sergey Krivtsov,2
Oleksandr Karavaev,Serhii Sydorchuk,2
Oleksandr Zinchenko,Andriy Yarmolenko,3
Oleksandr Zinchenko,Evgeny Makarenko,1
Oleksandr Zinchenko,Mykola Matviyenko,6
Oleksandr Zinchenko,Mykola Shaparenko,6
Oleksandr Zinchenko,Oleksandr Karavaev,2
Oleksandr Zinchenko,Roman Yaremchuk,7
Oleksandr Zinchenko,Sergey Krivtsov,1
Oleksandr Zinchenko,Serhii Sydorchuk,7
Oleksandr Zinchenko,Viktor Tsygankov,6
Oleksandr Zinchenko,Vitalii Mykolenko,9
Roman Yaremchuk,Andriy Yarmolenko,5
Roman Yaremchuk,Evgeny Makarenko,2
Roman Yaremchuk,Mykola Shaparenko,2
Roman Yaremchuk,Oleksandr Karavaev,1
Roman Yaremchuk,Oleksandr Zinchenko,4
Roman Yaremchuk,Serhii Sydorchuk,4
Roman Yaremchuk,Viktor Tsygankov,2
Roman Yaremchuk,Vitalii Mykolenko,5
Sergey Krivtsov,Heorhii Bushchan,1
Sergey Krivtsov,Illia Zabarnyi,3
Sergey Krivtsov,Mykola Matviyenko,10
Sergey Krivtsov,Mykola Shaparenko,2
Sergey Krivtsov,Oleksandr Karavaev,1
Sergey Krivtsov,Oleksandr Zinchenko,1
Sergey Krivtsov,Serhii Sydorchuk,1
Serhii Sydorchuk,Andriy Yarmolenko,2
Serhii Sydorchuk,Illia Zabarnyi,6
Serhii Sydorchuk,Mykola Matviyenko,9
Serhii Sydorchuk,Mykola Shaparenko,8
Serhii Sydorchuk,Oleksandr Karavaev,2
Serhii Sydorchuk,Oleksandr Zinchenko,6
Serhii Sydorchuk,Roman Yaremchuk,2
Serhii Sydorchuk,Viktor Tsygankov,1
Serhii Sydorchuk,Vitalii Mykolenko,6
Viktor Tsygankov,Illia Zabarnyi,1
Viktor Tsygankov,Mykola Matviyenko,4
Viktor Tsygankov,Oleksandr Zinchenko,4
Viktor Tsygankov,Roman Yaremchuk,5
Viktor Tsygankov,Serhii Sydorchuk,4
Viktor Tsygankov,Vitalii Mykolenko,6
Vitalii Mykolenko,Andriy Yarmolenko,1
Vitalii Mykolenko,Evgeny Makarenko,2
Vitalii Mykolenko,Heorhii Bushchan,2
Vitalii Mykolenko,Illia Zabarnyi,2
Vitalii Mykolenko,Mykola Matviyenko,26
Vitalii Mykolenko,Oleksandr Zinchenko,8
Vitalii Mykolenko,Roman Yaremchuk,3
Vitalii Mykolenko,Sergey Krivtsov,1
Vitalii Mykolenko,Serhii Sydorchuk,8
Vitalii Mykolenko,Viktor Tsygankov,9
