passer,recipient,n_passes_completed
Andriy Yarmolenko,Illia Zabarnyi,1
Andriy Yarmolenko,Mykola Shaparenko,2
Andriy Yarmolenko,Oleksandr Karavaev,5
Andriy Yarmolenko,Oleksandr Zinchenko,1
Andriy Yarmolenko,Roman Yaremchuk,6
Andriy Yarmolenko,Ruslan Malinovskiy,1
Andriy Yarmolenko,Taras Stepanenko,2
Andriy Yarmolenko,Vitalii Mykolenko,1
Artem Besedin,Ruslan Malinovskiy,2
Artem Besedin,Serhii Sydorchuk,1
Artem Besedin,Viktor Tsygankov,2
Heorhii Bushchan,Andriy Yarmolenko,2
Heorhii Bushchan,Artem Besedin,1
Heorhii Bushchan,Illia Zabarnyi,2
Heorhii Bushchan,Mykola Matviyenko,6
Heorhii Bushchan,Oleksandr Karavaev,1
Heorhii Bushchan,Taras Stepanenko,1
Heorhii Bushchan,Vitalii Mykolenko,2
Illia Zabarnyi,Andriy Yarmolenko,2
Illia Zabarnyi,Heorhii Bushchan,3
Illia Zabarnyi,Mykola Matviyenko,14
Illia Zabarnyi,Mykola Shaparenko,3
Illia Zabarnyi,Oleksandr Karavaev,8
Illia Zabarnyi,Oleksandr Zinchenko,3
Illia Zabarnyi,Ruslan Malinovskiy,2
Illia Zabarnyi,Taras Stepanenko,3
Illia Zabarnyi,Viktor Tsygankov,1
Mykola Matviyenko,Andriy Yarmolenko,1
Mykola Matviyenko,Heorhii Bushchan,3
Mykola Matviyenko,Illia Zabarnyi,12
Mykola Matviyenko,Mykola Shaparenko,16
Mykola Matviyenko,Oleksandr Karavaev,3
Mykola Matviyenko,Oleksandr Zinchenko,2
Mykola Matviyenko,Roman Yaremchuk,3
Mykola Matviyenko,Ruslan Malinovskiy,4
Mykola Matviyenko,Taras Stepanenko,7
Mykola Matviyenko,Viktor Tsygankov,1
Mykola Matviyenko,Vitalii Mykolenko,10
Mykola Shaparenko,Andriy Yarmolenko,2
Mykola Shaparenko,Artem Besedin,1
Mykola Shaparenko,Illia Zabarnyi,3
Mykola Shaparenko,Mykola Matviyenko,9
Mykola Shaparenko,Oleksandr Karavaev,2
Mykola Shaparenko,Oleksandr Zinchenko,11
Mykola Shaparenko,Roman Yaremchuk,4
Mykola Shaparenko,Ruslan Malinovskiy,11
Mykola Shaparenko,Taras Stepanenko,5
Mykola Shaparenko,Vitalii Mykolenko,10
Oleksandr Karavaev,Andriy Yarmolenko,7
Oleksandr Karavaev,Artem Besedin,1
Oleksandr Karavaev,Heorhii Bushchan,3
Oleksandr Karavaev,Illia Zabarnyi,12
Oleksandr Karavaev,Mykola Matviyenko,1
Oleksandr Karavaev,Mykola Shaparenko,1
Oleksandr Karavaev,Oleksandr Zinchenko,4
Oleksandr Karavaev,Roman Yaremchuk,1
Oleksandr Karavaev,Ruslan Malinovskiy,3
Oleksandr Karavaev,Taras Stepanenko,4
Oleksandr Karavaev,Viktor Tsygankov,3
Oleksandr Karavaev,Vitalii Mykolenko,1
Oleksandr Zinchenko,Andriy Yarmolenko,7
Oleksandr Zinchenko,Illia Zabarnyi,2
Oleksandr Zinchenko,Mykola Matviyenko,3
Oleksandr Zinchenko,Mykola Shaparenko,6
Oleksandr Zinchenko,Oleksandr Karavaev,3
Oleksandr Zinchenko,Roman Yaremchuk,2
Oleksandr Zinchenko,Ruslan Malinovskiy,5
Oleksandr Zinchenko,Taras Stepanenko,6
Oleksandr Zinchenko,Vitalii Mykolenko,2
Roman Yaremchuk,Andriy Yarmolenko,4
Roman Yaremchuk,Mykola Shaparenko,2
Roman Yaremchuk,Oleksandr Karavaev,3
Roman Yaremchuk,Oleksandr Zinchenko,1
Roman Yaremchuk,Ruslan Malinovskiy,1
Roman Yaremchuk,Taras Stepanenko,2
Roman Yaremchuk,Vitalii Mykolenko,1
Ruslan Malinovskiy,Andriy Yarmolenko,5
Ruslan Malinovskiy,Artem Besedin,1
Ruslan Malinovskiy,Illia Zabarnyi,3
Ruslan Malinovskiy,Mykola Shaparenko,3
Ruslan Malinovskiy,Oleksandr Karavaev,4
Ruslan Malinovskiy,Oleksandr Zinchenko,6
Ruslan Malinovskiy,Roman Yaremchuk,1
Ruslan Malinovskiy,Taras Stepanenko,1
Ruslan Malinovskiy,Viktor Tsygankov,1
Ruslan Malinovskiy,Vitalii Mykolenko,5
Serhii Sydorchuk,Artem Besedin,2
Serhii Sydorchuk,Taras Stepanenko,1
Taras Stepanenko,Andriy Yarmolenko,1
Taras Stepanenko,Artem Besedin,1
Taras Stepanenko,Heorhii Bushchan,1
Taras Stepanenko,Illia Zabarnyi,2
Taras Stepanenko,Mykola Matviyenko,5
Taras Stepanenko,Mykola Shaparenko,9
Taras Stepanenko,Oleksandr Karavaev,4
Taras Stepanenko,Oleksandr Zinchenko,5
Taras Stepanenko,Roman Yaremchuk,1
Taras Stepanenko,Ruslan Malinovskiy,3
Taras Stepanenko,Viktor Tsygankov,1
Taras Stepanenko,Vitalii Mykolenko,5
Viktor Tsygankov,Artem Besedin,1
Viktor Tsygankov,Oleksandr Karavaev,1
Viktor Tsygankov,Ruslan Malinovskiy,1
Viktor Tsygankov,Serhii Sydorchuk,2
Viktor Tsygankov,Vitalii Mykolenko,1
Vitalii Mykolenko,Artem Besedin,1
Vitalii Mykolenko,Heorhii Bushchan,2
Vitalii Mykolenko,Illia Zabarnyi,1
Vitalii Mykolenko,Mykola Matviyenko,15
Vitalii Mykolenko,Mykola Shaparenko,12
Vitalii Mykolenko,Oleksandr Karavaev,1
Vitalii Mykolenko,Oleksandr Zinchenko,3
Vitalii Mykolenko,Roman Yaremchuk,1
Vitalii Mykolenko,Ruslan Malinovskiy,5
Vitalii Mykolenko,Taras Stepanenko,2
